DateTime,AddedIPs,RemovedIPs
1554498345,4,0
1554501947,3,1
1554505563,0,1
1554509152,2,1
1554516340,1,1
1554519964,0,1
1554523541,1,2
1554527153,0,1
1554530740,2,1
1554534355,0,1
1554537951,1,1
1554541553,1,1
1554545151,1,3
1554548749,3,2
1554552340,2,0
1554559554,1,0
1554563143,0,1
1554566753,1,4
1554570353,2,0
1554573948,2,3
1554577549,2,1
1554581148,1,2
1554584744,2,0
1554588346,1,2
1554602747,1,1
1554606339,1,0
1554609943,0,3
1554613535,1,0
1554617156,0,2
1554620745,4,0
1554624344,0,1
1554627945,1,3
1554631548,4,1
1554635142,1,4
1554638735,2,0
1554642352,3,1
1554645955,2,1
1554649540,0,2
1554653145,3,3
1554656749,1,2
1554660339,2,1
1554663948,0,2
1554667554,3,0
1554671157,0,1
1554674743,1,1
1554678350,2,0
1554681957,0,3
1554685553,4,1
1554689152,1,0
1554692747,1,1
1554696344,1,3
1554699952,2,1
1554703566,0,1
1554707166,2,2
1554714364,0,1
1554717947,2,2
1554721569,2,0
1554725161,2,1
1554728768,1,2
1554732364,1,1
1554735951,0,2
1554739561,2,1
1554743156,0,1
1554746744,1,3
1554750354,3,0
1554753957,1,5
1554757545,3,2
1554761159,0,3
1554764749,1,0
1554768375,1,1
1554771953,2,2
1554775552,3,2
1554779168,2,3
1554782758,2,3
1554786359,3,0
1554789970,1,3
1554793559,2,4
1554797167,2,0
1554800766,3,0
1554804364,2,2
1554807953,0,2
1554811550,3,1
1554815166,1,1
1554818769,1,0
1554822367,0,1
1554825955,2,1
1554829568,1,3
1554833170,1,3
1554836771,3,1
1554840352,1,1
1554843969,1,0
1554847568,0,4
1554851161,1,0
1554854776,1,0
1554858369,2,1
1554861958,2,1
1554865560,3,1
1554869157,1,0
1554872763,2,1
1554876365,0,2
1554879954,1,1
1554883563,0,2
1554887168,1,2
1554890756,3,0
1554894361,0,1
1554897965,2,2
1554901554,1,1
1554905165,5,0
1554908753,1,2
1554912365,0,4
1554915956,1,2
1554919546,5,3
1554923138,2,3
1554926740,1,1
1554930337,2,2
1554933965,2,1
1554937546,0,1
1554941151,1,1
1554944751,2,5
1554948369,4,1
1554951950,3,0
1554955547,2,1
1554959147,0,1
1554962744,2,3
1554966345,1,4
1554969959,3,1
1554973556,2,0
1554980759,1,3
1554984366,2,2
1554987959,2,1
1554991545,0,1
1554995144,0,3
1554998749,2,0
1555002344,6,3
1555005956,2,1
1555009555,1,0
1555013156,0,3
1555016755,2,5
1555020343,4,1
1555023954,1,1
1555027565,0,1
1555031154,2,2
1555034769,3,0
1555041965,2,0
1555045553,1,2
1555049141,1,1
1555052761,1,1
1555056357,0,4
1555059951,3,0
1555063565,2,0
1555067156,2,1
1555074363,0,1
1555077962,1,0
1555081553,0,2
1555085156,1,2
1555088745,3,4
1555092349,2,4
1555095947,3,2
1555099560,2,1
1555103140,0,2
1555106750,2,1
1555110354,2,1
1555113962,2,1
1555117551,3,0
1555121158,1,1
1555124755,1,2
1555128342,2,2
1555131941,1,2
1555135542,0,1
1555139150,3,2
1555142757,1,2
1555146353,2,3
1555149963,1,1
1555153544,2,2
1555157147,4,0
1555160753,0,1
1555164348,0,1
1555167948,1,3
1555171547,4,3
1555175172,2,0
1555178743,1,3
1555182332,2,0
1555185942,1,1
1555189547,0,1
1555193152,1,2
1555196745,1,0
1555200357,0,1
1555203949,1,1
1555207560,1,1
1555211146,1,0
1555214758,2,1
1555221939,1,1
1555229149,0,8
1555232758,3,0
1555236344,3,2
1555239930,1,1
1555243548,1,1
1555247135,5,4
1555250743,6,2
1555254361,2,0
1555257948,1,3
1555261549,1,3
1555265146,1,3
1555268738,2,2
1555275956,0,2
1555279549,3,0
1555283148,1,0
1555286785,1,2
1555290350,1,0
1555293951,5,2
1555297548,1,1
1555301149,1,2
1555304738,3,0
1555308331,2,3
1555311953,2,2
1555315544,3,0
1555319153,1,2
1555322746,2,3
1555326346,2,3
1555329951,2,2
1555333527,1,2
1555337149,1,1
1555340764,1,3
1555344350,2,3
1555347950,2,3
1555351552,2,3
1555355156,3,3
1555358753,2,3
1555362346,2,1
1555365951,3,3
1555369550,4,0
1555373180,1,0
1555376740,0,2
1555380337,2,2
1555383947,3,3
1555387544,1,2
1555391138,2,2
1555394741,2,1
1555398354,1,2
1555401949,2,0
1555405559,3,2
1555409142,2,5
1555412746,1,2
1555416339,2,3
1555419948,3,2
1555423547,1,5
1555427158,5,0
1555430750,2,3
1555434346,2,2
1555437951,2,4
1555441541,3,0
1555445155,2,1
1555448753,1,3
1555452338,1,0
1555455951,0,2
1555459574,3,0
1555466744,1,2
1555470342,3,0
1555473947,0,4
1555477543,2,3
1555481133,1,2
1555484730,4,0
1555488347,2,0
1555491934,3,1
1555495547,2,5
1555499146,2,1
1555502743,1,1
1555506355,3,3
1555509951,2,3
1555513531,1,1
1555517141,1,1
1555520731,2,1
1555524339,0,2
1555527943,0,2
1555531553,2,1
1555535143,2,3
1555538746,3,1
1555542342,1,2
1555545966,2,2
1555549557,1,1
1555553148,3,0
1555556751,1,0
1555560356,3,2
1555563958,2,3
1555567560,3,1
1555571141,0,4
1555574760,2,3
