DateTime,AddedIPs,RemovedIPs
1554556285,0,1
1554559886,2,1
1554563477,1,0
1554567092,1,4
1554570697,1,0
1554574278,2,6
1554577877,5,1
1554581457,1,2
1554585061,1,0
1554588665,1,1
1554595933,7,0
1554599534,19,1
1554603085,2,2
1554606683,3,2
1554610275,2,14
1554613883,1,3
1554617503,1,3
1554621086,4,2
1554624668,2,1
1554628260,2,5
1554631871,6,2
1554635474,1,3
1554639064,3,1
1554642696,2,2
1554646287,2,1
1554649864,2,1
1554653465,4,3
1554657078,1,4
1554660671,2,1
1554664280,1,3
1554667875,3,1
1554671471,0,2
1554675064,2,2
1554678704,1,1
1554682302,2,3
1554685897,18,1
1554689500,2,0
1554693050,3,2
1554696679,3,16
1554700274,4,2
1554703901,2,10
1554707490,5,3
1554711103,2,2
1554714674,1,4
1554718288,5,4
1554721895,2,1
1554725489,1,2
1554729081,2,4
1554732711,5,1
1554736277,1,3
1554739914,3,2
1554743487,0,3
1554747081,2,5
1554750677,2,3
1554754281,2,4
1554757883,4,2
1554761490,3,10
1554765078,8,1
1554768730,6,1
1554772346,24,2
1554775925,13,2
1554779530,3,8
1554783093,7,16
1554786726,7,2
1554790311,1,15
1554793925,5,9
1554797527,5,4
1554801123,16,2
1554804708,3,1
1554808307,5,4
1554811916,3,2
1554815517,2,1
1554819109,2,1
1554822700,2,4
1554826301,2,2
1554829902,4,4
1554833519,1,5
1554837081,4,2
1554840695,2,6
1554844321,6,3
1554847935,2,6
1554851510,3,1
1554855130,3,1
1554858734,13,11
1554862326,10,2
1554865913,2,17
1554869488,1,28
1554873123,3,2
1554876720,0,4
1554880298,5,1
1554883920,0,1
1554887530,2,2
1554891086,3,1
1554894710,0,1
1554898328,3,3
1554901910,1,1
1554905521,1,0
1554909102,1,3
1554912717,0,5
1554916292,1,8
1554919887,9,7
1554923455,4,6
1554927080,4,1
1554930672,5,3
1554934289,3,2
1554937857,1,3
1554941512,5,1
1554945083,9,9
1554948718,9,3
1554952314,6,11
1554955878,8,14
1554959504,1,1
1554963097,2,7
1554966686,1,5
1554970310,5,1
1554973886,2,1
1554977520,1,6
1554981082,7,2
1554984726,4,4
1554988292,2,1
1554991884,0,2
1554995488,1,14
1554999042,4,4
1555002688,15,4
1555006313,3,1
1555009902,2,2
1555013507,1,2
1555017072,2,11
1555020706,10,1
1555024303,1,2
1555027914,6,0
1555031542,19,4
1555035106,6,1
1555038733,1,7
1555042292,5,13
1555045903,6,4
1555049463,3,4
1555053124,3,9
1555056711,1,4
1555060291,3,1
1555063889,1,1
1555067484,2,1
1555071123,0,4
1555074703,3,2
1555078289,1,0
1555081889,0,3
1555085523,2,1
1555089081,2,8
1555092711,5,3
1555096271,3,2
1555099924,3,2
1555103487,0,2
1555107082,2,1
1555110705,2,1
1555114299,6,3
1555117941,33,4
