DateTime,AddedIPs,RemovedIPs
1552791992,1,1
1552795572,1,1
1552799182,1,2
1552802797,1,1
1552806384,1,0
1552809958,1,0
1552824375,0,1
1552827979,1,0
1552842376,0,1
1552845978,1,0
1552867616,0,1
1552874786,1,1
1552878395,0,17
1552881993,1,0
1552889189,0,1
1552892781,0,1
1552903593,0,2
1552907174,1,0
1552914402,1,0
1552925179,0,3
1552928777,0,1
1552932380,4,4
1552935985,1,0
1552939585,2,0
1552943190,1,0
1552946782,0,1
1552954020,1,2
1552957583,2,0
1552964799,1,0
1552968398,1,1
1552971984,1,3
1552975580,0,1
1552979211,3,10
1552982783,9,0
1553000780,0,2
1553004389,0,3
1553007991,1,0
1553011575,4,0
1553025979,0,2
1553029587,0,4
1553033204,0,3
1553036795,5,0
1553043991,4,0
1553058393,2,2
1553061970,1,3
1553065579,1,6
1553069205,1,0
1553072804,0,2
1553076393,2,0
1553112393,0,1
1553115987,1,1
1553119584,1,3
1553126802,5,0
1553130395,7,3
1553133997,2,1
1553137603,7,0
1553144781,2,0
1553151993,0,4
1553155583,0,3
1553159184,3,1
1553162776,1,0
1553166393,2,0
1553191585,0,2
1553195179,0,3
1553198788,4,5
1553202385,2,5
1553205977,4,0
1553209591,1,0
1553213224,2,0
1553216782,0,2
1553220386,1,7
1553223986,0,9
1553227595,3,1
1553231185,3,4
1553234788,2,4
1553249194,0,1
1553256369,1,0
1553274383,0,2
1553277981,4,0
1553281585,4,0
1553285189,0,1
1553295985,0,1
1553299598,2,0
1553313981,0,1
1553317584,1,0
1553411185,0,4
1553421970,0,2
1553425586,1,1
1553436375,1,0
1553439977,1,0
1553472423,9,0
1553475971,3,0
1553483199,2,0
1553490391,0,2
1553497576,1,3
1553501190,4,0
1553519181,0,1
1553522790,1,0
1553529981,0,1
1553533587,0,1
1553537186,0,8
1553540789,1,1
1553544378,1,2
1553547981,9,0
1553555174,2,2
1553558818,1,1
1553562382,0,8
1553565990,2,6
1553569585,1,5
1553573175,2,0
1553576783,1,0
1553580368,0,1
1553583983,0,3
1553627178,0,1
1553630788,1,0
1553652384,1,0
1553659578,0,1
1553663168,1,0
1553666788,0,1
1553684768,0,1
1553688390,1,2
1553691973,2,0
1553745957,2,0
1553753181,0,1
1553756790,0,1
1553760387,0,2
1553767579,0,1
1553771180,1,0
1553818031,10,0
1553821592,6,1
1553825199,1,0
1553828816,3,2
1553832385,6,4
1553835987,2,4
1553839601,3,1
1553843185,0,3
1553846786,2,1
1553854002,1,1
1553861195,1,0
1553890002,0,2
1553893578,1,1
1553897185,0,1
1553900803,1,7
1553904410,5,0
1553907984,1,3
1553911585,1,1
1553915187,1,7
1553918775,1,0
1553933173,0,1
1553983585,1,1
1553987184,1,0
1554069992,0,1
1554073602,1,0
1554077217,11,0
1554080792,1,2
1554084396,2,0
1554087988,2,1
1554091585,3,1
1554095190,1,0
1554098782,2,1
1554102392,1,0
1554109578,0,1
1554113184,0,1
1554116791,1,0
1554120373,0,3
1554123987,1,3
1554127582,0,2
1554131198,5,2
1554134777,3,1
1554138389,1,1
1554141981,2,0
1554145588,1,2
1554149192,0,1
1554152795,1,1
1554156400,2,2
1554159981,2,0
1554163630,0,1
1554167192,1,0
1554170790,0,3
1554174397,3,0
1554177996,7,4
1554181592,3,5
1554185166,4,1
1554188811,0,4
1554192394,0,2
1554196015,0,3
1554199590,4,0
1554213992,0,7
1554217592,5,1
1554221190,0,2
1554224796,5,0
1554231979,0,1
1554235576,1,0
1554239184,0,8
1554242777,2,1
1554246375,1,1
1554250010,2,4
1554253569,2,1
1554257181,2,0
1554260779,3,3
1554264383,2,9
1554267963,1,0
1554271578,0,1
1554307571,0,5
1554311177,4,1
1554314777,1,0
1554318380,2,0
1554325585,0,4
1554329175,0,4
1554332780,1,3
1554336364,1,0
1554339981,3,1
1554343587,1,1
1554347177,4,0
1554350779,2,0
1554354373,0,1
1554361587,0,5
1554365194,0,1
1554368782,0,1
1554372385,2,2
1554375982,2,0
1554386779,0,1
1554390392,1,0
1554408380,0,2
1554411983,1,0
1554419177,1,0
1554426389,4,1
1554429995,4,0
1554433597,7,1
1554437177,4,4
1554440789,3,1
1554444393,3,0
1554447995,0,1
1554451598,0,1
1554455200,2,0
1554494800,0,2
1554501981,2,0
1554505604,13,0
1554509196,1,0
1554519997,0,3
1554523572,12,13
1554527185,0,5
1554530771,0,1
1554534390,0,2
1554545185,0,1
1554548782,0,6
1554552371,6,0
1554559587,1,0
1554573982,0,3
1554577577,3,0
1554599190,1,0
1554602781,0,1
1554609978,1,0
1554613570,0,1
1554620776,0,1
1554627978,1,1
1554631582,1,0
1554696377,1,0
1554699986,1,0
1554703599,0,8
1554707197,2,0
1554710795,0,1
1554714399,0,1
1554721602,0,1
1554728801,0,2
1554732399,3,0
1554746779,0,1
1554750387,0,1
1554761192,2,6
1554764782,6,0
1554771987,6,0
1554775593,9,0
1554779203,2,0
1554782792,5,3
1554786393,4,0
1554790005,0,12
1554793594,3,6
1554797201,3,4
1554800803,13,1
1554807981,4,0
1554822402,0,2
1554825993,1,1
1554829607,2,0
1554833206,0,4
1554840386,1,5
1554844008,6,3
1554847603,0,1
1554851198,3,0
1554858401,2,9
1554861993,7,0
1554865593,0,8
1554869189,0,10
1554872798,0,1
1554879987,2,0
1554887203,1,0
1554912398,0,1
1554915988,0,7
1554919578,4,3
1554923171,2,3
1554926773,3,0
1554930371,3,0
1554933997,2,1
1554937579,1,3
1554941185,1,0
1554944785,1,5
1554948403,4,1
1554951983,2,3
1554955574,6,0
1554962778,0,2
1554977196,0,6
1554980793,6,0
1554984398,0,1
1554987991,1,0
1554995177,0,11
1554998782,2,4
1555002379,10,0
1555005989,1,0
1555009587,1,1
1555013189,1,0
1555016788,1,6
1555020377,6,0
1555023986,0,1
1555031189,0,2
1555034803,2,1
1555038410,1,1
1555041998,2,0
1555045586,5,2
1555049162,1,3
1555052795,1,7
1555067189,0,1
1555070793,0,3
1555074398,3,0
1555081586,0,2
1555085189,1,0
1555088779,0,3
1555092382,3,0
1555095980,1,0
1555113998,0,2
1555117587,10,3
1555121192,13,0
1555128376,1,0
1555131976,1,0
1555139184,0,11
1555142796,8,2
1555146388,2,2
1555149998,1,0
1555153579,2,0
1555185976,0,2
1555189585,1,0
1555193191,1,0
1555196779,0,1
1555207593,0,6
1555211179,0,2
1555214793,4,17
1555218387,3,0
1555275989,0,5
1555279582,4,2
1555290383,4,0
1555293982,1,0
1555301182,1,0
1555304770,0,2
1555311986,0,1
1555322779,1,0
1555329986,0,7
1555333561,3,2
1555337181,0,1
1555340796,1,0
1555344383,2,2
1555347983,1,1
1555351585,3,0
1555358785,1,2
1555365984,1,3
1555369583,6,0
1555373216,0,1
1555383980,2,0
1555387576,1,1
1555391171,5,3
1555394774,1,1
1555398386,0,9
1555409175,0,2
1555412778,1,0
1555416371,0,6
1555419981,1,1
1555423580,3,0
1555427190,0,1
1555434379,0,2
1555437984,6,1
1555441574,1,0
1555452371,0,1
1555455984,0,2
1555459609,1,2
1555463182,4,1
1555466781,16,2
1555470378,2,0
1555473986,5,2
1555477578,3,0
1555481169,0,1
1555484766,0,1
1555488378,0,1
1555520765,0,6
1555524373,1,2
1555527977,1,5
1555531587,1,4
1555535178,3,3
1555538781,5,1
1555542376,2,2
1555546005,2,0
1555549590,4,1
1555553178,1,0
1555556784,0,5
1555560389,0,8
1555582000,0,4
1555585584,4,0
1555589178,0,1
1555596391,1,0
1555599983,0,1
1555607184,0,3
1555610787,1,1
1555614377,3,0
1555617994,2,4
1555625189,1,1
1555628789,2,0
1555632407,2,3
1555635983,3,0
1555639588,1,0
1555646780,9,0
1555650391,3,1
1555653971,0,1
1555657601,0,11
1555686386,0,1
1555689983,1,0
1555733177,1,1
1555740363,0,3
1555743982,0,3
1555808789,18,0
1555819597,2,0
1555826794,0,1
1555834001,0,1
1555844786,0,2
1555848384,2,0
1555851994,0,1
1555855596,1,0
1555902405,0,5
1555905983,1,8
1555913183,0,1
1555920382,0,1
1555938388,0,1
1555941998,2,0
1555959984,0,1
1555963590,3,0
1555967179,12,0
1555992377,3,0
1555995979,8,0
1555999581,1,0
1556003183,0,12
1556006785,1,1
1556013979,1,0
1556028374,0,2
1556031976,1,0
1556039173,1,1
1556042777,1,0
1556046380,0,1
1556049989,1,0
1556060774,0,1
1556064391,1,0
1556067972,0,1
1556071583,1,2
1556075186,1,1
1556078779,2,1
1556082375,1,0
1556085966,0,1
1556089582,0,5
1556096780,0,1
1556100383,1,2
1556103979,1,0
1556107578,1,0
1556121978,0,1
1556125567,1,1
1556132777,1,1
