DateTime,AddedIPs,RemovedIPs
1555378832,4,389
1555380764,7,326
1555382671,5,453
1555384586,10,267
1555386488,7,527
1555388425,11,323
1555390356,8,317
1555392256,32,382
1555394208,3,433
1555396096,2,109
1555398033,8,7
1555399948,8,8
1555402114,12,6
1555404013,4,13
1555405956,7,5
1555407861,13,6
1555409803,4,5
1555411704,2,6
1555413628,7,5
1555415537,5,4
1555417471,13,3
1555419392,3,2
1555421296,3,5
1555424181,11,14
1555426102,9,3
1555428032,4,81
1555429934,6,5
1555431873,6,11
1555433789,8,8
1555435707,8,8
1555437657,9,6
1555439558,9,23
1555441474,7,409
1555443368,20,9
1555445311,10,11
1555447480,8,12
1555449377,8,12
1555451294,4,3
1555454742,11,19
1555456578,13,11
1555458515,168,8
1555460428,11,5
1555462359,6,6
1555464253,5,4
1555466185,7,8
1555468101,11,8
1555470291,6,7
1555472172,5,11
1555474340,12,12
1555476259,8,14
1555478457,4,39
1555480358,19,5
1555482256,7,4
1555484183,120,9
1555486272,1249,10
1555488296,757,12
1555490182,796,6
1555492100,605,7
1555494028,717,17
1555495934,612,4
1555497880,790,3
1555499778,90,3
1555501695,2,6
1555503645,5,12
1555505575,6,5
1555507455,7,2
1555509400,2,7
1555511288,9,6
1555513250,4,10
1555515140,3,2
1555517359,7,2
1555519221,1,13
1555521140,4,6
1555523074,1,2
1555524984,45,11
1555526896,5,6
1555528846,8,5
1555530741,4,4
1555532653,8,4
1555534591,7,4
1555536501,6,6
1555538449,5,4
1555540373,7,4
1555542285,3,12
1555544193,2,4
1555546147,4,98
1555548033,6,3
1555549935,4,2
1555551880,7,5
1555553784,10,7
1555555958,15,10
1555557854,5,11
1555559777,3,14
1555561710,0,13
1555563630,4,3
1555565550,4,5
1555567482,6,23
1555569368,2,4
1555571332,8,378
1555573232,8,1339
1555575139,22,516
1555577052,4,884
1555578972,5,497
1555580892,4,784
1555582809,4,680
1555584731,133,683
1555586673,974,7
1555588587,769,5
1555590521,160,8
1555592459,123,5
1555594365,146,2
1555596448,242,8
1555598414,337,20
1555600332,225,3
1555602263,213,5
1555604479,283,11
1555606338,279,5
1555608304,234,5
1555610182,207,47
1555612101,219,3
1555614993,360,11
1555616899,282,4
1555618832,264,4
1555620761,341,1
1555622657,80,7
