DateTime,AddedIPs,RemovedIPs
1551982343,2,2
1551984282,2,0
1551988106,1,0
1551990045,3,0
1551993863,1,0
1551995777,3,0
1551997713,1,0
1552001547,1,0
1552005368,1,0
1552007293,0,2
1552013049,1,0
1552014988,2,0
1552016905,2,0
1552024568,1,0
1552032265,1,0
1552036105,1,0
1552039944,1,0
1552045704,1,0
1552053369,1,0
1552065144,1,0
1552067056,0,1
1552074730,0,1
1552082441,1,2
1552084354,0,1
1552088173,0,1
1552092026,0,1
1552093929,1,1
1552101630,0,1
1552103546,0,1
1552107372,1,0
1552112183,1,0
1552114115,1,0
1552116034,1,0
1552117942,1,0
1552130458,0,1
1552132360,0,1
1552134260,1,0
1552141946,0,1
1552147754,1,0
1552151535,0,1
1552159246,0,1
1552164974,1,0
1552166909,1,1
1552172931,0,1
1552184475,0,1
1552186360,0,1
1552195946,0,2
1552197884,0,1
1552201723,0,2
1552203622,0,2
1552205564,0,1
1552209377,0,1
1552219005,0,1
1552220910,0,1
1552229533,0,1
1552231468,0,1
1552233391,0,2
1552237246,0,1
1552241081,0,1
1552242973,0,2
1552248738,0,1
1552250667,0,1
1552341640,1,2
1552408589,1,0
1552429935,0,1
1552484910,1,0
1552494489,1,1
1552571300,0,1
1552578989,0,1
1552655325,1,0
1552740496,0,1
1552743133,1,0
1552829067,0,1
1552890029,1,0
1553094740,0,1
1553101254,1,0
1553186890,0,1
1553656831,1,0
1553709403,2,0
1553714184,2,0
1553719935,1,0
1553732174,1,0
1553742099,1,0
1553743948,0,1
1553745911,1,0
1553796093,1,1
1553797957,1,0
1553799879,0,1
1553801799,0,1
1553818370,0,1
1553826057,1,0
1553829854,1,0
1553831778,1,0
1553860099,0,1
1553863950,1,0
1553865850,1,0
1553877372,1,0
1553883138,0,2
1553885085,1,0
1553891053,1,0
1553912180,0,1
1553914092,1,0
1553916029,0,1
1553917931,0,1
1553923689,0,1
1553948901,1,1
1553950890,0,1
1553962337,0,1
1553971931,1,1
1553975769,1,1
1553977696,0,1
1553983487,1,0
1553996925,1,0
1554000734,0,1
1554012525,1,0
1554034587,0,1
1554036754,1,0
1554042502,1,0
1554048264,1,0
1554059785,0,1
1554061960,0,1
