DateTime,AddedIPs,RemovedIPs
1554428188,0,26
1554430109,1,106
1554441882,0,1
1554447774,0,8
1554449576,2,93
1554451506,2,93
1554453422,0,71
1554455300,0,60
1554457221,0,91
1554459186,0,92
1554461078,0,97
1554462983,2,84
1554464908,1,97
1554466850,0,87
1554468762,2,89
1554470687,1,47
1554472579,1,80
1554474757,0,83
1554476572,0,19
1554478601,0,1
1554486991,1,0
1554488911,0,4
1554494911,1,0
1554496824,1,0
1554500673,0,1
1554502613,0,1
1554508578,1,0
1554513395,0,1
1554517460,0,1
1554519378,1,0
1554521322,1,0
1554534994,0,1
1554536896,0,3
1554548490,0,1
1554550338,0,1
1554552286,0,1
1554554182,0,1
1554556139,0,2
1554558035,0,1
1554573373,0,1
1554577279,28,0
1554579136,106,0
1554581081,0,1
1554582996,4,1
1554594497,0,1
1554606144,0,2
1554609897,1,0
1554611777,1,0
1554613694,1,0
1554623302,1,0
1554632916,3,0
1554634883,7,0
1554636738,1,0
1554638921,1,0
1554644661,1,0
1554662902,0,16
1554664830,0,81
1554666734,0,29
1554668680,0,4
1554672506,1,0
1554682113,1,0
1554695575,0,1
1554697459,0,1
1554699404,0,1
1554703299,1,0
1554709000,52,1
1554710909,127,0
1554712871,152,0
1554714750,124,0
1554716666,149,0
1554718606,128,3
1554720532,147,15
1554722439,123,0
1554724621,160,2
1554726537,129,0
1554729414,197,0
1554731342,148,1
1554733278,136,0
1554735164,142,0
1554737097,70,0
1554738994,57,0
1554741164,1,0
1554743072,1,0
1554754583,2,0
1554758468,0,1
1554768522,0,1
1554789692,0,1
1554795375,0,38
1554797321,0,117
1554799225,0,127
1554801140,0,109
1554803083,0,144
1554804999,0,117
1554806896,0,118
1554808852,0,107
1554810743,0,136
1554812660,0,120
1554814584,0,124
1554816525,0,111
1554818475,1,141
1554820345,0,249
1554822271,0,154
1554824185,2,119
1554826115,1,11
1554829935,2,1
1554837637,2,0
1554839779,0,1
1554841691,0,1
1554845558,11,0
1554847478,13,0
1554849379,1,0
1554851305,2,0
1554853239,2,0
1554855161,6,0
1554857052,7,0
1554882024,1,0
1554895960,8,0
1554897862,109,0
1554899784,16,0
1554901723,215,0
1554903614,185,1
1554909652,0,1
1554911555,1,1
1554913461,0,1
1554915394,0,2
1554923100,0,2
1554930744,1,0
1554933155,0,18
1554935118,0,4
1554936977,0,3
1554940920,0,5
1554942739,0,10
1554944699,9,0
1554946582,1,0
1554948495,1,0
1554960027,2,0
1554961929,1,0
1554967707,0,1
1554981141,0,1
1554983071,1,40
1554984973,0,88
1554986901,2,83
1554988814,0,232
1554990758,0,91
1554996543,0,1
1555017630,1,1
1555031089,0,8
1555032986,0,2
1555034927,0,1
1555046430,0,2
1555048360,0,1
1555052204,2,0
1555054096,1,0
1555069489,0,1
1555073301,0,2
1555075239,1,0
1555079064,1,0
1555084904,1,0
1555090833,1,0
1555092772,8,0
1555094679,5,0
1555096584,55,0
1555098518,4,0
1555102350,11,0
1555104272,0,1
1555110159,2,0
1555117706,1,0
1555121775,1,0
1555123722,1,0
1555137397,0,2
1555139324,0,1
1555154653,1,0
1555162568,0,1
1555166421,0,1
1555170268,0,1
1555176027,0,1
1555179849,0,9
1555181786,0,20
1555183699,1,43
1555187531,0,6
1555189479,1,5
1555195239,0,1
1555197135,0,1
1555199052,1,0
1555203137,0,1
1555206983,2,1
1555208904,0,1
1555214686,1,0
1555230261,1,0
1555234092,1,0
1555242729,0,1
1555244657,19,0
1555246568,84,0
1555256187,1,0
1555261949,1,0
1555267704,1,0
1555269636,0,1
1555277296,0,1
1555284999,0,1
1555292937,0,2
1555300592,0,1
1555312123,1,0
1555314029,1,0
1555315943,1,0
1555317873,13,1
1555320053,0,1
1555327717,1,0
1555329691,0,11
1555331566,1,30
1555333472,0,62
1555341405,0,1
1555347138,0,1
1555352906,0,1
1555357970,1,0
1555359863,2,0
1555361771,8,0
1555363716,10,0
1555377393,1,0
1555383397,1,0
1555388181,1,0
1555398106,0,1
1555399951,82,1
1555404016,0,14
1555405959,1,0
1555407865,1,0
1555415540,11,1
1555417474,205,0
1555419396,243,1
1555425169,11,0
1555432831,3,0
1555434739,20,0
1555438590,1,0
1555440777,1,0
1555444598,0,2
1555446680,0,1
1555448691,0,17
1555450853,1,1
1555458518,1,0
1555464266,0,1
1555470301,0,1
1555474358,0,1
1555484187,2,0
1555486276,0,82
1555492103,31,1
1555494031,0,1
1555495938,1,0
1555501699,169,0
1555503649,84,191
1555505579,0,252
1555507458,1,16
1555509403,1,0
1555511292,0,11
1555515143,1,0
1555519225,1,2
1555521144,1,21
1555524987,1,1
1555526899,1,1
1555528849,1,0
1555532662,1,0
1555536505,0,1
1555538523,1,0
1555542300,1,0
1555544197,0,1
1555546151,45,0
1555548036,23,0
1555553787,5,0
1555555962,2,0
1555571335,3,2
1555575142,55,0
1555577055,0,4
1555578975,0,26
1555580895,124,1
1555582828,221,0
1555584734,242,0
1555586676,238,0
1555588591,211,237
1555590534,139,17
1555592577,117,0
1555594379,132,2
1555596481,147,0
1555598418,136,0
1555600359,135,0
1555602277,147,1
1555604483,157,0
1555606342,145,2
1555608321,107,0
1555610197,139,0
1555612133,134,2
1555614104,139,1
1555615956,131,0
1555617892,127,0
1555619780,134,1
1555621952,89,0
