DateTime,AddedIPs,RemovedIPs
1555384591,13,8
1555386492,12,8
1555388428,11,9
1555390363,11,43
1555392274,712,15
1555394212,6,77
1555396117,6,10
1555398121,7,12
1555399952,60,7
1555402118,11,8
1555404018,10,13
1555405960,7,8
1555407866,13,6
1555409807,11,13
1555411710,9,10
1555413633,73,9
1555415541,19,11
1555417475,10,6
1555419397,12,16
1555421300,6,10
1555423321,9,11
1555425170,9,8
1555427080,8,13
1555428997,14,10
1555430916,7,12
1555432832,9,9
1555434740,5,9
1555436664,9,13
1555438591,5,14
1555440778,11,1442
1555442659,12,39
1555444599,13,10
1555446681,13,13
1555448692,18,13
1555450854,20,20
1555452740,12,10
1555454747,6,25
1555456583,23,15
1555458519,496,16
1555460432,9,12
1555462364,15,14
1555464267,11,15
1555466190,18,9
1555468106,18,8
1555470303,13,13
1555472177,20,12
1555474360,12,13
1555476263,57,16
1555478462,16,711
1555480363,11,6
1555482276,12,11
1555484188,10,11
1555486277,13,60
1555488305,6,12
1555490186,10,14
1555492104,159,12
1555494032,282,14
1555495939,10,7
1555497885,6,9
1555499782,11,80
1555501700,10,21
1555503650,9,10
1555505580,17,12
1555507459,8,7
1555509404,14,13
1555511293,719,12
1555513334,7,10
1555515144,10,12
1555517363,16,10
1555519226,9,9
1555521145,17,3
1555523078,5,6
1555524988,8,5
1555526900,5,11
1555528850,10,9
1555530745,7,9
1555532663,6,5
1555534595,13,20
1555536506,13,15
1555538548,10,11
1555540377,9,10
1555542301,11,19
1555544198,14,10
1555546152,10,432
1555548037,14,14
1555549940,15,12
1555551884,15,9
1555553788,10,20
1555555963,25,6
1555557859,15,14
1555559781,10,9
1555561714,13,11
1555563719,8,48
1555565554,5,13
1555567505,8,7
1555569372,9,9
1555571336,11,8
1555573251,15,9
1555575144,16,6
1555577056,4,10
1555578976,8,347
1555580896,13,125
1555582829,10,11
1555584735,15,4
1555586678,13,7
1555588592,14,8
1555590535,9,10
1555592591,10,9
1555594841,10,12
1555596787,12,9
1555598681,7,756
1555600610,10,8
1555602527,15,15
1555604484,6,10
1555606343,15,10
1555608325,9,24
1555610198,9,9
1555612147,12,6
1555614131,11,11
1555615969,6,10
1555617911,15,7
1555619791,13,7
1555621953,11,24
1555623860,7,11
1555626141,16,9
1555627963,13,17
1555629857,15,12
1555631790,11,14
1555633958,10,15
1555635880,15,17
1555637806,15,18
1555639710,15,14
1555641641,8,13
1555643542,11,17
1555645466,21,12
1555647396,9,11
1555649302,13,14
1555651242,6,11
1555653136,17,10
1555655055,14,10
1555657001,14,12
1555658905,6,18
1555661035,13,16
1555662973,11,15
1555664902,8,8
1555666834,7,13
1555668738,8,13
1555670666,19,19
1555672599,15,13
1555674498,9,15
1555676448,8,16
1555678352,12,11
1555680256,10,7
1555682359,20,12
1555684348,18,14
1555686289,15,14
1555688181,15,6
1555690126,15,13
1555692033,16,10
1555693939,6,18
1555695882,13,8
1555697801,8,9
1555699719,442,11
1555701611,10,7
1555703568,670,10
1555705453,10,8
1555707375,10,11
1555709328,9,3
1555711250,12,7
1555713157,11,10
1555715098,10,8
1555716985,3,7
1555718928,11,7
1555720833,124,7
1555722754,12,10
1555724677,5,9
1555726591,6,10
1555728505,6,23
1555730439,10,10
1555732335,6,13
1555734273,6,7
1555736190,7,9
1555738097,4,5
1555740137,5,14
1555741971,7,9
1555743892,4,9
1555745782,2,4
1555747706,6,10
1555749640,8,10
1555751537,4,4
1555753470,3,6
1555755382,5,7
1555757303,15,10
1555759234,11,9
1555761140,5,8
1555763083,12,3
1555764978,6,10
1555767161,5,7
1555769307,4,15
1555771216,112,10
1555773146,518,11
1555775054,90,11
1555776997,7,11
1555778903,5,9
1555780812,12,5
1555782734,7,7
1555784693,9,288
1555786596,8,14
1555788497,4,209
1555790525,10,603
1555792365,15,13
1555794311,15,13
1555796194,84,9
1555798355,10,19
1555800826,8,16
1555802678,8,7
1555804579,7,12
1555806501,13,19
1555808497,9,195
1555810361,8,9
1555812284,10,8
1555814174,11,11
1555816103,16,16
1555818014,6,8
1555819937,11,5
1555821882,55,11
1555823771,8,10
1555825692,73,10
1555827655,15,8
1555829543,10,8
1555831451,9,6
1555833398,12,7
1555835292,79,10
1555838186,299,8
1555840095,14,4
1555842009,4,4
1555843958,11,16
1555845854,181,10
1555847769,139,7
1555849748,6,15
1555852601,8,12
1555854507,14,3
1555856423,5,6
1555858365,13,295
1555860258,8,398
1555862206,12,8
1555864128,8,12
1555866078,13,12
1555867943,11,7
1555869885,10,6
1555871799,8,16
1555873701,7,6
1555875641,9,8
1555877555,7,10
1555879468,5,15
1555881408,14,13
1555883299,261,83
1555885216,8,9
1555887165,26,9
1555889059,5,8
1555891307,14,10
1555893150,4,15
1555895071,15,10
1555896993,13,8
1555898904,10,8
1555900813,11,14
1555902754,8,16
1555904662,8,6
1555906588,10,15
1555908496,123,10
1555910439,11,12
1555912331,2,70
1555914253,12,13
1555916199,19,9
1555918094,6,6
1555920077,629,8
1555921946,10,7
1555923877,11,10
1555925791,9,309
1555927703,7,9
1555929630,9,8
1555931537,6,173
1555933460,12,136
1555935378,12,18
1555937306,12,5
1555939215,11,7
1555941141,10,12
1555943062,20,5
1555944974,11,13
1555947155,12,10
1555949328,6,13
1555951218,21,11
1555953148,5,12
1555955059,6,6
1555956993,18,11
