DateTime,Entries,UniqueIPs
1555384591,2263,2263
1555386492,2267,2267
1555388428,2269,2269
1555390363,2237,2237
1555392274,2934,2934
1555394212,2863,2863
1555396117,2859,2859
1555398121,2854,2854
1555399952,2907,2907
1555402118,2910,2910
1555404018,2907,2907
1555405960,2906,2906
1555407866,2913,2913
1555409807,2911,2911
1555411710,2910,2910
1555413633,2974,2974
1555415541,2982,2982
1555417475,2986,2986
1555419397,2982,2982
1555421300,2978,2978
1555423321,2976,2976
1555425170,2977,2977
1555427080,2972,2972
1555428997,2976,2976
1555430916,2971,2971
1555432832,2971,2971
1555434740,2967,2967
1555436664,2963,2963
1555438591,2954,2954
1555440778,1523,1523
1555442659,1496,1496
1555444599,1499,1499
1555446681,1499,1499
1555448692,1504,1504
1555450854,1504,1504
1555452740,1506,1506
1555454747,1487,1487
1555456583,1495,1495
1555458519,1975,1975
1555460432,1972,1972
1555462364,1973,1973
1555464267,1969,1969
1555466190,1978,1978
1555468106,1988,1988
1555470303,1988,1988
1555472177,1996,1996
1555474360,1995,1995
1555476263,2036,2036
1555478462,1341,1341
1555480363,1346,1346
1555482276,1347,1347
1555484188,1346,1346
1555486277,1299,1299
1555488305,1293,1293
1555490186,1289,1289
1555492104,1436,1436
1555494032,1704,1704
1555495939,1707,1707
1555497885,1704,1704
1555499782,1635,1635
1555501700,1624,1624
1555503650,1623,1623
1555505580,1628,1628
1555507459,1629,1629
1555509404,1630,1630
1555511293,2337,2337
1555513334,2334,2334
1555515144,2332,2332
1555517363,2338,2338
1555519226,2338,2338
1555521145,2352,2352
1555523078,2351,2351
1555524988,2354,2354
1555526900,2348,2348
1555528850,2349,2349
1555530745,2347,2347
1555532663,2348,2348
1555534595,2341,2341
1555536506,2339,2339
1555538548,2338,2338
1555540377,2337,2337
1555542301,2329,2329
1555544198,2333,2333
1555546152,1911,1911
1555548037,1911,1911
1555549940,1914,1914
1555551884,1920,1920
1555553788,1910,1910
1555555963,1929,1929
1555557859,1930,1930
1555559781,1931,1931
1555561714,1933,1933
1555563719,1893,1893
1555565554,1885,1885
1555567505,1886,1886
1555569372,1886,1886
1555571336,1889,1889
1555573251,1895,1895
1555575144,1905,1905
1555577056,1899,1899
1555578976,1560,1560
1555580896,1448,1448
1555582829,1447,1447
1555584735,1458,1458
1555586678,1464,1464
1555588592,1470,1470
1555590535,1469,1469
1555592591,1470,1470
1555594841,1468,1468
1555596787,1471,1471
1555598681,722,722
1555600610,724,724
1555602527,724,724
1555604484,720,720
1555606343,725,725
1555608325,710,710
1555610198,710,710
1555612147,716,716
1555614131,716,716
1555615969,712,712
1555617911,720,720
1555619791,726,726
1555621953,713,713
1555623860,709,709
1555626141,716,716
1555627963,712,712
1555629857,715,715
1555631790,712,712
1555633958,707,707
1555635880,705,705
1555637806,702,702
1555639710,703,703
1555641641,698,698
1555643542,692,692
1555645466,701,701
1555647396,699,699
1555649302,698,698
1555651242,693,693
1555653136,700,700
1555655055,704,704
1555657001,706,706
1555658905,694,694
1555661035,691,691
1555662973,687,687
1555664902,687,687
1555666834,681,681
1555668738,676,676
1555670666,676,676
1555672599,678,678
1555674498,672,672
1555676448,664,664
1555678352,665,665
1555680256,668,668
1555682359,676,676
1555684348,680,680
1555686289,681,681
1555688181,690,690
1555690126,692,692
1555692033,698,698
1555693939,686,686
1555695882,691,691
1555697801,690,690
1555699719,1121,1121
1555701611,1124,1124
1555703568,1784,1784
1555705453,1786,1786
1555707375,1785,1785
1555709328,1791,1791
1555711250,1796,1796
1555713157,1797,1797
1555715098,1799,1799
1555716985,1795,1795
1555718928,1799,1799
1555720833,1916,1916
1555722754,1918,1918
1555724677,1914,1914
1555726591,1910,1910
1555728505,1893,1893
1555730439,1893,1893
1555732335,1886,1886
1555734273,1885,1885
1555736190,1883,1883
1555738097,1882,1882
1555740137,1873,1873
1555741971,1871,1871
1555743892,1866,1866
1555745782,1864,1864
1555747706,1860,1860
1555749640,1858,1858
1555751537,1858,1858
1555753470,1855,1855
1555755382,1853,1853
1555757303,1858,1858
1555759234,1860,1860
1555761140,1857,1857
1555763083,1866,1866
1555764978,1862,1862
1555767161,1860,1860
1555769307,1849,1849
1555771216,1951,1951
1555773146,2458,2458
1555775054,2537,2537
