DateTime,AddedIPs,RemovedIPs
1551594519,1,0
1551608210,0,1
1551618152,0,1
1551627628,1,0
1551648988,6,0
1551651165,1,0
1551660996,3,1
1551678277,1,0
1551680174,0,1
1551713304,0,1
1551719304,1,0
1551721293,1,0
1551734675,0,6
1551736596,0,1
1551746415,0,3
1551763693,0,1
1551805294,0,1
1551817352,1,1
1551901217,0,1
1551933641,1,0
1551970092,1,0
1552020275,0,1
1552026017,2,0
1552051216,1,0
1552055069,0,1
1552112678,0,2
1552130937,2,0
1552138593,0,1
1552165494,1,0
1552218732,0,2
1552234167,1,0
1552237933,1,0
1552241808,2,0
1552245638,1,0
1552247575,4,0
1552251384,4,1
1552255290,2,0
1552280197,1,0
1552319788,1,1
1552325771,0,1
1552327701,0,2
1552333464,0,5
1552337302,0,2
1552339226,0,2
1552341179,0,2
1552367611,0,1
1552404036,0,1
1552406950,1,0
1552464528,1,0
1552493797,0,1
1552495738,1,0
1552499548,1,0
1552503407,2,0
1552505321,2,0
1552517114,1,0
1552519006,1,0
1552522851,1,0
1552524739,1,0
1552532692,1,0
1552540384,1,0
1552544217,1,0
1552546114,1,0
1552549971,0,1
1552571307,1,0
1552582975,0,1
1552586704,0,1
1552588586,1,0
1552590543,0,2
1552592467,2,2
1552602025,1,0
1552603971,2,1
1552605887,0,1
1552607815,1,0
1552609737,0,2
1552611805,1,0
1552617620,1,0
1552619538,1,1
1552625298,1,0
1552627243,0,1
1552631060,1,2
1552642577,1,0
1552644528,1,0
1552646415,1,0
1552648585,1,0
1552652431,2,0
1552656264,1,0
1552658201,0,1
1552660240,2,0
1552664302,1,0
1552666152,1,0
1552670189,1,0
1552672095,1,0
1552674047,2,1
1552677871,2,1
1552679801,0,1
1552681695,2,0
1552683684,3,0
1552685566,1,0
1552690059,3,2
1552692026,0,1
1552693936,1,1
1552695869,1,0
1552697783,3,1
1552701808,2,0
1552703772,1,0
1552705698,0,2
1552707660,1,0
1552709552,4,0
1552711477,0,1
1552715309,1,0
1552717241,0,1
1552719139,1,0
1552722980,1,0
1552728981,1,1
1552730913,0,1
1552732814,1,1
1552734795,3,1
1552738603,0,2
1552740502,2,0
1552742663,1,1
1552744579,2,0
1552746523,2,2
1552748576,1,0
1552750570,0,1
1552752560,0,1
1552754422,1,0
1552756584,1,1
1552758503,0,1
1552760446,0,2
1552764258,0,2
1552766201,1,0
1552768095,1,2
1552770975,1,4
1552774837,0,3
1552779226,3,1
1552781193,1,1
1552782994,1,2
1552784927,0,1
1552786829,0,1
1552788758,1,1
1552790696,2,1
1552792594,0,1
1552794508,1,2
1552796450,1,2
1552802207,1,1
1552804119,0,1
1552806217,1,0
1552808186,1,1
1552810100,1,0
1552813947,1,0
1552815856,1,1
1552817794,0,1
1552819731,2,0
1552821625,4,3
1552825472,1,0
1552827380,0,2
1552829296,0,1
1552831459,0,3
1552833390,1,2
1552841078,2,1
1552842975,0,1
1552846832,1,0
1552852593,0,1
1552854493,1,1
1552858361,2,1
1552862194,1,0
1552864113,1,0
1552866352,1,4
1552868214,2,1
1552872030,1,0
1552873977,1,0
1552875869,0,2
1552877801,0,1
1552879701,1,0
1552881928,1,2
1552883791,1,0
1552887617,0,1
1552889547,1,0
1552891476,0,1
1552895305,0,2
1552899136,3,0
1552901068,0,2
1552903001,2,0
1552904908,2,1
1552907787,1,3
1552909699,0,2
1552911656,0,1
1552919296,0,1
1552921316,1,0
1552923138,1,0
1552925113,1,0
1552927021,1,2
1552930857,2,0
1552932740,1,1
1552936581,1,0
1552938509,2,0
1552940435,0,1
1552944514,0,2
1552946596,1,0
1552948572,0,1
1552950528,1,1
1552952417,1,0
1552954373,1,3
1552958181,0,1
1552960099,1,1
1552963938,2,0
1552965861,0,1
1552967785,1,1
1552969721,0,1
1552975504,0,1
1552979556,2,0
1552981459,1,0
1552985299,2,3
1552989146,0,2
1552991059,0,1
1552992998,0,1
1552994907,0,1
1553006905,1,1
1553010756,0,2
1553012686,0,1
1553016505,0,2
1553020346,0,1
1553022298,0,1
1553024200,0,1
1553026116,0,1
1553031877,0,1
1553035718,0,1
1553037642,0,1
1553041369,0,1
1553045317,1,0
1553047369,0,1
1553049384,0,2
1553053231,0,1
1553064755,0,1
1553066668,0,1
1553068574,0,1
1553070517,0,1
1553072470,0,1
1553093787,0,1
1553129315,1,0
1553131242,0,1
1553180537,1,0
1553211371,1,0
1553215221,0,1
1553223159,1,0
1553225060,1,0
1553266238,0,1
1553289858,1,0
1553297566,0,1
1553309340,0,1
1553311468,0,1
1553321324,1,0
1553336919,1,0
1553346735,1,0
1553369783,1,0
1553371720,1,0
1553375792,0,1
1553406759,0,1
1553424267,0,1
1553432501,0,1
1553455700,0,1
1553476831,1,1
1553491490,1,0
1553531290,1,0
1553535158,1,0
1553552666,1,0
1553564422,0,1
1553575965,1,1
1553611945,2,0
1553613881,1,0
1553617703,0,1
1553619901,0,1
1553638606,0,1
1553642454,1,0
1553661619,0,1
1553697403,0,1
1553699595,1,2
1553722829,1,0
1553728835,0,1
1553751886,1,0
1553780903,1,0
1553786687,0,1
1553802277,1,0
1553806106,1,0
1553808034,0,1
1553827956,1,0
1553837575,0,1
1553866351,1,0
1553868308,1,1
1553874026,1,0
1553889889,0,1
1553891775,0,1
1553915100,0,1
1553934264,1,0
1553936172,1,0
