DateTime,Entries,UniqueIPs
1555384599,2828,2828
1555386499,2853,2853
1555388435,2869,2869
1555390369,2869,2869
1555392282,2870,2870
1555394219,2917,2917
1555396123,2923,2923
1555398152,2928,2928
1555399959,3008,3008
1555402124,3017,3017
1555404025,3006,3006
1555405966,2998,2998
1555407880,2987,2987
1555409814,2967,2967
1555411717,2976,2976
1555413650,2981,2981
1555415548,2976,2976
1555417482,3180,3180
1555419405,3427,3427
1555421307,3424,3424
1555423344,3416,3416
1555425187,3433,3433
1555427086,3445,3445
1555429004,3445,3445
1555430922,3438,3438
1555432840,3433,3433
1555434747,3473,3473
1555436686,3463,3463
1555438599,3471,3471
1555440785,3480,3480
1555442665,3476,3476
1555444605,3477,3477
1555446697,3493,3493
1555448699,3461,3461
1555450868,3460,3460
1555452747,3455,3455
1555454754,3443,3443
1555456590,3429,3429
1555458526,3435,3435
1555460440,3448,3448
1555462370,3376,3376
1555464274,3358,3358
1555466197,3349,3349
1555468112,3339,3339
1555470313,3336,3336
1555472184,3320,3320
1555474374,3308,3308
1555476270,3315,3315
1555478468,3308,3308
1555480370,3297,3297
1555482282,3230,3230
1555484194,3276,3276
1555486285,3204,3204
1555488315,3210,3210
1555490194,3204,3204
1555492112,3234,3234
1555494059,3240,3240
1555495948,3238,3238
1555497892,3238,3238
1555499798,3232,3232
1555501708,3408,3408
1555503658,3306,3306
1555505588,3044,3044
1555507474,3027,3027
1555509412,3032,3032
1555511301,2990,2990
1555513382,2981,2981
1555515406,2976,2976
1555517379,2973,2973
1555519232,2944,2944
1555521152,2899,2899
1555523084,2898,2898
1555524995,2894,2894
1555526907,2905,2905
1555528857,2908,2908
1555530752,2896,2896
1555532678,2866,2866
1555534601,2860,2860
1555536513,2854,2854
1555538591,2839,2839
1555540879,2844,2844
1555542767,2847,2847
1555544662,2829,2829
1555546591,2860,2860
1555548511,2856,2856
1555550453,2874,2874
1555552342,2873,2873
1555554278,2873,2873
1555556184,2900,2900
1555558119,2888,2888
1555560146,2901,2901
1555561952,2890,2890
1555563791,2877,2877
1555565783,2883,2883
1555567740,2908,2908
1555569640,2877,2877
1555571542,2873,2873
1555573619,2861,2861
1555575632,2932,2932
1555577557,2913,2913
1555579465,2910,2910
1555581407,3124,3124
1555583329,3347,3347
1555585384,3610,3610
1555587392,3806,3806
1555589561,3817,3817
1555591455,3953,3953
1555593657,4155,4155
1555595539,4280,4280
1555597481,4453,4453
1555599389,4584,4584
1555601337,4719,4719
1555603260,4864,4864
1555606107,5076,5076
1555608356,5195,5195
1555610212,5345,5345
1555612163,5469,5469
1555614277,5602,5602
1555616460,5787,5787
1555618360,5924,5924
1555620270,6056,6056
1555622215,6099,6099
1555624094,6108,6108
1555626149,6120,6120
1555627973,6106,6106
1555629896,6082,6082
1555631807,6053,6053
1555633966,6016,6016
1555635901,6006,6006
1555637813,6003,6003
1555639717,6002,6002
1555641648,5995,5995
1555643549,5989,5989
1555645489,5973,5973
1555647412,5955,5955
1555649308,5949,5949
1555651248,5932,5932
1555653142,5898,5898
1555655063,5871,5871
1555657023,5849,5849
1555658912,5857,5857
1555661078,5796,5796
1555662979,5773,5773
1555664908,5761,5761
1555666843,5674,5674
1555668752,5400,5400
1555670672,5133,5133
1555672605,4871,4871
1555674513,4610,4610
1555676455,4443,4443
1555678360,4278,4278
1555680262,4099,4099
1555682375,3911,3911
1555684356,3787,3787
1555686299,3668,3668
1555688188,3528,3528
1555690133,3372,3372
1555692039,3220,3220
1555693946,3103,3103
1555695887,2958,2958
1555697839,2803,2803
1555699726,2657,2657
1555701636,2634,2634
1555703575,2610,2610
1555705459,2554,2554
1555707392,2368,2368
1555709333,2107,2107
1555711260,2024,2024
1555713164,2024,2024
1555715109,2032,2032
1555716991,2051,2051
1555718934,2052,2052
1555720842,2046,2046
1555722761,2042,2042
1555724684,2035,2035
1555726597,2029,2029
1555728511,2010,2010
1555730446,2003,2003
1555732343,2000,2000
1555734280,1998,1998
1555736197,1983,1983
1555738105,2001,2001
1555740150,1995,1995
1555741978,1995,1995
1555743899,1998,1998
1555745788,1994,1994
1555747712,1998,1998
1555749647,2001,2001
1555751556,1981,1981
1555753476,1971,1971
1555755389,1969,1969
1555757325,1970,1970
1555759240,1969,1969
1555761148,1985,1985
1555763089,1995,1995
1555764986,2000,2000
1555767168,2022,2022
1555769328,2009,2009
1555771223,2020,2020
1555773153,2014,2014
1555775076,2012,2012
1555777006,2023,2023
1555778910,2019,2019
1555780819,2023,2023
1555782740,2026,2026
1555784720,2034,2034
1555786604,2047,2047
1555788504,2057,2057
1555790553,2052,2052
1555792371,2060,2060
1555794327,2065,2065
1555796202,2061,2061
1555798361,2066,2066
1555800833,2074,2074
1555802685,2076,2076
1555804585,2057,2057
