DateTime,AddedIPs,RemovedIPs
1553804668,1,0
1553806612,1,0
1553812650,3,0
1553814529,1,0
1553818378,0,1
1553820281,1,1
1553833721,0,1
1553837577,0,1
1553841382,0,2
1553843349,0,2
1553858665,1,1
1553864497,0,2
1553866352,0,2
1553868317,1,0
1553874027,1,0
1553879798,2,0
1553885804,1,0
1553887714,0,1
1553893726,0,1
1553895629,0,1
1553897553,0,1
1553899485,2,2
1553901388,2,1
1553903561,1,0
1553907403,0,1
1553909299,0,1
1553911384,1,1
1553913191,1,0
1553915102,1,0
1553918934,1,0
1553934266,1,1
1553936174,0,1
1553941975,1,0
1553945798,0,1
1553947964,0,1
1553949864,1,0
1553953711,1,0
1553955620,2,0
1553957544,1,0
1553961404,1,0
1553963296,1,0
1553969187,0,1
1553971011,1,0
1553984433,0,1
1553986343,0,1
1553988288,1,2
1553990177,0,2
1553998114,0,1
1554000042,0,3
1554004098,0,1
1554010112,0,1
1554021655,0,1
1554031242,0,1
1554035064,1,0
1554037008,0,2
1554038914,0,1
1554040948,0,2
1554043019,1,0
1554044928,0,1
1554046830,0,1
1554050682,0,1
1554065789,3,0
1554067748,2,0
1554074017,0,1
1554077805,0,1
1554081648,0,1
1554083582,1,0
1554087385,1,0
1554101096,1,0
1554102989,1,0
1554110906,1,0
1554122439,0,1
1554151850,1,0
1554153895,0,1
1554157717,2,0
1554159782,2,0
1554169465,0,1
1554173334,0,1
1554182906,1,0
1554187034,1,0
1554194693,1,1
1554196598,1,0
1554198533,1,0
1554202348,0,2
1554210190,0,1
1554211993,0,1
1554213938,1,0
1554217736,1,0
1554226622,1,0
1554230456,1,0
1554232352,1,0
1554238129,0,1
1554240059,2,1
1554241964,1,0
1554247231,1,1
1554249161,1,0
1554253010,1,0
1554272432,0,1
1554274373,1,0
1554282293,0,2
1554284183,2,0
1554286108,1,1
1554288059,1,0
1554291886,0,2
1554301476,0,1
1554307374,2,0
1554309378,0,1
1554313478,0,1
1554315395,1,1
1554317296,1,0
1554319231,0,1
1554325007,0,1
1554326919,0,2
1554328925,1,0
1554330773,1,0
1554332590,1,0
1554334575,2,2
1554338426,0,2
1554340341,0,1
1554349942,1,0
1554355716,0,1
1554359793,0,1
1554371311,0,2
1554373245,0,1
1554377096,0,1
1554380913,0,1
1554382949,1,0
1554384770,2,0
1554390513,1,0
1554392422,1,0
1554398253,1,0
1554402049,2,1
1554403937,2,0
1554415703,0,2
1554418350,0,1
1554420268,0,3
1554422190,0,1
1554426197,2,0
1554445709,2,0
1554447789,1,0
1554450036,1,1
1554457942,1,0
1554461800,1,0
1554465762,0,1
1554469718,0,2
1554471869,0,2
1554475739,0,1
1554477630,0,1
1554481488,1,0
1554485557,0,1
1554487468,1,0
1554491314,0,1
1554501166,1,0
1554503075,1,0
1554510763,1,0
1554512567,0,1
1554531878,0,3
1554533792,0,1
1554535727,0,3
1554537794,1,0
1554543865,1,0
1554545811,1,0
1554551566,1,0
1554553476,1,0
1554555373,1,0
1554557313,3,0
1554559134,1,0
1554566923,1,1
1554568833,2,0
1554572918,0,1
1554574813,1,0
1554580603,1,0
1554582519,1,0
1554588298,0,1
1554590182,0,1
1554594033,1,1
1554599784,1,0
1554605542,0,1
1554619244,0,1
1554626906,1,0
1554634572,0,1
1554636515,2,1
1554638506,0,1
1554640340,0,1
1554644183,0,1
1554646139,0,2
1554648019,0,1
1554653793,0,3
1554669141,2,1
1554671100,2,0
1554672998,2,0
1554680690,0,1
1554688342,1,0
1554701785,0,1
1554703735,0,1
1554711425,0,1
1554713320,0,1
1554719098,0,1
1554720988,0,1
1554723873,0,1
1554725837,1,0
1554729915,0,1
1554743322,1,0
1554749314,1,0
1554757000,1,0
1554758943,2,0
1554760976,1,0
1554766820,1,0
1554774503,0,1
1554782185,1,0
1554799706,1,1
1554801644,1,0
1554803565,1,1
1554822987,1,0
1554830664,1,0
1554832593,0,1
1554840308,3,0
1554844137,0,1
1554846017,1,1
1554847955,2,0
1554853708,0,1
1554855650,0,1
1554867632,0,1
1554869540,1,0
1554879411,2,0
1554889221,0,1
1554896919,0,1
1554904602,1,1
1554909661,0,1
1554911571,1,0
1554917310,0,1
1554927424,1,2
1554929435,2,0
1554931249,1,0
1554935128,1,0
1554936986,0,1
1554938897,1,1
1554940988,1,0
1554944910,0,1
1554946862,0,1
1554956415,0,1
1554972049,1,0
1554979723,0,1
1554981634,0,1
1554983551,1,0
1554985464,0,1
1554987374,0,1
1554998603,1,0
1555010182,3,1
1555012127,3,0
1555014043,1,0
1555017880,1,1
1555019798,0,2
1555023218,1,0
1555025079,0,1
1555032988,0,1
1555036843,0,1
1555042604,0,1
1555044506,1,0
1555054099,1,0
1555056160,0,1
1555057973,1,0
1555059898,0,1
1555061783,1,0
1555071384,1,0
1555073306,0,1
1555077160,0,1
1555084909,1,0
1555090852,1,0
1555094689,1,0
1555098526,0,2
1555100470,1,2
1555102359,1,0
1555110172,0,1
1555133300,0,1
1555139333,0,1
1555141231,1,1
1555143145,0,1
1555145089,0,1
1555146986,0,1
1555152748,0,1
1555174107,0,1
1555176039,0,1
1555177945,1,0
1555179859,3,0
1555181795,2,1
1555193541,1,0
1555195462,1,0
1555210990,0,1
1555214913,0,1
1555226440,0,2
1555228342,0,1
1555234101,0,1
1555236982,1,2
1555246578,0,1
1555262183,0,1
1555267934,0,1
1555273699,1,0
1555278454,3,0
1555280444,0,2
1555284281,1,0
1555290164,2,0
1555292199,2,0
1555301779,1,0
1555303702,0,1
1555309496,1,0
1555311374,0,1
1555317162,2,0
1555319093,1,0
1555320976,1,0
1555338265,1,0
1555344095,1,0
1555353613,1,0
1555355551,0,1
1555359404,1,0
1555361303,0,1
1555363223,1,1
1555365138,0,1
1555369350,0,2
1555376929,1,1
1555378844,0,1
1555386500,1,0
1555394220,0,1
1555402125,2,0
1555404026,0,1
1555405967,0,1
1555407882,1,1
1555411719,1,1
1555417483,0,1
1555425188,1,1
1555438600,1,1
1555446698,1,0
1555448700,0,1
1555466213,1,0
1555468113,0,1
1555472186,0,1
1555478470,0,1
1555480371,0,1
1555490195,2,1
1555497894,1,0
1555515407,0,1
1555517380,1,0
1555528858,1,0
1555532680,1,0
1555534603,1,1
1555536514,1,2
1555538592,0,1
1555542769,0,1
1555544663,2,0
1555546592,1,0
1555548513,2,0
1555556185,1,0
1555560173,1,0
1555564101,1,0
1555570341,0,1
1555574178,0,1
1555576107,1,1
1555579964,0,1
1555583960,0,2
1555585949,1,0
1555587871,0,1
1555593658,1,0
1555597482,1,0
1555618850,0,1
1555620766,1,0
1555622662,2,1
1555626150,2,1
1555627974,1,0
1555629898,1,0
1555631808,0,1
1555633967,0,1
1555635903,2,1
1555643550,0,1
1555651249,0,1
1555653143,1,0
1555657025,0,2
1555662980,1,0
1555670673,2,0
1555680264,0,1
1555686299,1,2
1555688189,0,1
1555690135,1,0
1555692041,1,1
1555699727,1,0
1555705460,0,1
1555716992,0,1
1555722762,0,1
1555724685,0,1
1555734282,0,1
1555738106,0,1
1555741979,0,1
1555757326,0,1
1555759241,1,0
1555763091,1,0
1555767170,0,1
1555771224,1,0
1555782742,0,2
1555800835,0,1
1555806509,1,0
1555810369,0,1
1555814192,0,1
1555818023,0,1
1555819944,0,1
1555827663,0,1
1555829550,0,1
1555837342,1,0
1555845164,1,0
1555850969,0,1
1555864351,1,0
1555866294,0,1
1555868175,1,0
1555870098,2,0
1555873946,1,0
1555883559,1,0
1555885467,1,0
1555888600,2,0
1555892429,0,1
1555894335,1,0
1555902150,1,0
1555907775,1,0
1555925062,0,1
1555926981,1,0
1555928915,1,0
1555930915,0,1
1555932993,1,0
1555938749,1,0
1555942580,0,1
1555950265,0,1
1555961783,1,1
1555965616,1,0
1555969473,0,1
1555973299,1,0
1555980283,0,1
1555982217,1,0
1555989869,0,1
1555997788,0,1
1555999708,0,1
1556001634,0,1
1556013155,3,0
1556015174,0,1
1556022970,0,1
1556024925,1,0
1556040500,0,1
1556042512,1,2
1556048174,1,0
1556050344,0,1
1556056374,1,0
1556059346,1,0
1556070766,1,0
1556072664,1,0
1556074593,0,1
1556084433,2,0
1556094269,0,1
1556096180,1,0
1556098119,0,1
1556100170,0,2
1556104136,0,1
1556112028,1,0
1556119979,0,1
1556125957,1,1
1556127901,2,1
1556129802,3,0
1556131702,1,0
1556133653,1,0
1556137471,1,0
1556154157,0,1
1556155975,0,1
1556169396,1,0
1556173267,0,1
1556178983,0,1
1556183807,0,1
1556187628,0,1
1556191497,0,1
1556193390,1,0
1556197346,0,1
1556205151,2,0
1556207099,0,1
1556213209,1,0
1556221526,1,0
1556231413,2,0
1556233342,3,0
1556235303,0,1
1556239222,0,1
1556250757,0,1
1556255806,0,3
1556259642,0,1
1556261602,0,1
1556273122,1,0
1556274987,1,0
1556278874,0,1
1556294222,1,0
1556304084,0,1
1556305952,0,1
1556307874,0,1
1556309831,0,1
1556313665,1,0
1556323708,0,1
1556329466,1,0
1556331417,1,0
1556360090,0,1
