DateTime,AddedIPs,RemovedIPs
1555220659,4,0
1555222589,2,0
1555224432,1,2
1555226445,2,1
1555228343,4,1
1555230272,1,0
1555232207,5,2
1555234102,1,1
1555236984,2,1
1555238917,0,1
1555240849,0,3
1555242739,41,0
1555244667,221,1
1555246580,1,0
1555248501,2,2
1555254517,0,1
1555256435,0,2
1555258344,1,0
1555260261,1,1
1555262185,3,1
1555264120,1,1
1555267936,2,2
1555269863,1,0
1555273701,0,1
1555276581,0,2
1555280449,0,1
1555282357,3,0
1555286172,1,0
1555288104,4,1
1555290178,3,1
1555292202,5,0
1555294105,3,1
1555296018,1,2
1555297954,1,0
1555299887,2,0
1555301781,7,4
1555303704,5,2
1555305632,4,2
1555307534,3,2
1555309498,4,1
1555311376,6,2
1555313304,6,2
1555315340,6,4
1555317181,0,3
1555319096,3,3
1555320978,1,1
1555322933,2,3
1555324854,1,0
1555326744,2,0
1555328680,2,0
1555330592,2,264
1555332498,1,1
1555334438,1,3
1555342107,1,0
1555344106,0,1
1555345972,3,1
1555347930,1,1
1555349776,2,0
1555351727,1,1
1555355552,0,2
1555357473,1,0
1555359405,0,1
1555361305,2,1
1555363225,1,0
1555367068,1,0
1555369352,1,4
1555371161,2,2
1555373103,3,1
1555374991,0,3
1555376931,2,3
1555378845,1,4
1555380782,1,4
1555382684,2,2
1555384602,1,1
1555386502,4,1
1555388437,0,8
1555390372,0,3
1555392291,0,3
1555394222,1,3
1555396126,0,3
1555398156,2,7
1555399961,1,4
1555402126,2,6
1555404027,3,0
1555405968,1,1
1555407883,0,4
1555409817,0,1
1555411720,1,1
1555413656,0,1
1555415551,1,2
1555417485,0,1
1555421309,1,2
1555423347,1,0
1555425190,2,0
1555427089,0,1
1555429007,2,1
1555430925,1,0
1555432843,0,3
1555434750,0,2
1555436688,1,1
1555438602,0,1
1555442668,1,1
1555446700,0,4
1555448701,0,2
1555450871,0,1
1555454756,0,2
1555456592,1,0
1555458529,1,2
1555460443,0,3
1555462373,2,0
1555464277,1,2
1555466215,0,1
1555468115,0,1
1555470316,1,1
1555472187,1,3
1555474377,2,2
1555476272,1,0
1555480372,2,1
1555484197,0,2
1555486287,1,0
1555488318,5,1
1555490197,3,5
1555492115,1,2
1555494062,1,1
1555495953,3,1
1555497908,1,1
1555499804,0,1
1555501711,1,1
1555505591,1,0
1555507477,0,1
1555509414,2,1
1555511303,1,1
1555515408,0,1
1555517397,0,1
1555519235,0,1
1555523087,0,1
1555526909,1,0
1555528860,0,1
1555530755,1,0
1555536516,0,1
1555540882,2,0
1555546594,1,1
1555548514,1,2
1555550456,0,1
1555552348,2,0
1555554281,0,1
1555556187,1,1
1555558137,3,0
1555560185,2,2
1555562176,3,1
1555564106,2,0
1555566037,2,1
1555568191,2,1
1555570343,2,0
1555572258,4,0
1555574180,0,3
1555576112,1,3
1555578094,0,2
1555579966,0,1
1555581900,2,2
1555583961,1,1
1555585951,1,0
1555587872,0,1
1555589799,1,0
1555591713,1,1
1555593670,0,2
1555595551,2,2
1555597483,1,1
1555603336,2,0
1555607081,1,0
1555610913,2,0
1555615023,1,1
1555616940,1,1
1555618851,1,0
1555622667,1,0
1555626155,1,0
1555627976,0,2
1555633972,0,1
1555635906,1,1
1555639719,4,2
1555641674,2,1
1555643552,2,2
1555645507,2,2
1555647418,2,0
1555649311,0,3
1555651251,0,4
1555653145,0,1
1555655066,0,3
1555657027,3,0
1555658915,1,4
1555661081,1,0
1555662982,0,1
1555664911,2,0
1555666846,0,1
1555668755,0,1
1555670675,0,2
1555672608,2,2
1555674516,2,0
1555676458,0,2
1555680265,1,0
1555682378,2,2
1555684359,0,1
1555686301,2,0
1555690137,0,2
1555692044,0,1
1555695890,1,0
1555697841,1,1
1555699732,0,1
1555701638,2,0
1555703577,1,1
1555705462,2,0
1555707395,0,1
1555709336,0,3
1555712410,1,1
1555714360,1,1
1555718170,2,0
1555720111,1,0
1555722095,0,1
1555723959,0,1
1555725889,6,3
1555727781,0,3
1555729710,1,2
1555731610,2,2
1555733542,1,2
1555735474,2,0
1555737374,3,0
1555739535,1,0
1555741456,1,0
1555743398,0,3
1555745311,3,1
1555747295,1,1
1555749149,1,0
1555752973,0,2
1555754928,1,0
1555756819,1,0
1555758770,2,1
1555760660,0,2
1555764534,3,0
1555766413,1,0
1555768331,0,1
1555770284,1,1
1555772174,0,2
1555774128,1,0
1555781778,0,1
1555783721,1,0
1555785613,0,1
1555787545,0,3
1555789479,0,1
1555791375,3,0
1555793304,1,1
1555797156,0,2
1555801030,1,0
1555802905,1,0
1555804947,1,2
1555806988,1,1
1555810824,1,1
1555812767,1,3
1555814688,1,0
1555816605,1,0
1555818522,1,3
1555820456,1,2
1555822351,1,1
1555824263,0,3
1555826207,1,1
1555828099,1,2
1555830974,2,2
1555832900,0,1
1555834839,1,0
1555836752,1,1
1555840576,2,1
1555842528,2,2
1555844541,1,1
1555846342,1,1
1555848305,268,0
1555850174,2,2
1555852354,0,2
1555856426,2,0
1555858369,1,0
1555862209,0,1
1555867947,0,1
1555869890,0,1
1555875646,1,0
1555877558,0,2
1555879471,1,1
1555881412,3,0
1555883302,1,0
1555885219,1,0
1555887168,2,2
1555889064,0,1
1555891366,4,1
