DateTime,AddedIPs,RemovedIPs
1555384604,9,4
1555386504,8,1
1555388439,7,4
1555390373,1,9
1555392292,4,2
1555394223,28,2
1555396128,4,0
1555398158,4,4
1555399963,3,3
1555402128,2,7
1555404029,2,5
1555405970,1,6
1555407885,1,2
1555409818,1,2
1555411722,9,1
1555413658,3,8
1555415553,1,11
1555417486,6,7
1555419409,4,9
1555421311,5,2
1555423349,6,6
1555425192,3,6
1555427091,4,3
1555429009,9,2
1555430926,4,4
1555432844,3,12
1555434751,9,6
1555436690,3,10
1555438604,8,5
1555440790,4,5
1555442670,4,2
1555444609,3,1
1555446702,12,3
1555448703,8,6
1555450872,14,11
1555452752,4,6
1555454758,7,8
1555456594,3,2
1555458531,3,6
1555460444,12,6
1555462375,4,2
1555464279,3,6
1555466216,3,8
1555468116,2,0
1555470319,4,9
1555472189,2,9
1555474378,9,9
1555476274,5,3
1555478473,5,4
1555480374,2,2
1555482286,2,34
1555484199,33,6
1555486289,4,2
1555488320,1,0
1555490199,9,4
1555492117,3,0
1555494064,1,3
1555495955,5,2
1555497910,3,8
1555499806,3,5
1555501713,4,3
1555503663,13,5
1555505601,7,3
1555507479,8,6
1555509416,6,5
1555511305,1,7
1555513388,3,2
1555515410,6,10
1555517399,7,4
1555519237,1,4
1555521172,2,9
1555523090,3,3
1555524999,6,5
1555526911,2,2
1555528861,5,2
1555530757,2,5
1555532686,4,10
1555534606,13,7
1555536517,4,6
1555538600,6,12
1555540884,4,4
1555542773,7,5
1555544667,1,2
1555546596,5,13
1555548516,1,6
1555550458,3,1
1555552350,3,1
1555554282,10,4
1555556189,3,3
1555558139,8,3
1555560213,6,8
1555562177,3,8
1555564108,4,3
1555566039,2,4
1555568193,4,2
1555570345,4,12
1555572260,3,7
1555574181,13,0
1555576113,9,7
1555578126,4,2
1555579967,2,4
1555581903,2,5
1555583963,1,2
1555585952,6,4
1555587874,1,5
1555589809,8,7
1555591761,0,8
1555593672,3,7
1555595552,3,4
1555597485,4,1
1555599429,3,5
1555601342,2,7
1555603366,3,7
1555605196,0,1
1555607083,0,2
1555609007,7,5
1555610915,6,0
1555612816,5,8
1555615026,6,5
1555616942,3,0
1555618853,7,4
1555620769,2,10
1555622669,2,6
1555626157,11,6
1555627978,3,3
1555629902,8,4
1555631814,4,3
1555633974,4,5
1555635908,5,2
1555637818,6,3
1555639721,3,5
1555641676,10,10
1555643553,25,2
1555645510,8,11
1555647420,7,4
1555649313,9,4
1555651253,0,2
1555653147,3,2
1555655068,4,5
1555657029,4,4
1555658917,10,3
1555661084,3,21
1555662983,1,11
1555664928,1,4
1555666848,2,3
1555668757,6,0
1555670677,3,3
1555672610,2,6
1555674533,2,3
1555676460,5,8
1555678365,3,2
1555680267,1,3
1555682380,4,3
1555684361,4,2
1555686304,2,1
1555688192,0,1
1555690139,6,5
1555692046,2,0
1555693950,5,0
1555695892,8,7
1555697843,5,6
1555699734,8,1
1555701640,3,5
1555703579,1,4
1555705463,2,4
1555707397,6,1
1555709338,4,22
1555711352,3,7
1555713168,1,4
1555715114,1,0
1555716995,3,6
1555718939,2,3
1555720845,5,5
1555722765,3,3
1555724688,4,5
1555726601,3,2
1555728515,0,17
1555730451,2,24
1555732346,0,2
1555734285,5,6
1555736201,0,9
1555738109,1,1
1555740154,0,2
1555741982,1,5
1555743906,2,3
1555745792,6,11
1555747716,7,2
1555749652,5,3
1555751559,3,2
1555753480,5,5
1555755393,1,3
1555757329,9,2
1555759244,2,14
1555761152,15,1
1555763094,16,6
1555764990,3,3
1555767173,14,3
1555769332,4,3
1555771227,7,2
1555773157,3,1
1555775095,2,2
1555777011,3,2
1555778915,3,8
1555780826,3,1
1555782745,6,8
1555784727,1,4
1555786608,13,8
1555788508,9,1
1555790557,5,1
1555792375,1,6
1555794331,4,7
1555796205,5,4
1555798366,4,3
1555800838,2,2
1555802690,3,1
1555804589,2,5
1555806511,7,4
1555808567,6,7
1555810372,1,4
1555812318,10,1
1555814195,1,2
1555816112,7,2
1555818025,1,1
1555819946,1,4
