DateTime,AddedIPs,RemovedIPs
1555006353,2,0
1555008274,1,1
1555010189,2,0
1555012134,1,0
1555015943,2,1
1555017887,1,0
1555019805,0,1
1555023225,1,2
1555027011,1,0
1555028903,1,0
1555032998,2,2
1555034935,0,2
1555036852,2,0
1555038771,1,2
1555040689,0,2
1555044512,1,0
1555052214,0,1
1555054111,1,0
1555056195,0,2
1555058449,0,2
1555060341,2,0
1555064179,1,1
1555071869,1,0
1555073787,2,2
1555075714,0,1
1555077642,1,4
1555079551,0,2
1555081486,1,4
1555083638,1,0
1555085543,1,1
1555087481,2,2
1555089380,1,1
1555091328,0,2
1555093232,1,2
1555095139,2,0
1555097065,1,4
1555099001,2,0
1555100910,4,0
1555102944,1,1
1555108049,2,1
1555113963,1,1
1555115817,1,1
1555117724,2,0
1555119780,1,1
1555121802,1,0
1555123751,0,2
1555125670,1,1
1555127582,1,0
1555129517,4,0
1555131412,0,1
1555133322,2,0
1555135479,2,0
1555139340,1,0
1555141241,0,1
1555143152,1,0
1555145096,1,0
1555146994,0,2
1555148909,1,0
1555150862,1,1
1555154668,1,0
1555156626,2,0
1555158513,0,1
1555160585,0,1
1555162584,0,2
1555164524,1,0
1555166437,2,0
1555168355,4,3
1555170290,2,0
1555172222,0,1
1555174114,1,2
1555176046,0,1
1555177952,1,0
1555179880,0,1
1555181802,0,2
1555183725,1,1
1555185788,0,3
1555187792,0,1
1555189712,1,2
1555193548,0,1
1555195472,0,1
1555199307,1,0
1555201248,0,2
1555203153,3,1
1555205116,2,1
1555206998,1,1
1555208919,0,2
1555210997,1,1
1555212989,1,0
1555214919,1,4
1555216836,0,1
1555218749,0,1
1555222595,0,1
1555224438,1,0
1555226451,1,1
1555228349,2,0
1555230296,2,1
1555232212,1,1
1555234108,0,1
1555236087,1,2
1555237967,1,1
1555240125,5,0
1555242019,0,2
1555243945,1,1
1555245859,3,0
1555249706,0,1
1555251644,1,2
1555253552,0,1
1555255464,0,4
1555257373,2,2
1555261318,1,1
1555263160,2,0
1555265094,2,1
1555266983,1,0
1555268927,1,0
1555270830,1,2
1555274678,1,1
1555276585,1,0
1555284286,0,1
1555290185,3,3
1555292206,1,2
1555294108,1,0
1555297958,1,1
1555299891,0,2
1555301785,2,1
1555303708,1,0
1555305635,1,0
1555307537,1,0
1555311379,1,1
1555313308,0,1
1555315363,0,3
1555317186,0,1
1555319102,0,1
1555320981,0,1
1555322937,0,1
1555324858,2,1
1555326747,1,4
1555330596,0,1
1555332502,0,3
1555338270,2,1
1555342110,1,0
1555344140,0,2
1555347933,0,2
1555349780,3,1
1555351731,2,2
1555353619,0,1
1555355557,2,0
1555357477,1,2
1555359409,3,0
1555361308,0,1
1555363228,0,1
1555373300,1,0
1555375214,1,0
1555377138,0,3
1555380988,0,1
1555382897,1,0
1555384839,1,1
1555386751,0,1
1555388658,0,1
1555390644,2,1
1555392514,1,2
1555394562,1,0
1555398183,0,1
1555400195,0,1
1555409838,1,1
1555411726,0,1
1555413663,0,1
1555415557,1,0
1555419428,1,0
1555421330,3,0
1555423353,4,1
1555429028,0,1
1555430946,2,0
1555432848,1,0
1555434756,0,2
1555436694,1,2
1555438607,1,1
1555440793,0,1
