DateTime,AddedIPs,RemovedIPs
1555110181,1,2
1555111987,1,1
1555113968,2,0
1555115818,3,0
1555119781,3,4
1555121803,1,2
1555123752,1,2
1555125671,0,1
1555127583,1,2
1555129518,1,1
1555133323,1,1
1555135480,2,3
1555137433,1,2
1555141242,3,0
1555143154,0,3
1555145097,2,1
1555146994,2,0
1555148910,1,1
1555150863,1,1
1555152756,1,4
1555154669,2,1
1555156627,2,1
1555160586,2,3
1555162585,1,2
1555164525,3,0
1555166438,2,3
1555168356,2,0
1555170291,2,1
1555172223,1,0
1555174115,0,1
1555176047,2,1
1555177953,2,0
1555179881,2,0
1555181803,2,0
1555183726,3,1
1555185789,1,0
1555187793,1,1
1555189713,0,1
1555191658,1,4
1555193549,0,4
1555195475,2,2
1555197431,0,1
1555199308,3,0
1555201249,0,2
1555203155,1,3
1555205117,2,3
1555208920,1,2
1555211001,0,1
1555212992,1,0
1555214920,2,1
1555216837,2,1
1555218751,2,1
1555220665,0,1
1555222596,0,1
1555224439,1,1
1555226453,0,1
1555228350,1,2
1555230297,2,0
1555232213,1,2
1555234109,1,2
1555236111,3,1
1555237969,3,1
1555240126,0,2
1555242020,0,3
1555243950,1,0
1555245860,0,1
1555247798,1,1
1555249707,3,2
1555251645,0,3
1555253553,1,2
1555255465,0,2
1555257374,0,1
1555259314,0,1
1555261331,1,0
1555263161,0,2
1555265096,2,2
1555266984,0,2
1555268930,2,4
1555270834,1,1
1555272749,1,1
1555274680,1,1
1555276586,2,0
1555278462,0,1
1555282362,0,2
1555284290,1,0
1555286177,1,3
1555288109,1,1
1555290186,2,0
1555292207,1,2
1555296023,1,1
1555297959,2,1
1555301786,0,3
1555303709,0,1
1555305637,1,2
1555307539,1,0
1555311381,1,1
1555313309,0,1
1555315370,2,1
1555317187,1,1
1555319104,1,2
1555320983,4,0
1555322939,3,3
1555324862,2,3
1555326749,3,0
1555328685,2,0
1555330597,1,1
1555332503,2,0
1555334443,1,3
1555336364,1,1
1555338271,2,0
1555340204,0,1
1555342112,3,0
1555344153,3,0
1555345977,3,0
1555347935,0,1
1555349781,5,0
1555351732,2,2
1555353620,2,0
1555355559,0,2
1555357478,1,1
1555359410,0,1
1555361309,0,1
1555363229,0,2
1555365143,3,0
1555367073,3,0
1555369377,1,0
1555371375,1,1
1555373304,0,1
1555375215,0,1
1555377139,0,2
1555379081,0,1
1555380991,2,0
1555382898,1,1
1555384844,1,2
1555386756,2,0
1555388659,3,0
1555390645,1,0
1555392515,2,1
1555394573,0,1
1555398528,3,1
1555400419,1,0
1555402613,0,3
1555406430,1,2
1555408350,1,4
1555410188,5,4
1555412508,2,2
1555414366,0,2
1555416292,1,2
1555418724,3,2
1555420572,1,0
1555422523,2,2
1555424430,0,2
1555426334,3,0
1555428270,0,3
1555430190,0,3
1555432093,0,1
1555434091,2,2
1555436229,0,5
1555438103,0,2
1555440028,0,2
1555441935,2,0
1555443881,2,1
1555445803,1,0
1555447692,1,0
1555449635,1,0
1555451531,1,3
1555454763,4,4
