DateTime,AddedIPs,RemovedIPs
1555214922,1,2
1555216839,0,2
1555218753,1,3
1555220666,0,1
1555224440,0,1
1555226454,0,1
1555228351,0,1
1555230299,1,1
1555234110,3,0
1555236130,1,0
1555240129,2,1
1555243951,1,2
1555249709,0,1
1555251646,0,2
1555253555,0,1
1555255467,2,3
1555257376,0,1
1555259315,0,2
1555261343,1,0
1555263178,0,2
1555265097,3,2
1555266986,2,0
1555268931,4,2
1555270835,1,1
1555272751,1,2
1555274682,3,2
1555276588,0,1
1555278463,1,1
1555280456,0,1
1555282364,0,1
1555284292,0,5
1555286178,0,3
1555292209,2,2
1555294112,0,3
1555296024,1,4
1555297961,0,3
1555299894,1,0
1555303711,0,1
1555305638,1,0
1555307541,1,0
1555309505,0,1
1555311382,0,1
1555313311,3,1
1555315373,1,0
1555317189,1,0
1555319107,2,0
1555320985,5,1
1555322940,3,3
1555324864,0,1
1555326750,1,6
1555328686,0,4
1555330599,0,1
1555334444,0,1
1555336366,0,2
1555338287,2,1
1555340206,0,1
1555342113,6,0
1555344172,1,0
1555345978,2,0
1555347937,1,0
1555349782,1,0
1555351734,0,4
1555353622,2,1
1555355561,1,2
1555357479,1,1
1555359411,0,2
1555361310,0,1
1555363232,2,0
1555365145,2,0
1555367074,0,2
1555371376,0,3
1555373305,1,0
1555375216,1,0
1555377141,2,1
1555380992,0,1
1555382913,1,1
1555384845,1,1
1555386758,1,0
1555392516,0,1
1555394575,1,1
1555396589,1,0
1555398529,1,0
1555400420,1,0
1555402614,0,1
1555404524,0,1
1555406432,1,1
1555408352,1,0
1555410190,1,0
1555412535,1,1
1555416294,1,0
1555418725,0,1
1555420574,2,0
1555422524,0,1
1555424431,1,1
1555426336,0,3
1555430191,1,2
1555432095,2,0
1555434097,0,2
1555436230,1,1
1555440029,0,3
1555441936,0,3
1555445805,1,0
1555449637,2,1
1555451533,1,0
1555454765,3,2
1555456600,1,0
1555458537,1,5
1555460451,0,3
1555462381,0,6
1555464285,2,0
1555466223,3,0
1555468138,2,1
1555470333,1,0
1555474385,3,2
1555476281,0,1
1555480380,1,3
1555482292,0,4
1555484205,1,1
1555486295,1,3
1555488330,2,1
1555494072,0,1
1555495962,0,3
1555497919,0,3
1555499813,0,4
1555501720,1,0
1555503685,1,2
1555505611,0,1
1555507486,4,1
1555511312,2,0
1555513396,2,0
1555515418,1,1
1555517408,0,1
1555519244,0,1
1555521179,0,2
1555523097,1,1
1555525007,3,0
1555528877,2,0
1555530764,1,2
1555534614,2,1
1555536525,0,1
1555538628,3,1
1555540899,3,2
1555542782,2,3
1555544674,1,2
1555546603,2,0
1555548524,3,0
1555550466,2,2
1555552358,0,2
1555554290,0,2
1555556196,2,0
1555558146,1,1
1555560235,1,0
1555562185,0,1
1555564127,2,0
1555566048,1,0
1555570352,1,0
1555572267,1,0
1555574188,0,3
1555576120,0,1
1555578182,1,0
1555580434,1,0
1555582365,4,0
1555586181,3,0
1555590288,0,2
1555592256,0,1
1555594116,0,2
1555596073,2,0
1555597953,2,4
1555599881,1,1
1555603748,0,2
1555607964,3,0
1555609949,2,1
1555613785,0,1
1555616018,0,1
1555617937,0,2
1555619812,1,1
1555621965,1,1
1555626165,2,0
1555627985,1,5
1555629911,1,3
1555631823,1,0
1555633981,2,2
1555635918,1,2
1555639727,3,2
1555641684,1,0
1555643560,0,4
1555645518,2,0
1555647433,0,1
1555649321,0,1
1555651260,1,0
1555653154,1,0
1555655075,0,1
1555658925,1,0
1555661096,1,0
1555664938,1,1
1555668765,0,3
1555670684,1,0
1555672618,0,4
1555674540,1,0
1555676467,0,1
1555678371,3,0
1555680274,2,1
1555682388,1,4
1555684368,0,1
1555688199,7,0
1555690145,4,0
1555692053,0,2
1555693957,2,3
1555695900,1,2
1555697850,2,0
1555699740,3,0
1555703585,3,0
1555705470,1,1
1555707403,0,1
1555709346,2,1
1555711381,2,0
1555713386,0,1
1555715550,3,2
1555717457,0,1
1555721313,0,2
1555725144,1,2
1555727082,0,1
1555728995,0,1
1555732933,1,0
1555736699,1,1
1555738573,0,1
1555740524,2,0
1555742421,1,0
1555744346,2,1
1555748364,2,0
1555752253,1,0
1555756098,0,1
1555759251,1,1
1555761159,1,0
1555764996,1,4
1555767180,0,1
1555769339,1,1
1555771234,1,1
1555773164,2,1
1555775104,1,1
1555777018,0,2
1555778922,0,1
1555780834,1,0
1555782752,2,4
1555784737,1,0
1555788515,4,0
1555790564,2,2
1555792383,2,0
1555796212,2,2
1555798374,2,0
1555800845,0,5
1555802697,2,3
1555804596,1,1
1555806519,1,1
1555808577,3,1
1555810379,3,1
1555812329,0,1
1555816121,2,0
1555819953,2,0
1555821907,1,1
1555823788,0,1
1555825710,4,4
1555827673,0,1
1555829574,1,1
1555835318,1,2
1555839174,1,1
1555841117,1,0
1555842990,3,0
1555845174,3,0
1555847073,0,1
1555849040,1,1
1555850979,1,1
1555852877,0,2
1555854796,1,1
1555858587,1,0
1555862562,0,6
1555864583,0,4
1555866499,2,3
1555868461,4,2
1555870343,4,1
1555872260,7,0
1555874221,2,3
1555876118,1,1
1555878034,3,2
1555879966,0,1
1555881863,1,0
1555883780,2,1
1555885729,4,4
1555887706,3,0
1555889552,2,1
1555891375,2,2
1555893402,1,0
1555895316,2,2
1555897241,2,3
1555899163,1,2
1555902999,4,0
1555904937,1,0
1555906862,1,2
1555908752,1,0
1555910667,2,1
1555912644,2,3
1555914526,1,1
1555916536,0,1
1555920295,2,0
1555924129,2,0
1555926046,3,2
1555927949,2,1
1555929879,3,2
1555931826,0,3
1555933722,4,1
1555935694,3,1
1555941403,1,1
1555943351,1,1
1555947184,1,0
1555948992,1,0
1555950998,3,0
1555952936,1,1
1555954852,0,4
1555956752,0,3
1555958682,2,1
1555960590,0,3
1555962527,0,2
1555964462,1,2
1555966370,2,1
1555968279,3,2
1555970198,0,6
1555972132,4,3
1555974129,3,3
1555976484,4,2
1555978376,0,1
1555980302,1,0
1555982226,0,1
