DateTime,AddedIPs,RemovedIPs
1555380993,10,3
1555382914,10,4
1555384846,10,2
1555386773,11,7
1555388661,15,6
1555390647,93,4
1555392517,10,7
1555394575,5,2
1555396590,6,9
1555398533,11,7
1555400421,7,7
1555402615,13,11
1555404525,9,11
1555406432,14,3
1555408352,9,7
1555410190,5,3
1555412540,10,8
1555414368,5,6
1555416295,3,5
1555418726,7,7
1555420575,3,2
1555422525,3,4
1555424432,57,6
1555426336,10,3
1555428272,3,1
1555430192,5,5
1555432095,4,7
1555434098,8,3
1555436231,3,3
1555438105,6,7
1555440030,7,8
1555441937,5,8
1555443883,5,9
1555445805,3,7
1555447695,9,17
1555449638,23,12
1555451533,14,4
1555454765,25,13
1555456601,16,7
1555458537,24,9
1555460452,16,6
1555462382,17,11
1555464286,14,8
1555466224,10,12
1555468139,16,9
1555470334,19,10
1555472196,13,11
1555474385,20,12
1555476282,12,14
1555478511,21,97
1555480381,17,3
1555482293,26,6
1555484206,27,6
1555486297,22,9
1555488331,22,13
1555490206,10,13
1555492125,17,8
1555494073,20,17
1555495963,11,4
1555497920,11,4
1555499814,14,3
1555501721,13,4
1555503700,9,1
1555505612,18,0
1555507487,6,1
1555509425,8,5
1555511313,7,58
1555513397,11,17
1555515419,14,5
1555517409,13,6
1555519245,10,2
1555521180,6,7
1555523097,5,3
1555525008,9,12
1555526919,14,5
1555528878,13,9
1555530765,12,4
1555532701,8,4
1555534615,3,11
1555536525,8,15
1555538629,16,11
1555540901,7,8
1555542783,16,12
1555544675,9,15
1555546604,11,11
1555548524,14,13
1555550467,13,8
1555552359,9,10
1555554291,16,14
1555556197,11,17
1555558147,5,17
1555560239,15,17
1555562187,9,19
1555564128,14,12
1555566049,8,19
1555568201,18,13
1555570353,14,24
1555572268,18,255
1555574189,98,143
1555576121,296,8
1555578183,15,15
1555580435,19,12
1555582366,14,15
1555584270,21,10
1555586182,15,13
1555588405,29,16
1555590289,23,10
1555592270,18,15
1555594117,12,7
1555596098,16,8
1555597967,22,8
1555599933,16,7
1555601817,11,11
1555603761,9,11
1555605613,12,5
1555607965,96,10
1555609950,9,8
1555611906,33,12
1555613786,26,8
1555616019,7,18
1555617968,6,12
1555619822,1,8
1555621965,5,12
1555623869,3,11
1555626166,128,12
1555627986,2,11
1555629912,4,12
1555631824,2,12
1555633982,10,12
1555635920,17,13
1555637842,6,13
1555639728,12,11
1555641685,12,11
1555643561,11,10
1555645519,17,10
1555647434,19,11
1555649322,14,12
1555651261,10,16
1555653155,11,14
1555655076,7,12
1555657037,14,8
1555658926,22,19
1555661097,22,13
1555662992,24,20
1555664939,24,10
1555666864,20,16
1555668766,24,11
1555670685,30,18
1555672619,18,16
1555674541,18,26
1555676468,21,18
1555678372,23,18
1555680275,14,10
1555682413,21,22
1555684369,13,23
1555686314,21,16
1555688200,11,11
1555690146,15,7
1555692054,7,12
1555693957,5,31
1555695901,5,69
1555697850,6,23
1555699741,9,31
1555701649,11,13
1555703586,8,5
1555705471,5,3
1555707404,9,4
1555709347,17,5
1555711382,13,5
1555713387,16,2
1555715551,13,2
1555717458,9,5
1555719401,12,3
1555721313,12,15
1555723264,8,11
1555725145,10,12
1555727083,8,8
1555728996,12,12
1555730902,3,14
1555732949,1,15
1555734757,2,23
1555736700,7,13
1555738574,4,11
1555740525,8,12
1555742422,7,12
1555744346,3,162
1555746270,10,22
1555748365,7,26
1555750352,3,21
1555752254,7,18
1555754182,6,26
1555756099,10,24
1555759251,22,34
1555761159,2,12
1555763104,5,34
1555764997,12,24
1555767180,9,17
1555769340,3,20
1555771235,4,16
1555773165,8,20
1555775105,4,18
1555777019,4,15
1555778923,4,12
1555780835,5,4
1555782753,10,3
1555784739,1,9
1555786624,12,14
1555788531,12,12
1555790566,11,9
1555792384,5,6
1555794340,10,11
1555796213,11,21
1555798374,8,24
1555800846,8,27
1555802698,5,12
1555804597,0,9
1555806519,3,17
1555808578,5,11
1555810380,3,10
1555812330,5,9
1555814203,3,11
1555816122,2,12
1555818034,4,4
1555819954,7,6
1555821908,9,5
1555823789,2,11
1555825710,3,10
1555827674,6,9
1555829575,28,10
1555831469,30,364
1555833415,383,8
1555835319,29,11
1555837366,24,10
1555839175,27,8
1555841119,25,10
1555842990,14,11
1555845188,19,16
1555847074,15,4
1555849041,19,4
1555850980,20,11
1555852879,25,3
1555854797,20,5
1555856668,17,4
1555858588,17,7
1555860537,13,4
1555862563,16,6
1555864584,13,4
1555866500,14,3
1555868463,19,13
1555870344,13,6
1555872261,18,5
1555874222,16,13
1555876119,18,15
1555878035,16,3
1555879967,14,5
1555881864,10,13
1555883781,16,12
1555885730,9,4
1555887707,10,6
1555889553,6,3
1555891375,11,1
1555893402,12,4
1555895316,14,7
1555897242,16,2
1555899164,15,4
1555901089,20,5
1555903000,6,1
1555904937,15,5
1555906862,8,8
1555908753,6,9
1555910667,14,2
1555912644,6,4
1555914526,6,5
1555916536,10,33
1555918393,3,28
1555920296,9,22
1555922204,16,29
1555924129,18,28
1555926047,11,28
1555927950,13,18
1555929880,15,20
1555931827,13,18
1555933723,14,9
1555935695,17,17
1555937568,17,14
1555939481,15,28
1555941404,24,21
1555943352,20,15
1555945344,19,12
1555947184,15,11
1555948993,16,12
1555950999,12,12
1555952936,8,10
1555954853,15,16
1555956753,12,13
1555958683,16,12
1555960591,12,17
1555962528,16,20
1555964463,14,15
1555966370,7,14
1555968279,2,11
1555970199,4,16
1555972133,5,9
1555974131,5,13
1555976485,4,11
1555978378,13,10
1555980303,3,13
1555982227,11,9
1555984128,7,15
1555986054,4,15
1555987957,4,11
1555989879,1,6
1555991806,9,14
1555993731,9,5
1555995806,8,11
1555997797,6,14
1555999723,12,6
1556001643,19,7
1556003543,14,7
1556005475,10,5
1556007420,9,12
1556009312,13,18
1556011257,21,9
1556013164,13,12
1556015183,14,14
1556017021,11,18
1556018927,5,10
1556020991,25,17
1556022997,38,20
1556024938,32,27
1556026847,25,22
1556028754,2,24
1556030663,3,24
1556032619,17,21
1556034506,12,14
1556036613,15,15
1556038586,18,16
1556040511,4,15
1556042536,13,22
1556044370,13,17
1556046297,15,17
