DateTime,AddedIPs,RemovedIPs
1555981706,3,0
1555982407,3,6
1555983139,12,4
1555983854,10,5
1555984835,9,7
1555985533,7,6
1555986253,4,8
1555986968,5,4
1555987692,4,7
1555988420,5,11
1555989136,4,9
1555989849,7,3
1555990817,10,1
1555991545,2,8
1555992261,5,7
1555992972,8,8
1555993693,1,3
1555994408,2,6
1555995132,2,5
1555996125,3,8
1555996837,2,0
1555997538,3,0
1555998250,1,2
1555998970,2,2
1555999690,4,2
1556000445,1,1
1556001135,2,0
1556001856,5,2
1556002570,4,1
1556003301,3,3
1556004007,2,1
1556004739,4,4
1556005451,3,0
1556006174,2,5
1556006892,7,1
1556007612,0,2
1556008585,3,5
1556009291,4,3
1556010031,2,0
1556010739,8,2
1556011450,2,5
1556012171,1,0
1556012894,4,2
1556013627,5,2
1556014333,0,4
1556015053,2,4
1556015774,3,4
1556016741,3,0
1556017456,5,3
1556018177,1,2
1556018888,2,5
1556019617,3,5
1556020340,3,3
1556021058,3,1
1556021773,4,0
1556022496,3,1
1556023217,5,2
1556023929,2,1
1556024679,5,5
1556025393,4,0
1556026112,2,4
1556026826,5,2
1556027553,1,4
1556028268,2,0
1556028992,4,4
1556029710,2,6
1556030431,1,1
1556031150,1,0
1556031881,2,7
1556033316,3,0
1556034026,5,5
1556034767,2,9
1556035470,4,0
1556036192,6,3
1556036919,3,2
1556037626,1,4
1556038356,0,2
1556039051,2,4
1556039778,3,4
1556040487,1,2
1556041217,2,4
1556041937,2,2
1556042662,1,3
1556043374,4,2
1556044812,5,1
1556045530,5,4
1556046258,2,2
1556046974,4,5
1556047692,6,5
1556048409,2,3
1556049150,4,1
1556049874,2,3
1556050594,1,4
1556051311,1,4
1556052032,7,1
1556052752,5,0
1556053472,1,5
1556054195,6,5
1556054907,1,0
1556055631,2,8
1556056363,1,2
1556057076,3,0
1556057788,5,2
1556059733,6,7
1556060409,2,1
1556061131,1,6
1556061851,4,0
1556062571,3,0
1556063561,10,5
1556064265,2,0
1556064975,7,4
1556065687,2,0
1556066411,4,3
1556067130,6,5
1556067887,1,4
1556068571,9,0
1556069289,5,5
1556070011,13,4
1556070731,2,6
1556071717,7,5
1556072406,6,2
1556073140,6,11
1556073848,6,6
1556074574,4,8
1556075288,2,12
1556076009,8,7
1556076980,5,15
1556077691,2,9
1556078449,4,6
1556079132,5,3
1556079850,1,4
1556080571,2,6
1556081297,1,3
1556082026,0,5
1556082743,2,2
1556083471,1,0
1556084197,3,1
1556084903,3,0
1556085639,2,5
1556086332,1,0
1556087054,1,1
1556088520,2,4
1556089261,2,5
1556089932,2,2
1556090650,1,0
1556091371,4,6
1556092094,1,0
1556092864,2,2
1556093535,3,0
1556094253,0,6
1556095272,6,2
1556095930,3,2
1556096669,2,2
1556097371,5,1
1556098093,1,2
1556098816,4,1
1556099530,2,2
1556100253,2,3
1556100977,1,4
1556101698,1,6
1556102408,5,1
1556103130,2,2
1556103851,2,3
1556104578,2,0
1556105539,4,3
1556106249,1,5
1556106972,2,3
1556107692,2,4
1556108420,2,2
1556109152,1,2
1556109850,2,2
1556110574,13,3
1556111539,3,5
1556112252,5,0
1556112972,2,2
1556113694,5,1
1556114683,7,1
1556115389,1,4
1556116112,4,0
1556116838,3,1
1556117532,2,5
1556118525,5,3
1556119225,2,2
1556119963,5,6
1556120668,7,4
1556121387,2,2
1556122113,2,0
1556122826,3,3
1556123556,2,3
1556124270,3,1
1556124990,4,1
1556125710,4,2
1556126445,3,3
1556127154,4,2
1556127876,5,5
1556128586,2,4
1556129312,3,1
1556130033,7,4
1556130759,5,3
1556131468,1,2
1556132195,3,1
1556132908,1,3
1556133640,4,0
1556134332,0,3
1556135055,1,3
1556136049,5,3
1556136732,0,2
1556137458,1,6
1556138424,2,0
1556139128,2,0
1556139868,1,7
1556140572,1,0
1556141295,4,3
