DateTime,AddedIPs,RemovedIPs
1555694095,5,6
1555696371,4,18
1555697685,5,5
1555699242,3,11
1555700755,9,12
1555702288,7,19
1555702958,8,0
1555704655,9,15
1555706309,5,9
1555707405,3,0
1555708477,6,16
1555709743,2,15
1555711009,4,8
1555712090,1,6
1555713768,7,14
1555715149,2,13
1555716682,3,9
1555718205,2,3
1555719346,0,9
1555720134,1,1
1555720967,3,12
1555722890,5,6
1555723726,1,1
1555724579,2,7
1555726161,4,7
1555727493,1,9
1555729018,2,2
1555730081,4,2
1555731661,1,7
1555733457,10,9
1555734754,3,6
1555736767,9,5
1555737959,2,1
1555738959,1,13
1555740646,7,8
1555741779,4,14
1555743947,10,15
1555745318,4,0
1555746158,4,13
1555748101,9,9
1555748991,2,12
1555749774,2,3
1555751150,3,8
1555752517,1,2
1555754208,4,14
1555755295,3,17
1555756957,4,18
1555758352,2,22
1555759730,2,0
1555760558,7,31
1555762259,1,11
1555763497,3,17
1555765554,12,13
1555766091,2,3
1555769452,17,47
1555770670,9,8
1555772209,9,4
1555773293,8,7
1555774538,3,16
1555775727,4,4
1555776891,3,17
1555777717,5,0
1555779398,6,16
1555780546,6,12
1555781319,1,0
1555783018,8,5
1555784931,16,4
1555786596,16,5
1555787753,7,4
1555788536,1,0
1555790198,6,4
1555791304,9,14
1555792121,2,1
1555793824,9,4
1555794890,1,0
1555796139,1,2
1555797961,5,5
1555799335,2,0
1555800958,4,5
1555802149,3,1
1555803780,6,12
1555804604,1,1
1555805699,2,9
1555806582,2,12
1555807359,0,2
1555808753,4,6
1555810187,11,12
1555811459,8,3
1555812898,3,10
1555814566,2,10
1555815957,1,6
1555816492,1,0
1555818184,0,7
1555820082,1,4
1555821671,4,4
1555823703,1,12
1555824525,2,0
1555825839,2,10
1555827063,3,3
1555828186,2,4
1555829693,4,2
1555830813,2,7
1555832558,3,22
1555834235,1,13
1555835324,4,0
1555836459,1,19
1555838086,2,18
1555839754,5,9
1555841453,2,10
1555842687,12,15
1555844136,10,3
1555845354,8,15
1555846956,17,31
1555848356,7,13
1555848900,1,0
1555849733,4,0
1555850568,7,14
1555851954,8,10
1555852498,2,0
1555854056,6,17
1555855002,7,6
1555856095,7,14
1555857765,7,21
1555859151,9,11
1555859677,2,0
1555861236,5,13
1555862596,3,4
1555863277,3,0
1555864973,9,5
1555866347,13,2
1555866893,7,0
1555867730,5,1
1555869037,17,7
1555870478,10,6
1555871635,7,10
1555873553,12,17
1555874079,4,0
1555875778,6,8
1555877439,6,3
1555878530,8,0
1555879356,6,6
1555880195,1,0
1555881284,5,6
1555882970,3,9
1555883803,5,0
1555884963,4,2
1555886147,3,4
1555887945,5,7
1555889317,2,0
1555890998,6,0
1555892098,2,1
1555893680,8,7
1555894610,3,3
1555895704,4,3
1555897375,2,6
1555898199,1,0
1555899281,2,4
1555900124,3,0
1555901800,1,3
1555902962,1,7
1555904201,1,7
1555905356,9,4
1555906591,1,9
1555907330,1,0
1555908250,2,3
1555910089,9,9
1555911760,5,12
1555913560,7,11
1555914786,1,10
1555915924,5,0
1555917357,3,12
1555918486,0,8
1555919796,7,0
1555920961,2,7
1555922137,6,7
1555924488,14,11
1555925334,8,1
1555926514,8,4
1555927825,5,9
1555929693,11,10
1555931160,8,11
1555932616,8,3
1555934148,7,3
1555935364,3,3
1555936196,4,7
1555937064,34,0
1555938879,52,9
1555939895,23,15
1555942159,74,8
1555943631,36,6
1555946057,39,8
1555946935,19,1
1555948234,43,13
1555949720,45,6
1555950938,23,6
1555952332,23,6
1555953699,19,1
1555954240,5,17
1555955392,13,7
1555956721,18,21
1555958021,8,8
1555960477,27,8
1555962477,23,10
1555964096,15,8
1555965590,12,4
1555966613,9,0
1555967697,8,5
1555969474,20,4
1555970213,9,0
1555971356,3,2
1555972975,3,6
1555974546,0,5
1555975740,1,0
1555977172,9,7
1555978561,1047,3
1555980059,405,207
1555982121,799,297
1555982935,136,90
1555985292,3,341
1555987377,11,255
1555988219,3,56
1555989373,1,53
1555990548,6,91
1555992901,7,157
1555994529,10,65
1555995420,8,52
1555996590,1,51
1555998282,11,77
1555999020,4,12
1556000161,6,38
1556001325,1,32
1556002603,11,29
1556003766,2,36
1556004600,11,21
1556006209,8,46
1556007290,15,6
1556008944,29,42
1556009808,12,9
1556010962,12,14
1556012577,25,32
1556013417,9,9
1556014480,9,31
1556016251,20,32
1556017495,18,16
1556019237,16,28
1556020448,9,18
1556021597,6,20
1556022699,8,16
1556023911,4,13
1556025292,11,13
1556026849,10,20
1556028758,10,25
1556030679,19,17
1556031403,27,3
1556032560,28,13
1556033817,26,11
1556035010,26,7
1556036093,17,10
1556036920,21,6
1556039247,46,35
1556040698,20,11
1556042159,21,2
1556043297,14,18
1556044610,27,14
1556045755,16,3
1556046885,21,14
1556047724,27,1
1556050333,50,29
1556052353,35,13
1556054077,27,8
1556055232,13,7
1556056597,25,3
1556057751,11,13
1556060006,25,14
1556061365,20,8
1556062134,12,4
1556064590,48,20
1556064897,12,3
1556066143,32,15
1556068159,34,11
1556069746,17,7
1556070998,17,5
1556072168,11,11
1556073325,10,6
1556073781,3,1
1556075592,18,10
1556076691,16,3
1556078155,17,3
1556079297,24,11
1556080133,4,5
1556081804,16,13
1556082998,9,6
1556084447,20,11
1556086136,12,31
1556087381,24,5
1556088177,13,1
1556089020,15,3
1556090091,23,6
1556091649,29,11
1556093108,27,14
1556093686,13,3
1556094575,17,14
1556096204,47,14
1556097286,12,6
1556098869,41,17
1556100290,22,16
1556101779,28,18
1556104499,48,22
1556106158,35,22
1556106998,6,6
1556108935,24,52
1556110680,17,46
1556111677,7,58
1556113358,14,53
1556115298,17,26
1556116959,16,44
1556117797,6,1
1556118953,12,46
1556120461,13,56
1556122038,11,25
1556123476,12,20
1556124169,7,6
1556124996,6,7
1556126161,6,14
1556127766,4,13
1556128610,10,0
1556129762,16,11
1556131357,21,15
1556132705,10,14
1556133947,10,5
1556134976,17,24
1556136356,10,11
1556137540,14,7
1556138574,11,16
1556139890,8,17
1556141159,6,3
1556142196,5,8
1556143662,18,4
1556144939,4,4
1556145774,5,6
1556147141,4,30
1556148834,7,130
1556150242,10,25
1556151352,6,125
1556152970,27,18
1556153818,19,4
1556154885,21,5
1556156459,20,7
1556158255,37,10
1556159337,18,6
1556160961,26,12
1556162160,24,5
1556162926,3,3
1556165070,29,16
1556166358,24,5
1556167563,18,5
1556168790,15,4
1556170193,11,7
1556171756,19,4
1556172976,25,10
1556174577,33,14
1556175987,25,12
1556177331,16,6
1556178680,21,20
1556179854,16,10
1556180935,20,7
1556181760,13,17
1556182599,13,3
1556184533,37,12
1556185839,15,20
1556187288,19,15
1556188133,16,5
1556188980,12,22
1556190340,27,10
1556191779,11,14
1556194479,38,19
1556195333,12,1
1556196904,23,12
1556198156,12,5
1556199539,13,17
1556200609,15,5
1556201694,15,17
1556202941,18,16
1556204140,14,17
1556205278,6,13
1556206766,10,18
1556207798,11,11
1556208891,8,12
1556210569,17,12
1556211960,17,18
1556215744,29,41
1556216922,23,7
1556217777,20,27
1556219155,31,25
1556220355,21,9
1556221360,10,30
1556222682,12,13
1556224295,14,28
1556225798,11,15
1556226882,10,13
1556228462,18,9
1556230504,18,15
1556232160,19,14
1556233557,11,14
1556234098,6,2
1556234935,4,6
1556235762,12,30
1556237007,14,19
1556238541,24,9
1556239838,19,19
1556241277,33,12
1556242127,13,4
1556243816,21,23
1556244906,20,9
1556246028,17,14
1556247352,20,10
1556248509,12,13
1556250071,10,18
1556251790,21,17
1556253162,16,12
1556254608,12,8
1556255683,5,10
1556257390,14,17
1556258605,9,12
1556259292,8,1
1556260137,7,3
1556260994,7,16
1556262354,7,25
1556263741,7,2
1556265369,10,36
1556266501,5,22
1556267667,10,29
1556269555,6,43
1556270087,5,4
1556271773,27,40
1556273097,8,34
1556274362,6,9
1556276212,14,34
1556277357,8,16
1556278822,21,23
1556280635,18,19
1556282559,24,20
1556283967,16,27
1556284489,4,4
1556286156,13,32
1556287851,55,4
1556289090,19,11
1556289772,16,5
1556290617,8,9
1556291751,10,11
1556293566,30,18
1556294205,13,2
1556295288,16,6
1556296975,23,15
1556298366,16,9
1556299539,12,7
1556300564,9,8
1556302496,8,11
1556303758,4,12
1556305005,12,9
1556306150,4,22
1556307758,11,8
1556308967,9,5
1556310139,13,6
1556311251,11,9
1556312196,16,5
1556313292,7,9
1556314479,8,9
1556317724,4,18
1556319459,4,4
1556320812,5,3
1556322059,21,10
1556324086,31,21
1556325660,23,17
1556326617,4,3
1556328581,6,43
1556329403,2,3
1556331039,11,15
1556332861,8,17
1556333008,0,4
1556334882,11,16
1556336614,7,21
1556338514,9,9
1556340013,10,17
1556341018,2,8
1556342099,3,15
1556343760,4,20
1556344602,2,2
1556345758,6,8
1556346535,4,1
1556347775,10,11
1556349275,8,15
1556350123,5,1
1556350971,5,20
1556352896,25,8
1556353722,9,1
1556355397,15,18
1556356489,13,12
1556358169,19,21
1556360095,19,13
