DateTime,AddedIPs,RemovedIPs
1555691295,49,2
1555692916,67,59
1555694070,40,25
1555694897,18,6
1555696350,38,43
1555697659,23,25
1555699196,27,42
1555700725,21,54
1555702232,28,43
1555702937,14,4
1555704627,33,46
1555706537,38,62
1555707379,12,0
1555708456,26,131
1555709722,25,70
1555710978,23,22
1555712060,20,26
1555713739,34,66
1555715113,23,47
1555716629,27,75
1555718178,37,24
1555719320,17,47
1555720099,8,0
1555720939,17,86
1555722860,29,45
1555723696,20,9
1555724552,21,45
1555726126,33,36
1555727458,24,55
1555728979,33,36
1555730059,24,40
1555731627,34,64
1555733426,40,66
1555734676,22,47
1555736727,75,63
1555737936,28,2
1555738937,24,57
1555740622,35,65
1555741707,27,11
1555743927,47,140
1555745296,33,14
1555746137,23,63
1555748067,35,46
1555748897,14,1
1555749740,23,75
1555751664,39,45
1555752496,18,6
1555754183,32,58
1555755272,26,37
1555756937,135,62
1555758323,31,40
1555759699,26,13
1555760536,15,58
1555762226,21,49
1555763444,18,50
1555765519,50,51
1555766060,10,5
1555769411,71,75
1555770621,27,37
1555772189,26,20
1555773260,17,37
1555774516,37,43
1555775694,22,9
1555776861,22,36
1555777696,17,10
1555779377,35,47
1555780521,26,30
1555781295,13,6
1555782140,12,40
1555782984,15,10
1555784898,47,43
1555786575,32,27
1555787728,15,41
1555788497,10,6
1555789339,19,45
1555790176,15,8
1555791265,31,29
1555792096,29,5
1555793804,25,47
1555794859,19,28
1555796116,17,40
1555797934,38,32
1555799305,16,4
1555800934,28,47
1555802121,20,24
1555803758,29,59
1555804579,14,4
1555805673,29,43
1555806506,30,8
1555807337,13,45
1555808720,33,37
1555810105,24,18
1555811424,22,52
1555812636,21,37
1555812867,3,2
1555814541,41,61
1555816468,28,33
1555817305,11,5
1555818149,10,48
1555820057,41,42
1555821638,34,39
1555823126,29,52
1555823666,12,2
1555824497,25,2
1555825817,33,48
1555827029,20,36
1555828111,20,11
1555829648,45,46
1555830754,20,35
1555832536,35,60
1555834215,27,24
1555835296,24,9
1555836424,21,51
1555838058,23,39
1555839735,23,37
1555841428,31,58
1555842633,18,42
1555844116,19,31
1555845328,17,91
1555846936,30,55
1555848863,34,49
1555849703,18,2
1555850540,21,43
1555852460,38,55
1555854023,26,39
1555854979,13,20
1555856060,22,32
1555857746,37,52
1555859657,36,35
1555861216,32,56
1555862506,21,37
1555863256,14,13
1555864947,37,55
1555866863,45,51
1555867697,13,2
1555869016,20,59
1555870457,32,31
1555871578,18,42
1555873529,43,46
1555874057,14,7
1555875744,37,58
1555877417,42,27
1555879335,34,38
1555880174,23,3
1555881259,20,40
1555882950,40,47
1555883779,19,9
1555884936,18,23
1555886120,20,27
1555887891,35,48
1555888460,22,5
1555889296,22,10
1555890145,17,21
1555890977,19,7
1555892071,21,33
1555893628,30,41
1555894579,14,24
1555895668,23,24
1555897354,28,61
1555898177,15,8
1555899258,27,31
1555900097,20,4
1555901778,28,46
1555902923,25,46
1555904150,20,32
1555905332,20,29
1555906531,21,35
1555907300,15,4
1555908171,22,37
1555910064,33,42
1555911737,36,51
1555913502,29,25
1555914731,18,31
1555915902,26,2
1555917328,19,41
1555918436,19,16
1555919775,31,6
