DateTime,AddedIPs,RemovedIPs
1555296247,33,20
1555298171,25,32
1555300089,30,20
1555302030,26,25
1555303931,27,0
1555305855,31,23
1555307788,29,24
1555309692,21,31
1555311790,19,0
1555313767,30,0
1555315711,29,0
1555317613,31,0
1555319555,18,22
1555321452,8,24
1555323377,17,12
1555325291,18,28
1555327231,31,0
1555329129,36,28
1555331050,33,28
1555332988,31,31
1555336822,16,26
1555338756,37,39
1555340655,24,0
1555344521,18,80
1555346410,24,34
1555348335,24,0
1555350270,26,0
1555352173,32,50
1555354088,35,38
1555356009,25,40
1555361768,41,100
1555363714,34,28
1555365626,33,30
1555367557,30,27
1555369728,40,0
1555371633,28,0
1555375475,19,37
1555377377,37,28
1555379538,28,24
1555381459,31,24
1555383392,38,36
1555385305,33,30
1555387252,36,29
1555389159,29,27
1555391053,31,25
1555392969,30,30
1555394910,15,26
1555396814,23,26
1555398736,29,23
1555400652,28,27
1555404516,30,58
1555408344,4,27
1555410517,10,19
1555412435,23,15
1555414355,29,35
1555416256,25,40
1555418196,39,33
1555420091,30,35
1555422011,42,0
1555423931,37,20
1555427773,32,59
1555429689,37,0
1555433529,35,48
1555437366,35,50
1555439290,38,33
1555441238,30,34
1555443159,37,31
1555445054,30,0
1555447002,25,0
1555452734,26,108
1555455172,29,28
1555457076,34,37
1555460893,27,33
1555462832,23,28
1555464758,27,35
1555468570,25,59
1555470738,27,39
1555472657,26,41
1555474597,28,36
1555476495,38,29
1555478446,22,34
1555480352,31,31
1555482253,39,20
1555484172,32,25
1555486256,32,33
1555488267,22,32
1555490166,30,0
1555492088,24,36
1555495929,20,6
1555497866,42,5
1555507450,36,139
1555509388,30,45
1555511285,40,39
1555513234,31,0
1555515136,40,29
1555517321,26,38
1555519210,23,0
1555521135,30,31
1555523070,26,0
1555524972,20,34
1555526892,30,39
1555530730,39,67
1555532649,31,37
1555534587,39,22
1555536490,29,0
1555540848,26,27
1555542760,30,31
1555546574,31,35
1555548494,29,26
1555550435,30,28
1555552334,30,31
1555554270,37,0
1555556169,30,26
1555560031,21,58
1555561938,29,24
1555563892,24,34
1555565774,38,25
1555567716,31,32
1555569616,25,41
1555571534,20,33
1555573596,34,33
1555575614,28,21
1555577545,30,27
1555579449,15,27
1555581398,5,0
1555583313,21,21
1555585261,28,35
1555587149,28,0
1555589068,28,0
1555590969,19,0
1555592922,22,0
1555596757,32,49
1555598660,32,35
1555600593,27,29
1555602516,31,32
1555604436,25,26
1555606334,26,22
1555608290,37,29
1555610171,24,25
1555612092,27,17
1555615942,30,31
1555617879,30,37
1555619776,19,28
1555621948,24,38
1555623856,13,30
1555626530,32,0
1555628438,22,28
1555630345,24,32
1555632279,23,0
1555634195,17,32
1555636089,21,28
1555638279,21,27
1555640193,20,27
1555642103,23,31
1555644012,21,42
1555645979,19,0
1555647853,36,19
1555649795,28,25
1555651691,29,29
1555656501,15,100
1555658427,26,22
1555660328,25,34
1555662250,20,21
1555664167,20,24
1555666112,10,17
1555668022,6,5
1555669945,7,25
1555671888,4,30
1555673770,27,28
1555675695,25,23
1555679532,40,48
1555682687,27,0
1555684597,28,29
1555686765,32,34
1555688677,32,21
1555690573,27,28
1555692494,36,26
1555694433,24,20
1555696354,19,33
1555698251,27,24
1555700174,28,31
1555702108,31,0
1555704029,25,27
1555705935,19,29
1555707886,17,21
1555709777,26,21
1555711942,23,13
1555713853,27,31
1555715794,22,23
1555717691,18,24
1555719608,36,23
1555725387,28,61
1555727287,27,16
1555729221,24,28
1555733320,27,34
1555739073,37,89
1555740977,24,0
1555742893,25,0
1555744837,27,44
1555746752,34,31
1555748656,30,21
1555750573,23,19
1555752511,15,0
1555754444,9,19
1555756357,33,8
1555758256,23,0
1555760193,24,30
1555762097,16,20
1555764021,19,0
1555765956,25,33
1555767850,30,0
1555769774,24,27
1555771712,34,26
1555773608,24,35
1555775549,23,33
1555777450,25,29
1555779367,20,37
1555781312,35,23
1555783239,31,23
1555785165,31,27
1555787057,15,29
1555788971,17,28
1555790920,22,26
1555794753,19,38
1555796650,24,24
1555798838,17,24
1555801011,19,29
1555802900,24,28
1555804901,31,22
1555806740,28,31
1555808662,25,0
1555810570,23,0
1555812760,17,22
1555814673,21,23
1555816599,25,18
1555818517,29,0
1555820436,21,17
1555822344,18,0
1555824257,27,0
1555826186,28,31
1555828093,26,22
1555830032,30,27
1555831963,28,27
1555833858,17,28
1555835694,17,25
