DateTime,AddedIPs,RemovedIPs
1555296247,58,55
1555298171,47,54
1555300089,52,52
1555302030,54,54
1555303931,52,52
1555305855,62,58
1555307788,45,54
1555309692,47,46
1555311790,54,46
1555313767,50,55
1555315711,48,49
1555317613,56,53
1555319555,30,56
1555321452,13,32
1555323377,33,14
1555325291,31,32
1555327231,57,30
1555329129,57,53
1555331050,60,61
1555332988,52,53
1555336822,40,55
1555338756,58,41
1555340655,44,57
1555344521,38,44
1555346410,44,36
1555348335,40,47
1555350270,53,41
1555352173,58,54
1555354088,59,59
1555356009,47,57
1555361768,53,47
1555363714,55,54
1555365626,56,55
1555367557,46,56
1555369728,63,47
1555371633,55,61
1555375475,49,49
1555377377,55,52
1555379538,44,56
1555381459,62,45
1555383392,60,65
1555385305,62,58
1555387252,60,61
1555389159,51,59
1555391053,60,51
1555392969,55,55
1555394910,38,49
1555396814,41,38
1555398736,50,49
1555400652,49,53
1555404516,50,51
1555408344,11,51
1555410517,14,13
1555412435,46,14
1555414355,48,41
1555416256,44,44
1555418196,55,46
1555420091,47,57
1555422011,61,47
1555423931,51,62
1555427773,52,52
1555429689,55,49
1555433529,58,58
1555437366,60,53
1555439290,54,59
1555441238,48,58
1555443159,57,46
1555445054,56,57
1555447002,38,58
1555452734,51,39
1555455172,53,46
1555457076,53,54
1555460893,45,56
1555462832,43,47
1555464758,43,42
1555468570,45,43
1555470738,48,44
1555472657,46,48
1555474597,48,47
1555476495,58,46
1555478446,45,57
1555480352,59,45
1555482253,59,61
1555484172,59,63
1555486256,47,54
1555488267,49,45
1555490166,45,48
1555492088,43,47
1555495929,28,46
1555497866,61,32
1555507450,53,57
1555509388,46,52
1555511285,57,44
1555513234,47,55
1555515136,61,52
1555517321,49,59
1555519210,45,52
1555521135,49,40
1555523070,43,48
1555524972,41,44
1555526892,48,39
1555530730,61,52
1555532649,57,60
1555534587,56,55
1555536490,49,55
1555540848,50,57
1555542760,56,48
1555546574,57,56
1555548494,55,54
1555550435,51,57
1555552334,56,51
1555554270,53,54
1555556169,57,54
1555560031,46,57
1555561938,49,47
1555563892,46,46
1555565774,60,48
1555567716,61,58
1555569616,46,69
1555571534,44,43
1555573596,56,46
1555575614,45,55
1555577545,54,46
1555579449,27,56
1555581398,12,28
1555583313,32,11
1555585261,55,33
1555587149,51,46
1555589068,51,45
1555590969,41,55
1555592922,34,44
1555596757,54,37
1555598660,50,53
1555600593,49,49
1555602516,54,48
1555604436,43,51
1555606334,42,43
1555608290,59,45
1555610171,51,60
1555612092,49,47
1555615942,51,54
1555617879,43,46
1555619776,39,45
1555621948,49,42
1555623856,35,44
1555626530,51,39
1555628438,40,51
1555630345,45,35
1555632279,38,45
1555634195,37,41
1555636089,49,36
1555638279,37,45
1555640193,35,41
1555642103,44,35
1555644012,48,45
1555645979,33,47
1555647853,56,29
1555649795,48,58
1555651691,66,57
1555656501,55,61
1555658427,49,56
1555660328,47,45
1555662250,45,53
1555664167,36,46
1555666112,21,37
1555668022,15,23
1555669945,14,14
1555671888,14,16
1555673770,51,13
1555675695,40,40
1555679532,59,42
1555682687,48,61
1555684597,55,45
1555686765,58,57
1555688677,59,63
1555690573,57,53
1555692494,56,58
1555694433,53,59
1555696354,44,49
1555698251,50,48
1555700174,49,48
1555702108,62,50
1555704029,46,59
1555705935,35,48
1555707886,41,35
1555709777,41,37
1555711942,47,44
1555713853,48,47
1555715794,48,49
1555717691,38,43
1555719608,55,45
1555725387,49,53
1555727287,52,50
1555729221,52,53
1555733320,48,50
1555739073,70,53
1555740977,49,66
1555742893,52,48
1555744837,52,51
1555746752,51,51
1555748656,45,54
1555750573,46,47
