DateTime,AddedIPs,RemovedIPs
1552540354,215,0
1552545634,205,0
1552548510,216,0
1552552106,178,0
1552555473,199,0
1552559795,171,0
1552563163,186,0
1552567231,159,0
1552588570,183,0
1552589553,185,0
1552592437,156,0
1552599159,217,365
1552602250,179,0
1552606363,152,0
1552628169,196,0
1552638760,216,0
1552641643,193,0
1552645247,168,0
1552648130,179,0
1552651478,151,0
1552655323,203,0
1552659378,170,0
1552663484,188,0
1552666817,184,0
1552684127,210,302
1552690504,181,0
1552696831,174,0
1552700437,197,0
1552711453,178,0
1552733301,188,251
1552734255,164,0
1552737637,187,0
1552742204,160,0
1552745798,162,0
1552748937,192,0
1552751813,176,0
1552756124,197,0
1552760443,186,0
1552801697,198,216
1552804356,169,0
1552821370,176,0
1552826428,166,0
1552830996,167,0
1552835310,183,0
1552842513,200,0
1552845388,170,0
1552867232,155,0
1552873228,160,0
1552876831,153,0
1552894579,152,409
1552901562,165,0
1552909692,148,0
1552944496,183,200
1552978089,195,201
1552979084,153,0
1552981451,159,0
1552984351,159,0
1552987228,163,0
1552997783,158,0
1553006897,170,0
1553010269,164,0
1553014110,144,0
1553041697,162,592
1553048909,163,215
1553082252,183,0
1553083731,154,0
1553089231,157,138
1553094990,153,0
1553103393,157,165
1553194574,173,2501
1553200107,171,146
1553213336,208,518
1553217172,132,0
1553220044,198,0
1553222670,160,0
1553225560,175,0
1553236112,181,165
1553239206,98,0
1553247376,188,314
1553257939,187,448
1553261054,150,201
1553264414,165,174
1553271892,150,367
1553275226,198,0
1553288436,163,0
1553310507,204,645
1553316770,196,181
1553358621,206,1159
1553367368,157,396
1553370272,157,0
1553374594,153,0
1553377210,185,0
1553381078,145,0
1553383959,158,0
1553388986,137,0
1553410834,195,342
1553413713,170,0
1553415639,173,0
1553418522,159,0
1553421150,151,0
1553424031,176,0
1553425975,158,0
1553427873,142,172
1553429531,139,0
1553431955,117,150
1553437717,164,170
1553440603,146,207
1553445739,119,0
1553449955,131,198
1553458123,134,185
1553462199,151,0
1553464861,136,0
1553507552,155,837
1553549303,204,353
1553554835,182,0
1553581711,183,0
1553586040,181,330
1553590844,155,319
1553595162,162,177
1553605729,173,156
1553610526,176,0
1553615317,174,347
1553619401,160,179
1553622999,170,0
1553627534,165,0
1553629962,152,0
1553632361,189,0
1553635237,147,0
1553684913,183,351
1553692609,178,346
1553698337,181,157
1553705078,198,167
1553707957,154,0
1553711567,157,170
1553715162,149,0
1553719488,133,0
1553721634,149,0
1553723297,176,0
1553726935,166,0
1553727854,133,0
1553731287,108,0
1553813119,191,236
1553835612,192,711
1553852892,175,444
1553854572,138,0
1553861319,170,0
1553878347,155,563
1553946987,190,692
1553951531,168,0
1553956101,174,0
1553958537,158,0
1553961396,156,0
1553964992,196,163
1553968593,162,0
1553986335,182,713
1553988746,162,0
1553991168,149,153
1553994258,152,141
1553996922,176,0
1553999553,165,0
1554002438,168,0
1554004590,146,0
1554007723,149,0
1554014669,150,0
1554017555,172,148
1554025473,162,446
1554032678,132,617
1554036268,145,173
1554039158,150,124
1554042499,158,0
1554045625,158,341
1554048039,183,0
1554052110,133,124
1554058841,125,153
1554062521,132,0
1554064361,109,154
1554068434,111,157
1554072046,142,176
1554078508,145,0
1554082118,146,0
1554085695,129,0
1554089220,155,0
1554092432,158,0
1554095317,153,0
1554098202,138,0
1554101081,148,0
1554103968,137,0
1554107562,166,0
1554110435,133,0
1554113278,124,155
1554115952,140,0
1554118834,133,0
1554121939,144,0
1554125562,145,0
1554128428,139,0
1554145230,126,0
1554163988,179,343
1554168282,141,0
1554195614,160,266
1554254900,201,1734
1554259235,174,0
1554263077,167,0
1554270770,151,0
1554281562,192,0
1554295226,160,144
1554300044,152,159
1554301686,144,0
1554305545,141,154
1554318382,156,431
1554387152,184,1057
1554408031,166,0
1554411387,142,0
1554414748,160,0
1554418619,139,177
1554421227,145,0
1554426533,161,0
1554429635,151,0
1554433721,143,0
1554436848,182,0
1554441379,148,167
1554446676,148,0
1554449570,162,0
1554451480,148,0
1554454118,155,0
1554456276,163,0
1554459885,121,257
1554463229,171,0
1554465387,174,0
1554468029,187,168
1554471397,178,0
1554474281,172,0
1554477881,175,0
1554482194,207,0
1554485553,175,155
1554488436,200,0
1554493934,172,0
1554496818,135,0
1554499959,160,0
1554505024,163,0
1554508881,165,0
1554510756,162,0
1554528742,161,0
1554530175,187,0
1554532343,186,0
1554536430,141,0
1554540259,150,0
1554542414,167,0
1554545794,186,0
1554624969,224,2407
1554652345,201,797
1554694109,204,1509
1554695055,178,0
1554699400,181,157
1554709963,180,614
1554718595,210,483
1554721244,185,165
1554724121,179,161
1554726518,199,0
1554729382,208,184
1554732758,214,193
1554735872,184,219
1554739712,192,0
1554744030,196,0
1554754826,214,193
1554756992,188,0
1554769240,192,186
1554786524,210,208
1554791557,170,0
1554795875,160,0
1554798756,203,0
1554801633,220,190
1554803784,218,0
1554895460,202,899
1554899532,190,0
1554906504,180,530
1554910576,172,208
1554913224,149,0
1554916825,187,0
1554919722,161,0
1554923796,166,172
1554925953,201,0
1554928112,194,0
1554931962,175,0
1554935081,197,0
1554976569,219,0
1554980450,180,0
1555001528,170,167
1555003228,173,0
1555006603,179,0
1555009461,178,0
1555012848,199,135
1555017858,193,130
1555021206,193,166
1555024114,171,135
1555027729,163,132
1555044976,132,645
1555066327,186,1056
1555072830,178,564
1555076429,166,185
1555080030,181,189
1555097554,171,806
1555120123,242,1169
1555130658,223,0
1555221629,228,1575
1555290020,238,405
1555307791,224,594
1555310190,210,0
1555312329,216,0
1555314737,200,0
1555317155,236,178
1555319559,213,0
1555322922,217,0
1555326508,171,381
1555330115,250,179
1555333708,229,175
1555336833,276,176
1555340909,213,397
1555344048,230,0
1555347399,151,191
1555350280,173,220
1555352435,184,0
1555355073,217,0
1555357967,151,0
1555360105,224,242
1555364180,150,187
1555369739,189,0
1555371635,214,0
1555375478,153,213
1555379067,213,0
1555381225,198,0
1555383394,195,0
1555385315,129,0
1555387716,198,0
1555389875,146,0
1555392028,155,142
1555394912,166,0
1555397073,137,184
1555399123,196,0
1555401636,175,156
1555403787,143,213
1555406673,146,255
1555408840,157,275
1555411952,144,0
1555414357,174,0
1555416762,128,0
1555418927,131,0
1555432356,177,0
1555435704,190,0
1555440269,148,0
1555443161,171,0
1555447005,175,0
1555450368,173,0
1555453238,171,0
1555455857,158,0
1555459932,176,0
1555463533,151,0
1555469800,181,0
1555473158,134,0
1555475537,155,0
1555477959,138,0
1555479627,148,0
1555548498,168,2142
1555553319,190,0
1555555457,158,0
1555561707,135,0
1555564592,142,0
1555567732,160,0
1555569883,174,0
1555570821,226,0
1555572510,171,0
1555575394,142,0
1555579959,195,0
1555584507,139,191
1555587858,198,175
1555590738,159,0
1555594353,168,0
1555596761,181,0
1555600595,131,0
1555603940,134,0
1555607314,147,152
1555610460,140,167
1555613313,108,165
1555616443,152,195
1555620757,131,213
1555624357,154,191
1555628441,144,170
1555633468,154,330
1555637798,109,0
1555660331,146,154
1555665389,177,0
