DateTime,AddedIPs,RemovedIPs
1554264727,25,1
1554268318,0,1
1554271929,2,0
1554275527,2,1
1554279125,0,1
1554282731,1,2
1554286329,0,2
1554289925,2,1
1554293513,0,2
1554300712,2,2
1554311509,0,4
1554315135,26,0
1554318730,1,0
1554322331,1,1
1554325932,1,0
1554329532,1,1
1554336736,1,2
1554343912,0,23
1554347516,2,0
1554351116,2,1
1554354730,2,0
1554358333,4,3
1554361932,1,1
1554365537,1,0
1554369134,0,2
1554372745,5,1
1554376351,3,0
1554379976,10,8
1554383570,0,2
1554387161,0,2
1554390763,4,5
1554394356,1,2
1554397960,2,2
1554401557,2,4
1554405157,3,4
1554408770,19,3
1554412358,0,4
1554415957,2,1
1554423165,2,1
1554426763,1,1
1554430368,0,1
1554433977,1,0
1554437567,1,0
1554441174,1,0
1554444767,1,2
1554448370,1,0
1554451966,1,2
1554455572,1,0
1554459162,0,2
1554466370,2,0
1554469966,2,2
1554473567,1,2
1554487645,2,0
1554491206,1,0
1554498401,1,0
1554502006,2,0
1554505607,0,1
1554512804,1,0
1554516397,0,19
1554520000,1,0
1554523612,25,0
1554527210,0,1
1554545215,1,0
1554548817,1,0
1554552413,1,2
1554559613,0,1
1554563220,1,2
1554566818,0,2
1554581214,1,0
1554588409,0,1
1554592012,1,0
1554595623,1,0
1554606412,1,0
1554610015,0,1
1554617217,2,0
1554628017,2,1
1554631613,0,4
1554635213,1,0
1554638808,4,2
1554642415,3,0
1554646015,0,2
1554649609,9,9
1554653212,8,8
1554656812,21,12
1554660410,4,5
1554664015,3,4
1554667609,5,2
1554671211,9,4
1554674806,7,3
1554678406,5,5
1554682001,4,15
1554685593,5,9
1554689194,2,0
1554692801,1,1
1554696395,0,1
1554699997,0,1
1554703596,1,1
1554707193,2,0
1554710795,3,0
1554714398,0,1
1554718001,1,0
1554721598,1,2
1554725195,1,0
1554728796,1,1
1554735998,1,0
1554739597,1,0
1554743198,1,0
1554746773,0,44
1554750364,1,0
1554753965,0,1
1554761166,1,0
1554768364,0,2
1554771958,0,1
1554775569,22,1
1554782770,1,0
1554786371,1,0
1554789971,3,1
1554793569,0,3
1554800768,1,0
1554804374,0,2
1554811570,2,0
1554818769,0,1
1554822368,0,1
1554825972,1,0
1554829569,3,0
1554836770,0,4
1554840373,0,1
1554843964,3,2
1554847569,0,1
1554851166,1,1
1554858365,2,1
1554861964,0,1
1554865566,3,0
1554869157,0,20
1554872760,1,0
1554876352,1,3
1554879958,0,1
1554883550,0,2
1554887149,0,2
1554890750,3,0
1554894350,1,1
1554897956,1,1
1554901551,3,0
1554905162,3,0
1554908756,2,1
1554912365,23,0
1554915965,1,1
1554919563,0,19
1554923155,1,1
1554926756,2,0
1554933957,1,1
1554937559,3,0
1554941159,1,0
1554944763,1,1
1554948359,1,0
1554951961,3,1
1554955565,2,1
1554966360,0,1
1554969963,2,0
1554973559,0,2
1554977163,2,0
1554980760,2,0
1554984352,0,11
1554991545,0,1
1554995150,1,5
1554998746,18,1
1555002346,1,3
1555005953,1,1
1555009554,3,1
1555013141,0,19
1555016734,1,0
1555020334,4,3
1555023941,6,1
1555027538,4,2
1555031151,6,5
1555034744,2,0
1555038346,1,0
1555045543,1,0
1555049146,1,0
1555052747,0,1
1555059945,0,2
1555063544,1,1
1555070745,1,1
1555074349,0,1
1555077943,1,1
1555081544,1,2
1555088744,2,0
1555092356,23,0
1555095965,2,1
1555099555,1,1
1555103161,1,0
1555106766,1,1
1555110363,4,2
1555113965,1,2
1555121157,0,3
1555124757,1,1
1555128343,1,23
1555131944,3,1
1555139145,0,2
1555142753,2,1
1555146346,2,2
1555149945,0,1
1555153551,1,0
1555160746,0,2
1555164349,1,1
1555171542,0,3
1555175147,1,1
1555178747,0,1
1555185947,0,3
1555189540,0,1
1555196746,1,3
1555200343,0,2
1555203937,0,1
1555207551,22,2
1555211150,4,0
1555214752,4,0
1555218358,3,2
1555221959,2,2
1555225565,2,1
1555229168,4,0
1555232771,2,3
1555236374,1,1
1555239971,0,1
1555243572,1,1
1555247169,0,1
1555250773,2,1
1555254372,1,3
1555257967,1,5
1555261560,1,21
1555265166,2,2
1555268762,0,2
1555272358,1,6
1555275960,2,4
1555279561,2,4
1555283165,1,6
1555286757,0,8
1555290357,0,7
1555293958,21,16
1555297561,1,1
1555304759,1,1
1555311966,0,1
1555315561,1,1
1555319165,1,0
1555333563,1,2
1555340762,1,1
1555344357,0,1
1555347957,0,1
1555351562,1,0
1555355164,0,1
1555358756,0,1
1555362353,0,2
1555365957,4,1
1555369564,2,0
1555373158,1,0
1555380350,0,18
1555387555,1,1
1555391156,2,0
1555394753,2,1
1555398359,0,1
1555401956,1,0
1555405561,1,0
1555409161,1,0
1555412758,3,2
1555416359,2,3
1555419957,0,2
1555423554,2,1
1555427167,15,0
1555430757,0,2
1555434363,1,0
1555437960,1,0
1555441562,1,0
1555445163,0,1
1555448757,0,2
1555452357,1,1
1555455959,1,1
1555459559,1,1
1555463159,1,0
1555466767,1,0
1555470367,2,1
1555481161,0,1
1555484764,1,0
1555488367,1,0
1555491962,1,1
1555495561,0,2
1555502764,2,1
1555506373,8,2
1555510011,29,1
1555513626,21,0
1555517210,1,22
1555520814,2,1
1555524410,3,0
1555528016,3,1
1555531613,3,1
1555535213,2,1
1555538812,1,2
1555542412,0,4
1555546010,0,1
1555549621,6,0
1555553217,2,0
1555556818,1,2
1555560418,6,0
1555564021,2,0
1555567641,13,0
1555571244,2,0
1555574841,1,3
1555578440,0,1
1555582044,4,1
1555585644,0,1
1555589248,2,1
1555592847,3,0
1555596451,3,0
1555600057,2,1
1555603649,3,20
1555607265,18,2
1555610852,3,5
1555614453,2,2
1555618046,2,3
1555621643,3,5
1555625246,0,2
1555628847,1,3
1555632445,1,2
1555636044,5,2
1555639642,2,1
1555650443,4,2
1555654038,1,4
1555657644,0,1
1555661232,2,5
1555664834,2,2
1555668432,1,4
1555672041,2,1
1555675632,0,1
1555679240,3,0
1555682839,0,1
1555686441,0,1
1555690041,0,1
1555693634,1,3
1555697216,0,20
1555700829,1,3
1555704416,1,2
1555708013,4,2
1555711613,1,1
1555715218,1,6
1555718809,1,1
1555722414,2,0
1555726011,1,0
1555733219,20,3
1555736823,1,0
1555740418,1,1
1555747620,2,1
1555751217,2,2
1555754819,1,0
1555758426,3,0
1555762023,2,0
1555765626,2,0
1555769229,2,1
1555772831,2,0
1555776430,1,0
1555783629,0,1
1555790833,2,1
1555794437,1,0
1555798033,1,1
1555801639,1,1
1555805232,0,1
1555808834,5,0
1555812429,10,19
1555816031,7,2
1555819639,24,2
1555826847,11,1
1555834048,2,1
1555837649,3,2
1555841256,3,1
1555844853,2,1
1555848451,1,2
1555852051,0,1
1555855653,3,1
1555859259,1,3
1555862853,1,4
1555866449,0,4
1555870056,4,1
1555873649,1,4
1555877251,2,4
1555880850,2,3
1555884440,0,6
1555888039,2,1
1555891640,1,0
1555895240,1,1
1555898831,0,17
1555902438,2,2
1555906032,1,0
1555916839,1,1
1555920433,4,1
1555924035,1,2
1555927635,1,2
1555931236,1,1
1555934835,0,1
1555938445,18,0
1555942049,2,1
1555945645,0,1
1555949253,1,0
1555952852,0,1
1555956445,2,1
1555960053,3,1
1555963649,1,0
1555967245,4,2
1555970837,1,5
1555974436,0,3
1555978040,3,2
1555981638,2,1
1555985234,0,1
1555996033,0,1
1555999634,0,3
1556003239,4,0
1556006832,1,1
1556010440,0,2
1556014035,0,1
1556017629,0,2
1556021231,3,3
1556024841,16,1
1556028434,1,2
1556032030,2,19
1556035631,5,0
1556039237,1,1
1556050031,0,1
1556053637,2,0
1556057231,0,2
1556060840,1,0
1556064438,4,1
1556068034,1,1
1556075234,1,2
1556078834,2,0
1556082435,1,0
1556086038,4,1
1556089638,0,1
1556093239,0,1
1556096837,2,1
1556100446,0,1
1556104038,4,0
1556107644,2,1
1556111242,19,1
1556114842,2,2
1556118438,1,22
1556122034,1,4
1556125631,1,1
1556129229,1,0
1556132833,2,2
1556136426,0,2
1556140026,0,1
1556143626,1,1
1556147225,1,0
1556150824,1,1
1556154425,1,2
1556158026,1,0
1556161634,2,0
1556165234,3,1
1556168837,6,1
1556172435,1,1
1556176041,2,1
1556179639,4,0
1556183243,1,0
1556186843,5,0
1556190452,3,0
1556194044,0,2
1556197648,3,1
1556201247,0,1
1556204841,0,4
1556208442,1,2
1556212040,2,21
1556215636,1,1
1556219236,0,1
1556222834,1,3
1556226439,1,3
1556230038,3,5
1556233638,12,3
1556237239,0,1
1556240840,0,2
1556244440,0,1
1556248037,1,1
1556255231,0,2
1556262435,1,0
1556266032,0,2
1556269635,3,0
1556273237,1,0
1556276840,1,3
1556280429,0,3
1556284028,1,2
1556287628,1,3
1556291232,3,0
1556294829,1,1
1556309237,0,1
1556312829,0,3
1556316427,0,1
1556320032,15,2
1556323635,2,0
1556327233,0,1
1556330848,3,0
1556338030,1,12
1556341626,0,1
1556348827,1,0
1556352426,0,3
1556359622,0,3
