DateTime,AddedIPs,RemovedIPs
1553893573,0,1
1553897172,1,0
1553900771,1,1
1553907969,0,2
1553911589,28,1
1553918796,1,0
1553929594,1,0
1553936796,0,1
1553943990,0,1
1553951182,0,5
1553954780,0,2
1553958378,0,1
1553965577,0,2
1553976377,0,1
1553990776,0,1
1554001575,0,2
1554008778,1,0
1554012378,1,0
1554023175,1,2
1554026779,2,0
1554030375,0,1
1554037578,1,0
1554041184,2,0
1554044788,11,0
1554048397,12,0
1554052004,12,0
1554055618,7,2
1554059212,1,0
1554062823,2,0
1554066417,1,0
1554070014,1,2
1554073620,2,0
1554077225,19,0
1554080827,4,0
1554084427,3,1
1554088031,1,0
1554091604,2,26
1554095206,1,0
1554098810,1,0
1554102409,1,0
1554106016,2,0
1554109614,2,0
1554113229,1,5
1554116820,1,2
1554124018,1,2
1554134825,1,0
1554138423,1,0
1554142094,44,0
1554149300,1,0
1554156493,0,1
1554160095,1,1
1554163694,2,1
1554167296,1,1
1554170899,1,0
1554174495,0,2
1554178095,0,2
1554181690,1,2
1554185296,1,3
1554188892,0,1
1554192489,1,2
1554196088,2,0
1554199691,2,1
1554203291,4,0
1554206897,0,2
1554210487,0,1
1554214092,1,0
1554217679,0,2
1554221280,0,2
1554228482,1,0
1554232084,1,1
1554235683,0,1
1554239294,2,0
1554242890,1,1
1554246491,1,0
1554253689,0,1
1554260885,1,1
1554264506,23,1
1554268113,0,1
1554271709,1,0
1554275309,2,2
1554282511,1,2
1554286105,0,2
1554289710,1,1
1554293297,0,2
1554300496,2,2
1554311292,0,4
1554314923,26,0
1554318514,1,0
1554322116,1,1
1554329316,1,1
1554336517,0,2
1554343693,0,23
1554347300,2,0
1554350896,1,1
1554358096,1,3
1554361698,1,0
1554368898,0,2
1554372497,0,1
1554376100,1,0
1554379720,10,8
1554386915,0,1
1554390518,4,5
1554394113,1,1
1554397716,1,0
1554404919,3,3
1554408539,18,1
1554412132,0,2
1554415735,2,0
1554426545,1,0
1554437342,1,0
1554440945,1,0
1554444550,1,2
1554448144,1,0
1554458937,0,2
1554466147,1,0
1554469738,1,1
1554473338,1,1
1554487524,2,0
1554491086,1,0
1554498283,1,0
1554501890,1,0
1554505493,0,1
1554516277,0,19
1554519885,1,0
1554523492,25,0
1554527094,0,1
1554537893,1,0
1554541492,1,0
1554548696,1,0
1554552293,1,0
1554581106,1,0
1554588293,0,1
1554591901,1,0
1554617102,2,0
1554627896,2,0
1554631500,0,2
1554635105,1,0
1554638706,4,0
1554645896,0,1
1554649511,9,7
1554653104,8,8
1554656705,21,12
1554660303,4,5
1554663908,3,1
1554667511,5,0
1554671114,9,0
1554674714,6,1
1554678322,5,0
1554681911,2,14
1554685514,5,8
1554689111,2,0
1554692714,1,1
1554696312,0,1
1554707117,2,0
1554714315,0,1
1554721513,1,1
1554728777,0,1
1554746677,0,44
1554753871,0,1
1554761072,1,0
1554768270,0,2
1554771873,0,1
1554775476,22,1
1554786281,1,0
1554789882,3,1
1554793487,0,3
1554804273,0,2
1554811479,1,0
1554822276,0,1
1554825875,1,0
1554829476,3,0
1554836677,0,4
1554843870,1,2
1554847470,0,1
1554851078,1,1
1554858273,1,1
1554861869,0,1
1554865476,3,0
1554869062,0,18
1554872664,1,0
1554876262,1,2
1554879865,0,1
1554883462,0,1
1554887059,0,2
1554890660,3,0
1554894265,1,0
1554897862,1,1
1554901462,3,0
1554905067,2,0
1554908667,0,1
1554912270,22,0
1554915873,0,1
1554919461,0,19
1554923058,0,1
1554926660,1,0
1554933861,0,1
1554941062,1,0
1554944660,1,1
1554948257,1,0
1554951859,2,1
1554955456,2,1
1554966257,0,1
1554969860,2,0
1554973457,0,2
1554977059,1,0
1554980660,1,0
1554984249,0,11
1554991446,0,1
1554995049,1,4
1554998646,18,1
1555002242,1,2
1555005846,1,1
1555009446,2,1
1555013036,0,19
1555016633,1,0
1555020233,2,2
1555023845,6,0
1555027439,3,1
1555031051,5,5
1555034651,2,0
1555038247,1,0
1555045444,1,0
1555049046,1,0
1555052648,0,1
1555063446,1,0
1555070645,1,2
1555074246,1,1
1555077846,1,1
1555081447,0,1
1555088646,2,0
1555092258,22,0
1555095865,2,0
1555110263,3,1
1555113860,1,2
1555121058,0,2
1555124663,1,1
1555128243,0,23
1555131845,3,1
1555139050,0,2
1555142649,2,0
1555146247,1,1
1555149845,0,1
1555160645,0,2
1555164244,1,0
1555171442,0,2
1555175045,1,1
1555178648,0,1
1555185851,0,3
1555196646,1,3
1555200249,0,1
1555203841,0,1
1555207450,22,2
1555211058,3,0
1555214655,1,0
1555218259,2,2
1555221858,1,1
1555232654,0,3
1555239857,0,1
1555243452,1,1
1555250651,1,1
1555254251,1,2
1555257853,0,5
1555261441,1,21
1555265048,1,2
1555268642,0,2
1555272236,1,6
1555275839,1,4
1555279439,2,4
1555283044,1,6
1555286641,0,6
1555290233,0,7
1555293840,21,11
1555297443,1,0
1555304642,1,0
1555311845,0,1
1555315443,1,0
