DateTime,AddedIPs,RemovedIPs
1554175264,0,1
1554178954,0,1
1554182452,0,1
1554186065,4,2
1554193257,0,1
1554196868,2,0
1554200470,1,0
1554207681,1,4
1554211247,2,4
1554214866,1,0
1554218449,2,3
1554222057,1,0
1554225665,1,0
1554229254,0,1
1554232864,2,1
1554236474,3,1
1554240165,3,1
1554243665,2,2
1554247269,1,0
1554250870,3,1
1554254462,0,2
1554258076,4,0
1554261678,0,3
1554265432,0,8
1554268864,0,6
1554272447,0,21
1554276029,1,25
1554279628,0,3
1554283220,0,1
1554286817,1,0
1554290492,2,0
1554294027,1,3
1554297620,2,3
1554301205,2,2
1554308402,0,2
1554311999,0,2
1554315663,66,0
1554319252,2,0
1554322865,0,3
1554326442,3,3
1554330033,0,3
1554333624,0,3
1554337223,1,0
1554340946,2,0
1554344431,3,1
1554348037,1,1
1554351653,3,0
1554355248,1,2
1554358840,1,2
1554362442,0,1
1554366051,1,0
1554369641,1,1
1554373240,2,0
1554376837,0,2
1554380449,2,0
1554387638,0,1
1554391338,3,0
1554398436,1,0
1554402043,2,0
1554405659,3,0
1554409266,1,1
1554412840,2,4
1554416458,2,0
1554420049,0,1
1554423639,0,1
1554427243,1,0
1554430842,2,1
1554438067,1,0
1554441729,1,1
1554445237,0,1
1554456037,1,4
1554459624,0,2
1554470427,1,0
1554474036,0,2
1554477635,1,0
1554484835,2,0
1554487875,0,2
1554491632,5,2
1554495052,3,2
1554498642,1,1
1554502249,4,1
1554509442,3,1
1554516652,0,5
1554523840,2,3
1554527443,3,0
1554531040,0,1
1554538240,0,3
1554541841,0,1
1554552640,0,5
1554559841,1,0
1554567037,2,1
1554570642,1,0
1554574242,2,1
1554581436,2,2
1554585040,0,1
1554588647,1,1
1554595837,2,1
1554599440,3,1
1554603046,2,0
1554610237,0,1
1554617443,0,1
1554624643,2,1
1554631836,0,4
1554642633,0,1
1554646233,0,1
1554653438,4,2
1554657041,1,0
1554660649,2,0
1554667836,1,2
1554671435,1,1
1554675038,1,1
1554682243,1,2
1554696640,1,5
1554700236,2,0
1554703837,12,1
1554711033,7,4
1554714642,2,1
1554718241,1,1
1554725424,2,25
1554728977,1,91
1554732550,2,28
1554736330,0,3
1554739743,1,1
1554743342,1,0
1554754144,1,4
1554757746,0,1
1554761345,0,1
1554765128,1,4
1554768540,4,1
1554772143,1,1
1554775738,0,1
1554782938,2,2
1554790133,0,4
1554793925,2,1
1554797334,1,2
1554800930,1,1
1554804531,0,1
1554811731,2,0
1554815329,2,3
1554818927,1,1
1554826132,1,1
1554829737,3,0
1554833341,2,0
1554840533,2,4
1554844138,2,1
1554847740,0,3
1554854931,2,5
1554858532,1,1
1554862122,2,7
1554865915,1,0
1554869325,1,1
1554876637,2,0
1554880272,1,1
1554890932,0,1
1554894654,0,2
1554901734,0,2
1554905325,1,1
1554909127,1,0
1554912526,1,0
1554916128,0,2
1554919793,1,90
1554923419,1,0
1554926891,2,1
1554930580,2,1
1554934092,2,1
1554941388,2,0
1554944896,0,1
1554952292,4,1
1554955695,1,0
1554959298,0,3
1554962980,1,1
1554966585,1,0
1554970094,1,3
1554973780,1,1
1554977284,1,1
1554980987,1,2
1554984588,3,0
1554988098,3,1
1554991697,1,1
1554995478,1,4
1554998902,1,1
1555002506,2,0
1555006096,5,1
1555009888,3,5
1555016890,1,2
1555020496,5,1
1555024300,3,1
1555027698,1,2
1555034903,1,1
1555038697,1,1
1555042091,1,1
1555045696,2,0
1555053103,0,1
1555056492,0,2
1555067478,2,0
1555070900,1,1
1555074498,2,0
1555078098,1,0
1555081896,1,2
1555085293,2,2
1555088898,0,1
1555092495,1,1
1555096274,3,0
1555099701,1,2
1555103294,1,2
1555110678,6,4
1555114106,0,2
1555117695,0,1
1555121294,1,0
1555125096,2,1
1555128498,0,3
1555135691,0,1
1555142893,1,0
1555150097,1,1
1555153881,3,1
1555157295,1,2
1555160904,2,0
1555164491,1,0
1555168293,0,2
1555171694,1,3
1555178898,0,2
1555182674,0,1
1555186102,2,1
1555189695,1,2
1555193292,2,4
1555197066,0,2
1555200495,1,0
1555204093,1,2
1555207692,2,3
1555211460,1,0
1555214889,4,1
1555229291,0,1
1555240269,1,0
1555247288,1,0
1555250894,4,0
1555254696,2,1
1555258099,0,1
1555261696,0,1
1555265295,0,1
1555269079,2,0
1555272510,3,0
1555276112,7,1
1555279704,2,0
1555283487,9,2
1555286911,4,1
1555290511,2,2
1555294106,1,0
1555297871,0,1
1555301302,0,2
1555304906,0,1
1555308522,1,1
1555312261,0,1
1555315704,0,1
1555322900,0,3
1555326678,0,3
1555330091,1,1
1555333688,1,6
1555337290,1,5
1555341042,1,9
1555344488,1,6
1555348096,1,1
1555351690,1,0
1555355452,0,1
1555358891,1,0
1555362493,2,1
1555366098,2,0
1555369862,2,0
1555373294,3,4
1555376895,1,3
1555380490,2,2
1555384268,0,2
1555394890,1,1
1555398680,0,1
1555405690,3,1
1555409290,0,2
1555413074,0,1
1555420082,1,4
1555423679,0,1
1555427500,1,0
1555430887,2,1
1555434486,1,3
1555438081,2,1
1555445291,2,2
1555448882,1,1
1555452482,0,1
1555456286,2,4
1555459678,1,0
1555463284,1,1
1555466877,0,2
1555470658,1,0
1555474070,0,1
1555477681,2,0
1555488471,0,1
1555492074,2,0
1555495678,2,0
1555499467,2,0
1555506480,0,2
1555510084,2,0
1555513887,0,1
1555520879,0,1
1555524478,2,4
