DateTime,AddedIPs,RemovedIPs
1554507768,3,5
1554511315,7,1
1554514900,4,4
1554518491,4,18
1554522126,4,98
1554525648,8,13
1554529234,5,20
1554536476,19,56
1554540004,9,18
1554543590,7,26
1554547173,8,19
1554550829,8,16
1554554367,5,20
1554557919,3,32
1554561521,2,18
1554565156,6,23
1554568696,7,19
1554572300,4,16
1554575902,1,15
1554579571,2,12
1554583080,3,10
1554586676,7,11
1554590272,1,8
1554593949,1,4
1554597471,0,4
1554601067,1,2
1554604662,0,6
1554608317,1,11
1554611824,2,11
1554615426,9,5
1554619018,16,12
1554622681,2,12
1554626212,7,13
1554629812,14,10
1554633409,6,9
1554637062,3,21
1554640590,1,9
1554644182,6,12
1554647771,6,12
1554651458,3,17
1554654962,1,12
1554658564,2,5
1554662145,3,15
1554665818,4,12
1554669332,6,6
1554672937,1,4
1554676541,1,10
1554680201,0,4
1554683730,2,2
1554687348,19,2
1554690938,4,3
1554694635,5,12
1554698139,1,5
1554701764,3,12
1554705301,3,20
1554712452,16,55
1554716033,8,27
1554719636,2,16
1554723320,5,23
1554726813,3,23
1554730408,1,30
1554734001,1,19
1554737705,5,17
1554741157,2,18
1554744740,1,30
1554748342,4,15
1554752029,2,13
1554755521,1,19
1554759110,1,15
1554762742,21,0
1554766422,4,10
1554769923,2,5
1554773524,4,4
1554777120,1,9
1554780779,3,14
1554784303,4,10
1554787889,11,19
1554791488,16,19
1554795143,20,32
1554798686,12,27
1554802264,15,26
1554805857,10,31
1554809502,12,20
1554813023,4,26
1554816632,8,15
1554820234,8,13
1554823885,8,15
1554827432,8,9
1554831004,5,10
1554834628,14,13
1554838287,6,16
1554841817,3,24
1554845401,10,51
1554849004,3,0
1554852725,1,6
1554856211,0,3
1554859793,0,7
1554863391,6,7
1554867079,8,6
1554870589,9,8
1554874176,6,18
1554877838,2,18
1554881471,4,12
1554884971,1,22
1554888592,10,8
1554892162,2,5
1554895802,7,19
1554899423,4,24
1554902939,3,12
1554906504,3,16
1554910157,1,15
1554913683,5,9
1554917314,3,12
1554920907,2,12
1554924517,6,11
1554928073,1,10
1554931660,4,7
1554935235,2,10
1554938842,1,4
1554942443,1,4
1554949616,4,12
1554953285,1,8
1554956795,0,19
1554960378,2,48
1554963985,5,14
1554967556,4,26
1554971151,6,15
1554974754,3,26
1554978315,2,29
1554981916,4,14
1554985563,0,22
1554989162,5,16
1554992790,3,16
1554996433,7,27
1554999935,7,16
1555003536,1,16
1555007134,3,11
1555010845,0,13
1555014306,0,20
1555017820,6,16
1555021418,6,10
1555025088,1,8
1555028613,0,5
1555032198,4,5
1555035787,0,9
1555039455,1,9
1555042936,1,14
1555046542,3,14
1555050144,0,17
1555053796,6,25
1555057289,1,28
1555060870,5,22
1555064442,5,39
1555068082,4,25
1555071615,3,22
1555075200,5,13
1555078783,1,22
1555082452,6,16
1555085980,3,12
1555089600,5,10
1555093167,5,15
1555100359,5,14
1555103959,2,4
1555107562,2,5
1555114763,6,11
1555118349,1,4
1555121953,1,4
1555129144,4,10
1555132762,4,9
1555136335,3,10
1555140014,2,5
1555143513,1,11
1555147110,3,7
1555150710,2,9
