DateTime,Entries,UniqueIPs
1554507768,2722,2722
1554511315,2728,2728
1554514900,2728,2728
1554518491,2714,2714
1554522126,2620,2620
1554525648,2615,2615
1554529234,2600,2600
1554536476,2563,2563
1554540004,2554,2554
1554543590,2535,2535
1554547173,2524,2524
1554550829,2516,2516
1554554367,2501,2501
1554557919,2472,2472
1554561521,2456,2456
1554565156,2439,2439
1554568696,2427,2427
1554572300,2415,2415
1554575902,2401,2401
1554579571,2391,2391
1554583080,2384,2384
1554586676,2380,2380
1554590272,2373,2373
1554593949,2370,2370
1554597471,2366,2366
1554601067,2365,2365
1554604662,2359,2359
1554608317,2349,2349
1554611824,2340,2340
1554615426,2344,2344
1554619018,2348,2348
1554622681,2338,2338
1554626212,2332,2332
1554629812,2336,2336
1554633409,2333,2333
1554637062,2315,2315
1554640590,2307,2307
1554644182,2301,2301
1554647771,2295,2295
1554651458,2281,2281
1554654962,2270,2270
1554658564,2267,2267
1554662145,2255,2255
1554665818,2247,2247
1554669332,2247,2247
1554672937,2244,2244
1554676541,2235,2235
1554680201,2231,2231
1554683730,2231,2231
1554687348,2248,2248
1554690938,2249,2249
1554694635,2242,2242
1554698139,2238,2238
1554701764,2229,2229
1554705301,2212,2212
1554712452,2173,2173
1554716033,2154,2154
1554719636,2140,2140
1554723320,2122,2122
1554726813,2102,2102
1554730408,2073,2073
1554734001,2055,2055
1554737705,2043,2043
1554741157,2027,2027
1554744740,1998,1998
1554748342,1987,1987
1554752029,1976,1976
1554755521,1958,1958
1554759110,1944,1944
1554762742,1965,1965
1554766422,1959,1959
1554769923,1956,1956
1554773524,1956,1956
1554777120,1948,1948
1554780779,1937,1937
1554784303,1931,1931
1554787889,1923,1923
1554791488,1920,1920
1554795143,1908,1908
1554798686,1893,1893
1554802264,1882,1882
1554805857,1861,1861
1554809502,1853,1853
1554813023,1831,1831
1554816632,1824,1824
1554820234,1819,1819
1554823885,1812,1812
1554827432,1811,1811
1554831004,1806,1806
1554834628,1807,1807
1554838287,1797,1797
1554841817,1776,1776
1554845401,1735,1735
1554849004,1738,1738
1554852725,1733,1733
1554856211,1730,1730
1554859793,1723,1723
1554863391,1722,1722
1554867079,1724,1724
1554870589,1725,1725
1554874176,1713,1713
1554877838,1697,1697
1554881471,1689,1689
1554884971,1668,1668
1554888592,1670,1670
1554892162,1667,1667
1554895802,1655,1655
1554899423,1635,1635
1554902939,1626,1626
1554906504,1613,1613
1554910157,1599,1599
1554913683,1595,1595
1554917314,1586,1586
1554920907,1576,1576
1554924517,1571,1571
1554928073,1562,1562
1554931660,1559,1559
1554935235,1551,1551
1554938842,1548,1548
1554942443,1545,1545
1554949616,1537,1537
1554953285,1530,1530
1554956795,1511,1511
1554960378,1465,1465
1554963985,1456,1456
1554967556,1434,1434
1554971151,1425,1425
1554974754,1402,1402
1554978315,1375,1375
1554981916,1365,1365
1554985563,1343,1343
1554989162,1332,1332
1554992790,1319,1319
1554996433,1299,1299
1554999935,1290,1290
1555003536,1275,1275
1555007134,1267,1267
1555010845,1254,1254
1555014306,1234,1234
1555017820,1224,1224
1555021418,1220,1220
1555025088,1213,1213
1555028613,1208,1208
1555032198,1207,1207
1555035787,1198,1198
1555039455,1190,1190
1555042936,1177,1177
1555046542,1166,1166
1555050144,1149,1149
1555053796,1130,1130
1555057289,1103,1103
1555060870,1086,1086
1555064442,1052,1052
1555068082,1031,1031
1555071615,1012,1012
1555075200,1004,1004
1555078783,983,983
1555082452,973,973
1555085980,964,964
1555089600,959,959
1555093167,949,949
1555100359,940,940
1555103959,938,938
1555107562,935,935
1555114763,930,930
1555118349,927,927
1555121953,924,924
1555129144,918,918
1555132762,913,913
1555136335,906,906
1555140014,903,903
1555143513,893,893
1555147110,889,889
1555150710,882,882
1555154391,883,883
1555157910,884,884
1555161517,883,883
1555165108,881,881
1555168777,878,878
1555172315,878,878
1555175931,876,876
1555179519,875,875
1555183219,875,875
1555186754,876,876
1555190352,875,875
1555193957,876,876
1555197630,880,880
1555201163,884,884
1555204767,884,884
1555208353,885,885
1555212019,885,885
1555215553,893,893
1555219140,893,893
1555222736,876,876
1555229957,891,891
1555233570,887,887
1555237176,888,888
1555240876,896,896
1555244367,895,895
1555247955,904,904
1555251548,899,899
1555255229,902,902
1555258754,902,902
1555262394,907,907
1555265985,905,905
1555269648,900,900
1555273207,894,894
1555276806,894,894
1555280379,895,895
1555284033,894,894
1555287570,893,893
1555291171,895,895
1555294776,891,891
1555298451,893,893
1555301970,894,894
1555305581,892,892
1555309231,891,891
1555312846,892,892
1555316406,899,899
1555320011,904,904
1555323608,913,913
1555327282,923,923
1555330801,927,927
1555334420,933,933
1555338011,938,938
1555341763,938,938
1555345263,939,939
1555348886,940,940
1555352447,942,942
1555356151,949,949
1555359652,961,961
1555363241,967,967
1555366866,977,977
1555370544,979,979
1555374070,983,983
1555377670,989,989
1555381269,998,998
1555384967,1001,1001
1555388465,1004,1004
1555392078,1012,1012
1555395689,1019,1019
1555399355,1013,1013
1555402856,1007,1007
1555406462,1002,1002
1555410053,1008,1008
1555413765,1023,1023
1555417302,1078,1078
1555420910,1087,1087
1555424503,1098,1098
1555428179,1109,1109
1555431716,1120,1120
1555435335,1135,1135
1555438948,1144,1144
1555442625,1153,1153
1555446154,1161,1161
1555449744,1163,1163
1555453351,1170,1170
1555457053,1175,1175
1555460579,1182,1182
1555464192,1184,1184
1555467780,1183,1183
1555474974,1199,1199
1555478602,1199,1199
1555482208,1209,1209
1555485850,1196,1196
1555489395,1203,1203
1555493010,1217,1217
1555496657,1270,1270
1555500368,1297,1297
1555503892,1326,1326
1555507505,1346,1346
1555511121,1366,1366
1555514815,1384,1384
1555518353,1403,1403
1555521968,1412,1412
1555525571,1419,1419
1555529264,1422,1422
1555532798,1426,1426
1555536388,1428,1428
1555540067,1426,1426
1555543732,1429,1429
1555547174,1426,1426
1555550775,1425,1425
1555554381,1426,1426
1555558072,1430,1430
1555561587,1431,1431
1555565183,1434,1434
1555568805,1434,1434
1555572496,1436,1436
1555575993,1441,1441
1555579587,1440,1440
1555583217,1442,1442
1555590407,1449,1449
1555594008,1454,1454
1555597593,1455,1455
1555601254,1451,1451
1555604773,1449,1449
1555608389,1449,1449
1555611996,1448,1448
1555619228,1451,1451
1555622816,1449,1449
1555626444,1445,1445
1555630089,1451,1451
1555633603,1453,1453
1555637216,1455,1455
1555640822,1456,1456
1555648033,1456,1456
1555651615,1454,1454
1555655207,1455,1455
1555658885,1452,1452
1555662415,1456,1456
1555666049,1458,1458
1555669643,1458,1458
1555673274,1461,1461
1555676830,1463,1463
1555680403,1463,1463
1555684000,1468,1468
1555687675,1466,1466
1555691210,1462,1462
1555694807,1479,1479
1555698441,1482,1482
1555705638,1486,1486
1555709236,1484,1484
1555712824,1484,1484
1555720041,1481,1481
1555723630,1489,1489
1555727244,1489,1489
1555734417,1486,1486
1555738016,1489,1489
1555741631,1487,1487
1555745284,1486,1486
1555748818,1485,1485
1555752421,1486,1486
1555756033,1488,1488
1555759702,1484,1484
1555763199,1483,1483
1555766805,1482,1482
1555770389,1483,1483
1555774069,1481,1481
1555777595,1482,1482
1555781200,1488,1488
1555784823,1486,1486
1555792018,1488,1488
1555795623,1482,1482
1555799230,1480,1480
1555802885,1472,1472
1555806402,1470,1470
1555810003,1470,1470
1555813592,1467,1467
1555817283,1463,1463
1555820785,1462,1462
1555824386,1457,1457
1555827991,1458,1458
1555831653,1447,1447
1555835171,1443,1443
1555838776,1437,1437
1555842375,1428,1428
1555846034,1424,1424
1555849564,1424,1424
1555853149,1421,1421
1555856757,1418,1418
1555860424,1413,1413
1555863943,1414,1414
1555867542,1413,1413
1555871159,1414,1414
1555874834,1421,1421
1555878364,1426,1426
1555881963,1428,1428
1555885570,1428,1428
1555889231,1425,1425
1555892759,1427,1427
1555896354,1427,1427
1555899963,1428,1428
1555903638,1425,1425
1555907160,1423,1423
1555910758,1416,1416
1555914359,1403,1403
1555921542,1396,1396
1555925176,1394,1394
1555928731,1384,1384
1555932409,1374,1374
1555935951,1367,1367
1555939533,1363,1363
1555943081,1360,1360
1555946762,1363,1363
1555950289,1368,1368
1555953895,1368,1368
1555957508,1366,1366
1555961189,1360,1360
1555964712,1350,1350
1555968298,1347,1347
1555971884,1336,1336
1555975570,1331,1331
1555979104,1324,1324
1555982689,1320,1320
1555986284,1340,1340
1555989978,1352,1352
1555993481,1351,1351
1555997078,1337,1337
1556000655,1320,1320
1556004356,1308,1308
1556007835,1299,1299
1556011449,1300,1300
1556015021,1287,1287
1556018689,1265,1265
1556022193,1240,1240
1556025770,1192,1192
1556029380,1178,1178
1556033033,1167,1167
1556036524,1156,1156
1556040124,1146,1146
1556043710,1128,1128
1556047388,1115,1115
1556050902,1102,1102
1556054501,1092,1092
1556058080,1082,1082
1556061735,1074,1074
1556065277,1067,1067
1556068858,1065,1065
1556072460,1067,1067
1556076145,1056,1056
1556079644,1052,1052
1556083237,1047,1047
1556086838,1049,1049
1556090509,1043,1043
1556094027,1036,1036
1556097650,1030,1030
1556101195,977,977
1556104844,933,933
1556108320,901,901
1556111889,879,879
1556115473,865,865
1556119142,848,848
1556122648,825,825
1556126239,811,811
1556129832,802,802
1556133524,799,799
1556137038,792,792
1556140624,786,786
1556144230,785,785
1556147909,785,785
1556151417,783,783
1556155015,779,779
1556158603,772,772
1556162284,769,769
1556165807,772,772
1556169398,768,768
1556172986,766,766
1556176748,767,767
1556180181,758,758
1556183783,754,754
1556187383,753,753
1556191037,751,751
1556194569,748,748
1556198192,742,742
1556201794,741,741
1556205466,741,741
1556208970,741,741
1556212588,747,747
1556216182,746,746
1556219860,746,746
1556223394,745,745
1556226981,746,746
1556230566,740,740
1556234253,733,733
1556237773,734,734
1556241367,732,732
1556244975,731,731
1556248746,733,733
1556252187,733,733
1556255822,736,736
1556259384,741,741
1556263051,743,743
1556266579,739,739
1556270199,735,735
1556273767,732,732
1556277436,725,725
1556280959,726,726
1556284540,723,723
1556288148,723,723
1556291830,720,720
1556295347,721,721
1556298927,715,715
1556302569,714,714
1556306177,711,711
1556309757,709,709
1556313368,709,709
1556316945,709,709
1556320575,710,710
1556324178,713,713
1556327754,708,708
1556331348,707,707
1556335007,709,709
1556338548,711,711
1556342129,707,707
1556345740,707,707
1556349351,708,708
1556352929,707,707
1556356554,713,713
1556360155,720,720
