DateTime,AddedIPs,RemovedIPs
1554666482,85,94
1554670562,100,98
1554674414,88,110
1554676322,69,105
1554680161,108,130
1554684003,55,104
1554687843,67,72
1554691682,81,95
1554695522,96,111
1554699363,77,85
1554701282,85,77
1554703214,499,377
1554705122,440,544
1554708962,62,67
1554712802,89,66
1554716645,89,72
1554720481,104,66
1554724563,85,70
1554726482,65,81
1554730322,101,77
1554734162,77,84
1554736322,81,77
1554742082,83,76
1554745922,119,72
1554749763,121,75
1554751682,76,107
1554755522,92,105
1554759362,80,117
1554765363,93,100
1554767282,86,130
1554771122,62,97
1554774962,75,67
1554776882,74,104
1554780722,94,108
1554784562,83,88
1554788642,89,79
1554792483,76,91
1554796323,104,69
1554800162,92,84
1554804008,80,53
1554805922,67,53
1554809762,82,74
1554813603,93,81
1554815522,77,69
1554821282,82,71
1554825122,74,86
1554828962,87,66
1554832823,103,60
1554834723,90,91
1554838562,92,89
1554842643,102,107
1554846482,91,113
1554850323,67,116
1554854162,83,112
1554858013,62,95
1554859922,78,87
1554864004,94,112
1554868082,93,106
1554871923,74,93
1554873842,99,76
1554879611,82,64
1554881522,78,67
1554885602,93,67
1554887522,69,53
1554893281,73,49
1554897122,74,68
1554900963,65,62
1554904811,74,72
1554909843,78,65
1554911762,80,77
1554915613,82,70
1554919682,174,136
1554925442,111,80
1554929282,92,104
1554933616,81,129
1554935522,76,126
1554939603,87,107
1554943442,62,97
1554947282,79,78
1554951121,91,116
1554953044,95,101
1554958814,85,88
1554960724,97,84
1554964562,77,74
1554968404,81,54
1554972243,88,68
1554974162,67,61
1554979923,72,66
1554983764,78,48
1554987623,77,78
1554991441,67,63
1554993362,90,85
1554996963,83,52
1555000803,81,80
1555004642,89,70
1555008482,89,100
1555012322,99,92
1555016163,108,82
1555018322,69,116
1555025282,72,126
1555027212,94,105
1555031042,61,91
1555032962,64,81
1555036803,73,98
1555040642,94,97
1555044482,81,79
1555048322,80,80
1555052162,83,61
1555056013,82,66
1555057922,98,70
1555061762,69,67
1555065605,78,63
1555069446,67,60
1555073282,74,72
1555077122,81,78
1555080963,69,72
1555084813,97,63
1555086963,93,74
1555090804,86,91
1555094642,83,79
1555098482,74,75
1555102322,79,81
1555106162,82,98
1555110482,61,93
1555112403,89,89
1555116243,53,86
1555120082,70,72
1555123922,69,98
1555127763,82,116
1555129683,92,74
1555133522,79,72
1555137602,75,52
1555141442,70,41
1555143362,41,70
1555145522,70,41
1555147443,77,54
1555149362,265,331
1555151283,353,286
1555153213,87,82
1555155122,83,67
1555157042,88,72
1555158962,72,88
1555160883,88,72
1555162802,81,79
1555166642,84,62
1555170482,75,74
1555174322,95,68
1555178163,77,71
1555182013,70,82
1555183922,87,77
1555185842,78,92
1555191602,72,203
1555193522,100,2
1555195442,65,103
1555199282,74,86
1555201203,46,99
1555206962,65,75
1555210813,69,89
1555212722,96,110
1555216563,80,101
1555220402,108,74
1555224243,74,47
1555228082,64,50
1555230002,85,46
1555235762,94,70
1555239610,93,76
1555241522,80,92
1555243442,73,58
1555245362,58,73
1555247283,73,58
1555251122,76,80
1555253042,93,59
1555258803,83,76
1555262642,89,69
1555266483,102,82
1555268409,95,79
1555270322,90,111
1555274162,89,89
1555276082,70,107
1555279923,71,135
1555285682,102,101
1555289522,44,98
1555293362,75,83
1555299122,150,192
1555302962,86,76
1555306802,95,80
1555310642,82,79
1555314482,86,61
1555318322,85,66
1555322415,65,64
1555324322,83,70
1555328162,94,71
1555332002,76,56
1555335842,96,80
1555339681,87,81
1555343522,99,83
1555349283,90,83
1555351215,108,90
1555353122,100,78
1555356962,90,82
1555358882,84,111
1555364642,80,117
1555369683,71,121
1555371602,91,97
1555375445,51,95
1555379522,73,84
1555383362,97,95
1555387212,102,118
1555389122,92,101
1555392962,79,79
1555396803,75,64
1555398722,83,68
1555404482,82,76
1555408322,72,60
1555412412,84,64
1555414322,71,72
1555418162,81,61
1555420083,88,72
1555425842,78,70
1555429682,83,79
1555431602,260,371
1555433522,407,271
1555435442,106,91
1555441213,94,86
1555445042,114,108
1555446963,113,113
1555450803,90,124
1555455123,77,127
1555458963,88,116
1555462813,62,91
1555464722,81,81
1555466642,64,107
1555472642,96,121
1555476482,81,86
1555480321,95,74
1555484162,68,58
1555488015,90,59
1555489922,76,72
1555493762,78,61
1555497602,73,61
1555501443,70,63
1555505282,63,77
1555507202,101,68
1555511042,84,68
1555516814,77,70
1555520642,82,85
1555522563,120,72
1555526401,72,120
1555528323,179,130
1555530242,87,77
1555536002,84,87
1555537922,76,111
1555540803,77,131
1555544642,80,118
1555548482,60,87
1555552322,75,63
1555556162,82,98
1555560015,104,118
1555561921,118,104
1555563842,161,194
1555565762,85,67
1555569602,81,65
1555575362,89,65
1555577282,102,82
1555581122,73,54
1555584962,100,72
1555590722,112,528
1555592883,431,0
1555594802,74,79
1555598643,68,66
1555602481,99,65
1555606322,76,89
1555608242,103,87
1555614014,79,104
1555615922,90,89
1555619762,98,77
1555623842,94,121
1555628413,83,113
1555630323,90,104
1555632242,65,103
1555636082,78,68
1555642083,87,110
1555645922,98,106
1555649763,83,95
1555653613,77,79
1555655522,90,51
1555661283,65,68
1555663203,88,51
1555667042,78,86
1555670882,86,56
1555672803,56,86
1555674722,148,113
1555678562,72,73
1555680483,76,69
1555682643,91,71
1555688642,89,73
1555692482,88,86
1555696322,89,84
1555698242,91,79
1555700163,79,91
1555702082,91,79
1555704007,70,85
1555705922,82,94
1555709763,69,97
1555713842,60,86
1555717682,96,96
1555721522,50,72
1555725362,73,68
1555729211,79,122
1555733282,85,96
1555735202,76,92
1555739042,90,74
1555740963,57,57
1555746722,69,57
1555750563,98,66
1555752483,57,68
1555754412,68,57
1555756322,126,120
1555760162,88,70
1555762081,442,439
1555764002,458,444
1555767843,69,67
1555771681,83,51
1555773602,78,69
1555777443,69,78
1555779363,151,119
1555783214,79,79
1555785123,79,84
1555788962,96,73
1555792802,62,74
1555796642,86,100
1555800963,72,119
1555804815,91,108
1555806721,58,78
1555810562,72,89
1555814645,81,104
1555816563,100,112
1555818481,112,100
1555820403,100,112
1555822322,65,84
1555826162,90,79
1555828083,68,58
1555831923,72,59
1555836005,87,62
1555839843,75,56
1555843682,77,78
1555845842,78,73
1555851611,67,75
1555853523,49,1873
1555855442,1909,44
1555861202,61,73
1555863122,73,61
1555865043,130,128
1555866963,82,72
1555868882,72,82
1555870802,143,122
1555874643,74,85
1555876562,138,133
1555880406,79,99
1555882322,74,93
1555888083,67,112
1555890003,96,99
1555893842,66,81
1555897682,74,79
1555901522,94,105
1555905363,94,134
1555909212,87,83
1555911122,92,78
1555914962,67,68
1555918802,62,48
1555922643,89,77
1555926481,90,71
1555930322,89,65
1555934412,109,67
1555936321,85,82
1555940162,88,72
1555944002,83,82
1555945922,88,79
1555947842,79,88
1555949762,88,82
1555951682,97,102
1555955522,104,86
1555959362,106,81
1555963213,83,98
1555965122,87,109
1555968962,72,94
1555972802,80,116
1555974724,92,125
1555980723,55,73
1555984816,92,71
1555986722,80,104
1555990802,95,117
1555994642,77,87
1555996563,93,69
1556002322,72,66
1556006163,83,64
1556010010,76,86
1556011923,71,66
1556015764,69,46
1556019603,93,60
1556023443,72,79
1556027284,98,63
1556029442,65,65
1556033283,78,90
1556037363,93,75
1556041202,99,83
1556045042,87,90
1556050803,106,87
1556052722,95,100
1556056563,82,92
1556059684,78,132
1556063522,92,107
1556067844,60,88
1556069763,72,79
1556073601,104,113
1556077442,91,98
1556081522,78,94
1556085362,81,86
1556087283,97,68
1556091123,78,66
1556094964,102,72
1556098804,75,70
1556102644,60,77
1556106483,68,65
1556110323,71,65
1556114164,83,64
1556116082,93,80
1556119922,91,75
1556121844,94,101
1556127845,92,85
1556131682,103,103
1556135522,119,96
1556139362,95,120
1556144643,69,114
1556146562,66,122
1556150410,111,120
1556152322,64,88
1556156402,80,90
1556160242,96,95
1556164081,95,122
1556167922,92,103
1556169842,102,80
1556175611,74,73
1556177522,91,59
1556179442,94,77
1556183282,77,94
1556185203,147,122
1556187122,85,76
1556189042,76,85
1556191203,85,76
1556193363,89,62
1556195283,68,79
1556201042,100,85
1556203203,88,74
1556207045,89,88
1556208961,92,79
1556217123,103,88
1556219042,107,84
1556220962,86,99
1556225042,94,85
1556228882,74,124
1556231763,77,114
1556233682,96,112
1556241362,60,98
1556243283,81,88
1556247124,97,114
1556250963,81,107
1556254811,94,69
1556256722,67,83
1556258643,83,67
1556260563,135,146
1556264402,84,59
1556266323,95,83
1556272082,106,63
1556275922,81,65
1556279762,73,82
1556283644,74,68
1556285522,91,74
1556289363,73,76
1556293204,101,62
1556297043,86,85
1556298962,102,86
1556302802,72,89
1556308564,84,97
1556312434,101,86
1556314324,70,104
1556316242,68,95
1556322003,103,105
1556323923,171,142
1556325845,169,207
1556327762,76,76
1556331603,84,121
1556337363,86,98
1556341220,83,94
1556343122,79,67
1556346961,63,65
1556351043,71,58
1556354881,87,53
1556356803,76,81
1556360644,75,58
