DateTime,AddedIPs,RemovedIPs
1553823849,35,30
1553827693,10,17
1553831942,120,86
1553835612,365,445
1553852892,262,303
1553854572,67,0
1553861319,158,543
1553878347,256,0
1553900890,29,17
1553904016,1406,1824
1553908570,6,6
1553912405,13,19
1553918342,189,108
1553946987,552,321
1553951531,126,0
1553956101,111,0
1553958537,91,0
1553961396,80,0
1553964992,105,0
1553968593,102,0
1553985368,7,16
1553986335,261,470
1553988746,75,0
1553989210,7,13
1553991168,1098,1069
1553993050,8,0
1553994258,77,185
1553996922,91,0
1553999553,75,139
1554000729,10,20
1554002438,79,0
1554004590,72,480
1554004742,168,44
1554007723,95,0
1554014669,107,0
1554017555,81,0
1554025473,119,0
1554032678,100,0
1554036268,69,0
1554039158,63,0
1554042499,74,0
1554045625,69,0
1554048039,81,0
1554052110,63,0
1554058841,82,0
1554062521,68,0
1554064361,63,0
1554068434,72,0
1554072046,68,0
1554074894,25,21
1554076817,594,1555
1554078508,112,220
1554078729,14,31
1554082118,84,134
1554085695,95,121
1554086406,11,12
1554089220,102,0
1554091142,157,65
1554092432,97,97
1554095317,75,98
1554098202,79,164
1554101081,73,0
1554103968,91,0
1554107562,102,103
1554110435,87,202
1554113278,72,0
1554115952,75,0
1554118834,76,0
1554121939,72,88
1554125562,93,342
1554128428,74,0
1554145230,216,0
1554160094,24,16
1554163988,1484,1769
1554167768,19,6
1554168282,133,90
1554171610,13,14
1554177542,156,58
1554195614,451,948
1554245781,26,7
1554249656,9,7
1554253469,1065,1885
1554254900,548,458
1554257293,18,0
1554259235,103,0
1554263077,87,0
1554263942,135,43
1554270770,119,0
1554281562,354,0
1554295226,204,0
1554300044,72,0
1554301686,61,0
1554305545,80,0
1554318382,138,0
1554334093,27,28
1554336017,955,1908
1554337933,19,0
1554345622,14,25
1554350342,125,74
1554387152,561,454
1554408031,216,446
1554411387,81,0
1554414748,90,0
1554418619,92,0
1554419053,44,18
1554421227,80,0
1554422416,1055,2311
1554426533,157,0
1554426984,22,27
1554429635,89,0
1554430803,11,15
1554433721,80,0
1554436848,95,0
1554441379,176,77
1554446676,102,0
1554449570,72,0
1554451480,72,0
1554454118,79,0
1554456276,89,0
1554459885,61,0
1554463229,594,320
1554465387,575,0
1554468029,576,0
