DateTime,AddedIPs,RemovedIPs
1555989123,4,0
1555989723,6,0
1555990802,89,12
1555990922,2,0
1555992204,0,2
1555992723,10,0
1555993203,0,202
1555993323,9,0
1555993923,2,0
1555994642,86,0
1555995122,2,0
1555995804,5,1
1555996563,86,8
1555996923,21,0
1555998123,2,0
1555999323,5,0
1556000523,4,0
1556000883,0,138
1556001722,1,0
1556002323,78,0
1556002923,3,0
1556003003,1,2
1556003763,0,63
1556004123,2,1
1556005323,5,0
1556005923,4,0
1556006163,80,0
1556006523,5,0
1556006545,0,1
1556007723,1,0
1556008323,6,0
1556008922,19,0
1556010010,68,17
1556010724,3,1
1556011442,1,125
1556011923,104,0
1556013723,9,0
1556013743,0,2
1556014322,1,0
1556014923,2,0
1556015523,0,61
1556015764,67,0
1556016123,3,0
1556016722,2,0
1556017323,2,0
1556017403,1,7
1556018523,8,0
1556019363,0,40
1556019603,90,0
1556019723,1,0
1556020323,1,0
1556020923,2,0
1556021003,0,1
1556022123,1,0
1556023202,0,53
1556023443,72,0
1556023922,2,0
1556024523,3,0
1556024543,0,2
1556025723,3,0
1556026323,1,0
1556027043,1,66
1556027284,86,0
1556028123,3,0
1556028203,0,1
1556028723,2,0
1556029442,55,17
1556030523,1,0
1556030882,0,97
1556031123,2,0
1556032923,4,0
1556033283,76,0
1556034123,2,0
1556036883,3,84
1556037363,94,0
1556037722,26,0
1556038924,18,0
1556038946,0,3
1556040123,4,0
1556040724,9,0
1556041202,88,17
1556041323,1,0
1556041682,0,123
1556041923,4,0
1556042523,3,0
1556042544,0,1
1556043723,3,0
1556044323,1,0
1556045042,84,0
1556046029,1863,241
1556046122,2,0
1556046143,1,0
1556047443,2,89
1556049122,2,0
1556049722,4,0
1556049743,4,1
1556050803,101,0
1556050922,1,0
1556052122,1,0
1556052722,87,30
1556053323,16,0
1556053344,0,1
1556054163,30,73
1556054523,3,0
1556055723,1,0
1556056082,71,85
1556056563,0,89
1556056923,8,0
1556057005,0,2
1556059705,78,2
1556060604,1,3
1556061723,3,0
1556062323,2,0
1556062923,1,0
1556063523,82,225
1556064124,6,0
1556064143,0,1
1556065322,5,0
1556067845,62,89
1556069763,65,0
1556070123,2,0
1556071923,1,0
1556072523,5,2
1556073122,3,0
1556073604,97,70
1556073723,23,0
1556074944,24,0
1556075525,23,0
1556076123,1,0
1556077442,83,15
1556078544,44,2
1556079605,0,179
1556079723,1,0
