DateTime,AddedIPs,RemovedIPs
1555852923,3,0
1555853523,3,0
1555854122,1,0
1555855322,2,0
1555857123,3,0
1555858323,4,0
1555858923,22,0
1555859523,11,0
1555860123,27,0
1555861322,1,0
1555861923,4,0
1555862523,20,0
1555863722,5,0
1555864923,1,0
1555866123,3,0
1555867322,1,0
1555867923,1,0
1555869723,13,0
1555870323,6,0
1555870923,1,0
1555871790,1444,271
1555872723,5,0
1555873323,2,0
1555875123,1,0
1555875722,14,0
1555876924,2,0
1555877523,2,0
1555878123,5,0
1555879324,3,0
1555881123,1,0
1555881723,6,0
1555882923,1,0
1555883523,2,0
1555885323,2,0
1555886524,1,0
1555887123,2,0
1555887723,2,1
1555888922,3,0
1555890123,2,0
1555890723,2,0
1555891325,15,1
1555891923,2,0
1555892523,1,0
1555893723,5,0
1555894323,1,0
1555896122,1,0
1555897323,14,0
1555897923,1,0
1555898524,1,0
1555899124,1,0
1555899724,1,0
1555900923,2,0
1555902123,1,0
1555902722,1,0
1555903923,7,0
1555905122,13,0
1555906323,0,1
1555906923,4,0
1555908124,2,0
1555908723,19,0
1555910522,1,0
1555911723,12,0
1555912923,3,0
1555914122,2,0
1555915323,4,0
1555917723,12,1
1555918923,2,1
1555919522,1,0
1555920723,1,0
1555921923,2,0
1555922523,1,0
1555923722,3,0
1555926122,17,0
1555926722,3,0
1555928523,16,0
1555929122,7,0
1555929723,2,1
1555930923,0,1
1555932124,2,0
1555932723,1,0
1555933323,15,0
1555935124,11,0
1555936923,3,0
1555938122,19,0
1555939323,2,0
1555940523,3,0
1555941123,1,0
1555941723,6,0
1555942923,2,0
1555945324,2,0
1555946524,12,0
1555947123,1,0
1555947722,2,0
1555948923,4,0
1555949524,1,0
1555950123,3,0
1555950723,1,0
1555951923,2,0
1555952524,2,0
1555953723,27,0
1555954322,8,0
1555954923,1,0
1555956122,2,0
1555956723,2,0
1555957323,20,0
1555958523,4,0
1555958916,982,206
1555959123,2,0
1555959723,2,0
1555960923,1,0
1555962123,1,0
1555962722,1,0
1555963322,2,0
1555965724,5,0
1555966323,2,0
1555966923,11,0
1555968122,3,0
1555968723,1,0
1555969323,11,0
1555969923,5,0
1555970649,1,0
1555971722,4,0
1555973523,3,0
1555974122,1,0
1555974724,1,0
1555976523,19,0
1555977724,3,0
1555978324,3,0
1555978923,9,0
1555981323,0,1
1555982523,5,0
1555983123,11,0
1555983723,2,0
1555984322,2,0
1555984924,1,0
1555986123,3,0
1555986723,5,0
1555987323,19,0
1555988522,2,0
1555989123,4,0
1555989723,6,0
1555990922,2,0
1555992723,10,0
1555993323,9,0
1555993923,2,0
1555994523,9,0
1555995122,2,0
1555995722,5,0
1555996923,21,0
1555998123,2,0
1555999323,5,0
1556000523,4,0
1556001722,1,0
1556002323,6,0
1556002923,3,0
1556004123,2,1
1556005323,5,0
1556005923,4,0
1556006523,5,0
1556007723,1,0
1556008323,6,0
1556008922,19,0
1556010724,3,0
1556011322,1,0
1556011922,37,0
1556013723,9,0
1556014322,1,0
1556014923,2,0
1556016123,3,0
1556016722,2,0
1556017323,2,0
1556018523,8,0
1556019723,1,0
1556020323,1,0
1556020923,2,0
1556022123,1,0
1556023323,2,0
1556023922,2,0
1556024523,3,0
1556025723,3,0
1556026323,1,0
1556026923,1,0
1556028123,3,0
1556028723,2,0
1556030523,1,0
1556031123,2,0
1556032923,4,0
1556034123,2,0
1556036524,3,0
1556037123,3,0
1556037722,26,0
1556038924,18,0
1556040123,4,0
1556040724,9,0
1556041323,1,0
1556041923,4,0
1556042523,3,0
1556043723,3,0
1556044323,1,0
1556046029,1864,244
1556046122,2,0
1556047323,2,0
1556049122,2,0
1556049722,4,0
1556050922,1,0
1556052122,1,0
1556052722,5,0
1556053323,16,0
1556054523,3,0
1556055723,1,0
1556056923,8,0
1556059705,3,2
1556061723,3,0
1556062323,2,0
1556062923,1,0
1556064124,6,0
1556065322,5,0
1556067723,3,1
1556069523,2,0
1556070123,2,0
1556071923,1,0
1556072523,5,2
1556073122,3,0
1556073723,23,0
1556074924,24,0
1556075525,23,0
1556076123,1,0
1556078523,44,1
1556079723,1,0
1556080322,1,0
1556082123,4,0
1556082723,19,0
1556083322,10,0
1556084523,1,0
1556085123,6,0
1556086923,5,0
1556087523,1,0
1556088123,1,0
1556088723,0,1
1556089323,0,1
1556089923,16,0
1556090524,19,0
1556091122,3,0
1556091723,17,0
1556092923,3,0
1556093522,3,0
1556094123,1,0
1556094722,8,0
1556095323,1,0
1556096523,27,0
1556097723,2,0
1556098923,1,0
1556100123,3,0
1556100723,16,0
1556101323,11,0
1556101923,4,0
1556102523,3,0
1556103723,13,0
1556104923,2,0
1556106123,1,0
1556108522,3,0
1556109123,10,0
1556109722,1,0
1556110323,5,0
1556110922,2,0
1556111523,3,0
1556112122,1,0
1556113322,2,0
1556115723,2,0
1556116923,1,0
1556117523,1,0
1556118123,1,0
1556118723,1,0
1556119322,10,0
1556120523,1,0
1556121124,12,0
1556121723,1,0
1556122323,3,0
1556122924,17,0
1556123522,1,0
1556125324,1,0
1556125923,3,0
1556126523,30,0
1556128924,1,0
1556129523,4,0
1556130124,12,0
1556131323,22,0
1556132523,12,0
1556133149,1145,314
1556133723,0,1
1556134922,15,0
1556135523,3,0
1556136123,4,0
1556136724,2,0
1556137323,3,0
1556137922,5,0
1556138523,32,0
1556140323,1,0
1556142124,16,0
1556142723,6,0
1556145124,9,0
1556145723,0,1
1556146922,2,0
1556147523,2,0
1556148124,1,0
1556148723,2,0
1556149323,1,0
1556150524,14,0
1556151723,1,0
1556152923,2,0
1556154123,1,0
1556156523,2,0
1556157723,6,0
1556158323,4,0
1556160123,3,1
1556160723,10,0
1556164323,1,0
1556164923,1,0
1556166123,1,0
1556167323,2,0
1556168523,2,0
1556169723,14,0
1556170923,4,0
1556172122,5,1
1556172724,1,0
1556173323,5,0
1556174523,48,0
1556175723,4,0
1556176323,2,0
1556178723,2,0
1556179323,12,0
1556179923,1,0
1556180523,3,0
1556182323,6,0
1556182922,14,0
1556184124,2,0
1556184722,21,0
1556185323,6,0
1556185923,19,0
1556186523,9,0
1556187723,2,0
1556188923,1,0
1556190123,11,0
1556191323,3,0
1556192523,7,0
1556193123,3,0
1556193723,1,0
1556194323,4,0
1556194922,10,0
1556196123,5,0
1556196722,4,0
1556197322,1,0
1556197923,39,0
1556198522,2,0
1556200922,1,0
1556202122,3,0
1556203323,3,0
1556204523,3,0
1556205124,8,0
1556205723,6,0
1556206922,2,0
1556208123,2,0
1556209324,5,0
1556210523,1,0
1556211124,7,0
1556212325,1,0
1556212923,1,0
1556213523,1,0
1556214122,1,0
1556214722,1,0
1556215323,1,0
1556215923,2,0
1556216522,1,0
1556217723,3,1
1556218322,3,0
1556218922,2,0
1556220273,2014,192
1556222523,4,0
1556223123,10,0
1556224923,1,0
1556225522,2,0
1556226123,1,0
1556227323,1,0
1556227922,2,0
1556228523,3,0
1556229724,3,0
1556232123,2,0
1556232723,18,0
1556233323,1,0
1556234523,3,0
1556235607,190,83
1556235724,2,0
1556236923,2,0
1556238122,1,0
1556239323,7,0
1556241123,1,0
1556241724,1,0
1556245323,7,0
1556246522,1,0
1556247124,1,0
1556247723,2,0
1556248922,1,0
1556250123,2,0
1556250724,2,0
1556252523,1,0
1556256122,1,0
1556256723,1,0
1556257323,18,0
1556257923,5,0
1556260323,1,0
1556260923,2,0
1556261523,1,0
1556263322,2,0
1556265123,4,0
1556265723,12,0
1556266323,6,1
1556266924,4,0
1556267523,3,0
1556268123,2,1
1556269323,0,1
1556269922,2,0
1556270523,1,0
1556271723,5,0
1556272924,3,0
1556273523,7,0
1556274123,11,0
1556274722,1,0
1556275323,9,0
1556277723,1,0
1556278923,2,0
1556280123,4,0
1556281322,4,0
1556282522,2,0
