DateTime,AddedIPs,RemovedIPs
1555387252,25,9
1555389160,14,5
1555391053,15,18
1555392969,29,21
1555394910,24,17
1555396814,34,26
1555398736,48,18
1555400651,35,8
1555402600,28,13
1555404516,20,12
1555406417,64,17
1555408343,20,12
1555410516,38,1204
1555412435,565,0
1555414354,40,20
1555416255,43,18
1555418195,53,18
1555420090,29,18
1555422010,50,17
1555423930,40,15
1555425867,22,17
1555427772,30,11
1555429687,32,14
1555431624,38,20
1555433528,25,20
1555435450,28,16
1555437365,44,24
1555439289,21,31
1555441236,33,24
1555443157,26,32
1555445052,24,27
1555447001,30,17
1555448913,37,40
1555450835,62,44
1555452732,61,28
1555455172,82,55
1555457076,560,0
1555458970,53,23
1555460893,29,14
1555462832,68,19
1555464757,25,9
1555466654,26,17
1555468570,38,18
1555470737,31,9
1555472656,24,11
1555474597,29,17
1555476494,28,19
1555478445,32,20
1555480352,29,22
1555482253,39,24
1555484171,44,24
1555486255,24,35
1555488266,31,26
1555490165,39,16
1555492087,25,38
1555494023,33,43
1555495928,54,1516
1555497866,38,32
1555499773,582,1
1555501689,68,18
1555503633,58,17
1555505571,65,20
1555507449,52,11
1555509387,51,13
1555511283,69,18
1555513233,48,27
1555515134,35,10
1555517319,22,26
1555519208,31,18
1555521133,24,22
1555523068,45,28
1555524970,35,31
1555526890,27,23
1555528824,33,56
1555530728,34,29
1555532647,29,19
1555534585,13,39
1555536488,42,34
1555538424,45,28
1555540849,42,40
1555542761,529,0
1555544655,29,14
1555546574,32,16
1555548494,19,14
1555550435,25,12
1555552334,32,10
1555554270,18,8
1555556169,20,23
1555558110,20,14
1555560031,32,25
1555561937,21,18
1555563891,13,15
1555565774,27,28
1555567715,24,25
1555569615,26,25
1555571534,21,45
1555573595,31,37
1555575614,18,26
1555577545,33,27
1555579449,31,39
1555581397,30,26
1555583312,30,1759
1555585260,840,0
1555587148,55,73
1555589067,49,42
1555590968,56,36
1555592921,45,40
1555594813,49,31
1555596756,42,25
1555598658,30,31
1555600591,19,32
1555602515,27,24
1555604434,25,33
1555606333,27,24
1555608289,40,30
1555610170,36,32
1555612091,36,39
1555614036,58,44
1555615940,29,22
1555617877,16,31
1555619774,25,40
1555621946,50,34
1555623854,25,34
1555626528,58,60
1555628438,740,0
1555630344,23,63
1555632279,25,35
1555634194,29,33
1555636089,35,36
1555638279,21,27
1555640193,30,27
1555642102,13,32
1555644012,18,28
1555645978,26,23
1555647853,29,27
1555649794,26,25
1555651690,24,25
1555653639,28,33
1555655644,19,40
1555657466,28,33
1555659375,24,27
1555661319,30,36
1555663232,27,34
1555665138,27,25
1555667051,35,33
1555668998,32,1556
1555670897,55,40
1555672813,627,0
1555674753,66,31
1555676656,48,22
1555678570,55,24
1555680514,29,16
1555682685,69,30
1555684595,34,27
1555686763,35,26
1555688676,41,27
1555690572,36,21
1555692492,37,23
1555694431,25,11
1555696352,20,36
1555698249,25,19
1555700172,20,27
1555702106,14,31
1555704027,39,20
1555705933,35,22
1555707884,21,29
1555709775,28,37
1555711940,23,35
1555713852,27,40
1555715794,535,0
1555717691,27,27
1555719607,20,20
1555721551,11,18
1555723448,8,17
1555725387,20,24
1555727287,10,17
1555729220,15,21
1555731155,7,22
1555733319,11,22
1555735208,17,28
1555737139,18,9
1555739073,13,24
1555740976,28,26
1555742892,9,22
1555744836,22,33
1555746751,26,19
1555748655,17,13
1555750572,20,35
1555752510,21,30
