DateTime,AddedIPs,RemovedIPs
1548985206,4,1
1548999897,1,3
1549014491,3,2
1549029176,7,0
1549043790,2,1
1549058416,3,3
1549073068,3,1
1549087936,2,2
1549102567,0,3
1549117207,1,3
1549131849,4,3
1549146510,2,2
1549161127,3,3
1549175774,4,3
1549190430,1,4
1549205055,4,2
1549219688,1,5
1549234349,5,4
1549248966,1,0
1549263637,4,3
1549278247,3,6
1549293150,3,3
1549308995,4,0
1549323622,2,3
1549338250,3,2
1549352911,2,1
1549367529,2,0
1549382170,8,3
1549396811,5,1
1549411453,3,3
1549426353,6,1
1549441210,6,0
1549455849,4,4
1549470511,1,0
1549485149,1,4
1549499795,8,2
1549514412,3,2
1549529072,2,2
1549543685,5,1
1549558349,7,3
1549573235,2,0
1549587847,1,2
1549602488,4,1
1549617134,4,1
1549631789,3,1
1549646430,6,2
1549661050,3,1
1549675697,8,0
1549690328,5,0
1549704964,1,0
1549719609,1,8
1549734256,4,3
1549748894,2,6
1549763790,7,1
1549778416,2,1
1549793072,5,1
1549807710,0,2
1549822334,3,2
1549836966,0,24644
1549851608,24651,4
1549866268,2,0
1549880909,2,4
1549895533,6,4
1549910186,4,3
1549924807,4,2
1549939470,2,4
1549954329,3,2
1549968967,2,3
1549983738,2,7
1549998513,3,5
1550013126,2,2
1550027794,4,4
1550042406,3,0
1550057073,2,2
1550071694,5,1
1550086348,4,0
1550100970,3,1
1550115609,3,2
1550130248,1,0
1550144888,1,1
1550159528,4,1
1550174188,3,3
1550188838,7,2
1550203472,2,2
1550218351,1,0
1550232991,4,1
1550247606,6,0
1550262248,4,1
1550277154,3,3
1550291773,1,1
1550306411,6,2
1550321048,3,6
1550335691,4,5
1550350355,3,1
1550364985,3,2
1550379613,3,2
1550394248,1,3
1550408894,5,2
1550423528,2,6
1550438190,4,0
1550452833,0,4
1550467448,5,3
1550482087,1,4
1550496753,2,3
1550511365,1,1
1550526008,4,0
1550540650,2,1
1550555289,5,4
1550569927,3,1
1550584569,0,4
1550599233,3,2
1550613854,2,3
1550628753,0,4
1550643375,3,2
1550658026,6,3
1550672651,3,2
1550687289,1,0
1550701941,2,0
1550716587,1,2
1550731206,1,2
1550745850,2,1
1550760486,1,3
1550775154,5,3
1550789765,3,1
1550804410,12,0
1550819048,12,0
1550833716,13,0
1550848328,6,0
1550862985,7,2
1550877612,39,0
1550892274,24,1
1550907154,23,0
1550921786,8,3
1550936406,14,2
1550951068,25,4
1550965687,13,0
1550980351,10,2
1550994990,5,3
1551009614,5,0
1551024269,6,1
1551038914,6,2
1551053533,11,2
1551068174,6,2
1551082828,5,2
1551097470,6,5
1551112086,8,1
1551126750,17,0
1551141365,15,3
1551156007,10,2
1551170651,5,3
1551185289,6,0
1551199956,2,1
1551214570,3,2
1551229207,7,1
1551243854,11,1
1551258752,7,1
1551273365,6,2
1551288008,7,1
1551302670,11,1
1551317284,13,0
1551331955,9,1
1551346575,7,1
1551361206,11,1
1551375849,5,0
1551390489,6,1
1551405133,9,0
1551419766,2,0
1551434413,4,0
1551449049,6,5
