DateTime,AddedIPs,RemovedIPs
1555906509,610,876
1555907409,419,879
1555908309,513,574
1555909208,526,357
1555910109,510,972
1555911009,461,888
1555911911,440,926
1555912810,447,481
1555913710,533,262
1555914609,445,633
1555915510,1500,676
1555916409,1066,333
1555917310,487,1073
1555918209,675,146
1555919111,411,275
1555920009,418,193
1555920909,559,116
1555921810,2033,216
1555922711,1816,865
1555923610,1469,674
1555924510,1241,236
1555925410,1043,209
1555926310,1068,1260
1555927210,1165,1083
1555928109,1005,182
1555929009,887,188
1555929910,896,526
1555930810,998,545
1555931709,912,722
1555932609,861,1192
1555933512,1034,2238
1555934410,1094,2052
1555935309,920,1380
1555936209,1008,1108
1555937110,941,1171
1555938010,912,1294
1555938910,964,1125
1555939810,927,782
1555940711,867,729
1555941612,970,886
1555942511,937,713
1555943411,830,1092
1555944309,909,1042
1555945211,796,809
1555946111,690,1929
1555947012,999,1801
1555947910,960,1489
1555948811,951,1172
1555949711,802,2236
1555950610,877,1147
1555951510,879,961
1555952410,928,619
1555953311,905,302
1555954211,925,797
1555955111,1031,728
1555956010,827,922
1555956910,872,1184
1555957813,836,523
1555958712,925,793
1555959611,975,934
1555960512,885,1123
1555961411,891,882
1555962312,1037,1768
1555963213,933,1015
1555964113,1005,384
1555965012,953,369
1555965912,1017,515
1555966812,1006,1434
1555967713,1039,2523
1555968612,1014,1545
1555969514,901,3183
1555970413,908,751
1555971312,912,1037
1555972213,912,743
1555973114,774,968
1555974016,817,1540
1555974913,754,453
1555976713,1587,1349
1555977615,802,538
1555978515,801,351
1555979416,806,623
1555980315,824,1516
1555981214,881,369
1555982114,860,565
1555983018,854,878
1555983915,865,766
1555984816,970,1024
1555985716,944,1368
1555986616,829,667
1555987518,799,279
1555988416,813,657
1555989315,747,781
1555990216,721,1009
1555991114,856,975
1555992016,812,1015
1555992915,899,1129
1555993815,788,839
1555994716,835,1024
1555995615,821,488
1555996515,911,720
1555997415,887,916
1555998318,856,1358
1555999217,966,1173
1556000119,942,852
1556001017,1008,1387
1556001918,843,693
1556002817,898,584
1556003718,901,401
1556004620,849,137
1556005519,903,602
1556006420,622,1221
1556007316,451,801
1556008218,484,823
1556009118,520,1141
1556010019,655,1968
1556010919,630,453
1556011817,605,72
1556012719,706,139
1556013619,676,157
1556014519,618,190
1556015418,773,715
1556016320,724,411
1556017219,854,322
1556018116,739,364
1556019018,776,1705
1556019919,758,1658
1556020817,763,1029
1556021718,840,2241
1556022618,753,890
1556023518,751,449
1556024416,618,338
1556025320,612,755
1556026218,713,352
1556027118,743,267
1556028018,702,392
1556028917,819,596
1556029817,744,664
1556030718,546,609
1556031617,671,1517
1556032517,785,1220
1556033418,660,946
1556034318,714,507
1556035218,858,1083
1556036118,677,803
1556037020,767,582
1556037919,943,395
1556038820,821,592
1556039720,741,801
1556040621,873,911
1556041519,660,1137
1556042419,809,521
1556043318,805,468
1556044218,658,156
1556045118,854,189
1556046018,757,157
1556046918,660,202
1556047817,901,326
1556048719,617,476
1556049621,695,1032
1556050517,683,1485
1556051421,631,3215
1556052319,646,957
1556053219,739,521
1556054121,691,591
1556055020,793,473
1556055920,708,524
1556056821,813,998
1556057721,699,1036
1556059521,1667,1982
1556060422,754,695
1556061323,835,680
1556062221,718,684
1556063123,703,499
1556064019,726,378
1556064923,688,453
1556065823,755,767
1556066721,700,515
1556067622,803,333
1556068522,722,968
1556069424,796,786
1556070320,789,457
1556071221,732,164
1556072122,673,275
1556073022,700,462
1556073923,717,388
1556074821,710,570
1556075719,743,328
1556076625,792,299
1556077520,700,395
1556078418,670,323
1556079319,706,686
1556080220,691,1609
1556081120,702,2915
1556082020,816,1871
1556082922,824,942
1556083818,858,746
1556084721,761,298
1556085618,788,273
1556086519,875,410
1556087421,758,441
1556088318,690,357
1556089220,755,473
1556090118,774,590
1556091018,983,198
1556091918,687,162
1556092824,663,359
1556093720,791,573
1556094622,1109,980
1556095519,883,1363
1556096421,845,1493
1556097316,713,1448
1556098216,658,1674
1556099117,786,1207
1556100016,658,1040
1556100921,723,920
1556101817,747,949
1556102716,766,1125
1556103617,696,512
1556104512,721,247
1556105416,669,417
1556106317,591,414
1556107215,677,281
1556108116,692,381
1556109015,635,367
1556109914,720,292
1556110816,732,247
1556111717,684,365
1556112616,715,1315
1556113514,658,607
1556114415,737,1258
1556115315,667,1157
1556116216,693,1414
1556117114,736,653
1556118015,733,249
1556118914,645,172
1556119816,683,187
1556120716,688,197
1556121614,672,236
1556122517,877,619
1556123416,742,693
1556124316,673,841
1556125214,798,826
1556126113,866,1264
1556127015,779,1713
1556127914,827,1133
1556128815,727,427
1556129716,748,464
1556130615,899,262
1556131514,776,192
1556132416,714,141
1556133317,760,152
1556134214,716,300
1556135115,714,502
1556136015,711,314
1556136914,685,234
1556137813,766,421
1556138715,1076,361
1556139617,933,462
1556140516,861,453
1556141413,845,408
1556142312,706,342
1556144113,1551,707
1556145012,765,481
1556145912,789,869
1556146812,810,709
1556147712,667,1194
1556148611,817,991
1556149511,770,465
1556150412,624,582
1556151311,689,4311
1556152211,859,4980
1556153110,686,2706
1556154011,635,1328
1556154912,722,628
1556155812,693,770
1556156713,784,723
1556157612,697,958
1556158527,450,323
1556159413,196,14
1556160314,213,29
1556161212,240,15
1556162111,206,16
1556163012,185,1
1556163911,229,40
1556164813,250,0
1556165712,189,7
1556166612,258,32
1556167513,259,14
1556168412,255,14
1556169312,1206,207
1556170210,1677,382
1556171113,1295,325
1556172013,1105,469
1556172911,940,269
1556173811,883,320
1556174710,942,262
1556175612,802,377
1556176514,944,2597
1556177411,912,2328
1556178312,867,1860
1556179212,820,2452
1556180112,798,2028
1556181014,854,1694
1556181915,1048,954
1556182815,1031,654
1556183713,1056,399
1556184614,1093,670
1556185511,1062,815
1556186413,965,500
1556187312,956,432
1556188215,1052,951
1556189114,1008,932
1556190014,1065,802
1556190915,1060,467
1556191814,988,463
1556192716,939,387
1556193614,832,807
1556194513,926,1009
1556195413,719,598
1556196314,976,596
1556197212,844,370
1556198113,913,622
1556199014,844,441
1556199915,829,648
1556200813,823,949
1556201712,833,1154
1556202611,714,1058
1556203511,600,981
1556204413,595,1185
1556205312,707,1469
1556206211,643,1687
1556207112,654,1756
1556208015,649,2794
1556208916,620,1639
1556209816,621,1014
1556210714,667,568
1556211616,586,488
1556212516,716,625
1556213416,1005,743
1556214315,976,807
1556215215,930,580
1556216116,806,656
1556217016,841,337
1556217916,845,187
1556218816,3532,537
1556219716,2892,388
1556220618,1991,469
1556221516,1508,400
1556222419,1295,470
1556223318,992,348
1556224215,1143,666
1556225115,1210,888
1556226014,803,1647
1556226915,808,2897
1556227815,944,3759
1556228717,870,4933
1556229619,935,3007
1556231418,1650,1792
1556232317,866,431
1556233218,945,548
1556234119,927,887
1556235019,956,1086
1556235919,927,1355
1556236820,990,1610
1556237718,983,906
1556238621,922,511
1556239520,977,521
1556240420,922,370
1556241322,901,766
1556242223,951,728
1556243121,897,1057
1556244021,894,1356
1556244921,977,905
1556245823,813,1190
1556246725,947,939
1556247623,830,1197
1556248522,847,1244
1556249421,767,1221
1556250324,869,595
1556251224,813,810
1556252128,810,964
1556253028,793,881
1556253928,828,458
1556254827,629,398
1556255723,806,500
1556256624,765,1166
1556257526,1034,1454
1556258425,1002,975
1556259326,990,747
1556260231,1065,541
1556261126,995,782
1556262028,1054,759
1556262927,1092,1128
1556263828,895,1217
1556264726,847,1260
1556265633,848,934
1556266531,826,816
1556267434,755,529
1556268334,703,1002
1556269234,788,1112
1556270131,918,1192
1556271040,1077,669
1556271937,1154,592
1556272831,1045,672
1556273737,934,1105
1556274635,1022,1623
1556275539,1057,1142
1556276431,1086,867
1556277333,971,787
1556278239,784,1195
1556279142,1026,1456
1556280034,983,940
1556280940,923,833
1556281834,978,1121
1556282741,969,1485
1556283644,970,1083
1556284540,934,810
1556285436,994,609
1556286348,910,617
1556287243,753,474
1556288143,784,848
1556289050,835,1578
1556289949,820,899
1556290841,784,425
1556291739,760,313
1556292648,595,598
1556293545,712,864
1556294436,718,535
1556295346,682,534
1556296241,721,421
1556297141,749,181
1556298040,662,426
1556298939,635,844
1556299844,769,1073
1556300748,772,1294
1556301642,957,928
1556302543,949,525
1556303444,873,456
1556304339,1043,495
1556305245,809,354
1556306145,748,597
1556307049,961,409
1556307944,934,593
1556308838,784,777
1556309741,721,1190
1556310649,797,1268
1556311532,864,1508
1556312434,782,1134
1556313347,716,746
1556314233,768,627
1556315136,824,565
1556316038,1030,714
1556317839,1718,1160
1556318743,945,1228
1556319643,854,1539
1556320540,815,1248
1556321442,907,1228
1556322335,796,1188
1556323239,988,1002
1556324132,868,799
1556325036,1017,729
1556325934,796,454
1556326833,887,520
1556327726,782,614
1556328625,916,579
1556329531,727,812
1556330428,880,949
1556331329,763,1129
1556332231,844,1264
1556333129,749,861
1556334025,815,786
1556334923,692,795
1556335823,751,635
1556336722,666,730
1556337626,679,1119
1556338525,749,1730
1556339423,736,988
1556340321,779,511
1556341230,653,449
1556342130,727,768
1556343023,815,1120
1556343925,799,550
1556344824,908,549
1556345728,1013,562
1556346626,941,787
1556347531,873,1258
1556348429,854,1159
1556349324,924,507
1556350233,1162,317
1556351131,1230,264
1556352025,1222,733
1556352925,1092,674
1556353836,1292,1729
1556354725,1108,1997
1556355628,988,1323
1556356530,849,1501
1556357435,979,1159
1556358336,984,637
1556359232,1362,969
1556360136,1144,1031
