DateTime,AddedIPs,RemovedIPs
1542393062,778,604
1542403862,530,617
1542414661,566,574
1542427860,606,761
1542439260,709,683
1542451263,753,628
1542464461,699,751
1542475265,831,623
1542487262,801,814
1542499265,614,720
1542510661,601,650
1542523259,664,681
1542533464,689,579
1542544863,645,639
1542555663,542,626
1542567062,640,604
1542577863,629,556
1542588664,541,571
1542600664,624,718
1542624060,1010,1204
1542637260,773,802
1542649861,730,742
1542661860,712,722
1542673859,620,675
1542685257,622,712
1542697258,648,668
1542709258,687,711
1542721259,811,806
1542733859,865,819
1542747058,851,921
1542758470,801,713
1542768658,599,603
1542779458,623,612
1542789664,720,552
1542801058,544,644
1542812462,604,601
1542822060,544,545
1542834066,596,646
1542844260,564,574
1542855060,582,506
1542866468,722,744
1542877266,699,739
1542887460,686,636
1542899469,660,763
1542911462,856,706
1542922264,789,631
1550093466,4565,4242
1550389855,2800,2392
1550401254,666,665
1550412653,599,578
1550424655,668,664
1550435453,654,685
1550445654,773,660
1550469055,1240,1078
1550481653,686,942
1550494253,785,760
1550506253,729,848
1550517657,761,704
1550528454,590,534
1550539254,581,554
1550550054,661,636
1550562057,805,892
1550574654,780,767
1550585454,789,742
1550598653,784,832
1550622055,1081,954
1550632855,629,633
1550655055,859,769
1550687454,1219,1327
1550698256,699,685
1550752255,1251,1226
1550763655,617,634
1550776258,729,849
1550788856,772,922
1550799655,786,670
1550821856,963,924
1550832656,642,649
1550843455,674,607
1550855453,699,755
1550865652,582,581
1550875853,548,510
1550908255,1181,1076
1550929254,936,926
1550952058,861,904
1550961652,528,641
1550971875,581,494
1550981453,516,493
1550992853,519,609
1551003053,559,625
1551013856,698,605
1551023453,632,624
1551045054,868,986
1551054653,658,538
1551085254,887,986
1551117654,1037,1033
1551129054,645,694
1551139273,613,768
1551150050,657,701
1551159651,616,633
1551170452,649,668
1551180659,636,621
1551190250,505,524
1551202249,585,719
1551212449,540,543
1551222649,581,598
1551233449,674,693
1551241850,523,525
1551251448,674,571
1551262249,632,603
1551271251,583,549
1551280850,557,591
1551292249,641,717
1551301250,490,494
1551310251,511,442
1551318654,475,421
1551328852,517,439
1551337851,566,596
1551348052,644,530
1551358250,546,753
1551366054,681,343
1551424249,1027,1615
1551438646,838,1022
1551453645,798,1124
1551466844,815,921
1551479443,714,976
1551490241,628,800
1551500441,543,606
1551511840,900,823
1551522040,629,598
1551533439,658,700
1551544240,584,647
1551555039,679,790
1551564640,681,599
1551574241,792,558
1551579646,822,149
1551586248,586,215
1551591650,352,231
1551599451,452,326
1551606653,437,291
1551613854,421,320
1551621659,386,367
1551628856,401,339
1551636057,365,304
1551643857,481,377
1551724250,1418,2049
1551736252,828,746
1551757255,1240,750
1551773448,626,1536
1551783048,739,703
1551797446,775,1067
1551811843,593,1165
1551823842,664,705
1551833444,683,548
1551844843,650,611
1551855643,582,661
1551866442,544,622
1551876643,781,692
1551888043,615,688
1551897644,618,654
1551908444,669,589
1551919845,892,613
1551930646,711,614
1551943245,633,760
1551955245,548,668
1551967843,554,766
1551979241,558,755
1551990640,643,761
1552000839,565,611
1552011642,602,591
1552022441,598,688
1552032640,566,558
1552044646,640,773
1552056039,497,726
1552067439,652,588
1552078238,563,645
1552088438,591,568
1552099239,595,579
1552108238,550,504
1552119640,727,663
1552130439,655,632
1552140640,610,602
1552152040,716,649
1552163440,586,604
1552173040,504,498
1552183841,581,528
1552194642,565,539
1552205441,644,609
1552216842,576,655
1552227641,627,682
1552237840,501,519
1552248641,579,556
1552259441,631,629
1552270242,566,508
1552281042,592,603
1552291842,666,585
1552303842,698,722
1552314043,632,633
1552324842,620,646
1552335642,683,686
1552346442,686,617
1552357244,649,632
1552368042,662,717
1552378844,814,586
1552389644,621,585
1552401645,641,749
1552413043,634,713
1552424444,613,654
1552434044,549,554
1552445445,729,636
1552455644,565,577
1552466446,693,629
1552478444,727,823
1552488644,530,537
1552499443,546,576
1552510844,624,630
1552521042,633,620
1552531844,556,566
1552542043,604,575
1552552843,592,663
1552564243,626,638
1552575043,547,595
1552585842,706,729
1552596643,559,540
1552607443,546,566
1552617644,603,526
1552626644,500,477
1552637446,619,633
1552647043,530,492
1552657843,582,659
1552669244,655,663
1552680043,547,635
1552689044,567,593
1552698643,557,516
1552709442,561,577
1552720244,606,588
1552731643,616,661
1552743042,589,786
1552752043,512,468
1552762244,658,572
1552773043,639,668
1552783248,1105,551
1552794647,768,656
1552804858,2040,474
1552816257,706,797
1552826461,871,436
1553382062,2558,2661
1553390461,466,572
1553399460,502,526
1553408460,414,457
1553417459,458,448
1553425861,390,435
1553435459,470,425
1553443862,375,363
1553462461,814,794
1554110473,2272,2184
1554142860,1004,1000
1554153661,507,609
1554164458,664,730
1554174661,570,521
1554186059,717,970
1554196269,644,643
1554208260,589,666
1554219063,662,669
1554229259,596,606
1554240660,675,615
1554251458,703,720
1554261058,507,608
1554271858,760,806
1554282657,744,746
1554293457,594,643
1554304259,644,600
1554315057,605,598
1554325858,572,629
1554334258,568,554
1554343859,647,561
1554356457,573,698
1554366655,555,820
1554374456,462,473
1554384055,394,376
1554393057,347,461
1554402054,362,455
1554410454,374,386
1554418855,406,427
1554426653,326,321
1554432654,360,408
1554440453,348,394
1554448252,315,422
1554456052,513,513
1554462652,421,414
1554470452,283,312
1554477066,243,272
1554484251,318,321
1554489656,230,248
1554497451,275,280
1554504053,319,276
1554511854,338,316
1554519053,326,291
1554526854,463,428
1554533453,280,330
1554541258,365,431
1554548450,357,546
1554555048,327,389
1554561649,301,279
1554567650,265,189
1554574851,367,335
1554582050,325,345
1554588650,265,289
1554595851,354,340
1554602453,331,268
1554608450,261,258
1554616251,421,433
1554623452,290,324
1554630051,331,308
1554637249,479,448
1554645050,393,433
1554651649,277,317
1554658849,313,315
1554666051,311,323
1554671449,229,233
1554676849,287,205
1554682250,266,238
1554690049,358,357
1554697250,377,319
1554705051,592,442
1554712851,384,407
1554721851,524,538
1554731452,733,656
1554740452,465,501
1554748853,502,424
1554759053,610,517
1554767454,437,415
1554775854,519,435
1554783056,555,254
1554792657,656,604
1554801056,423,553
1554810057,526,510
1554817854,585,729
1554826854,648,870
1554835255,465,459
1554844254,540,530
1554853853,520,588
1554862253,472,437
1554871256,545,487
1554881453,610,616
1554889854,597,604
1554899451,542,598
1554909052,777,931
1554918652,801,861
1554928851,585,563
1554936650,488,489
1554945657,513,501
1554955850,534,562
1554964251,475,512
1554973849,583,676
1554982251,588,627
1554991254,536,588
1555000251,706,673
1555008649,778,707
1555017654,562,518
1555026053,493,438
1555035655,561,547
1555045259,514,546
1555054252,483,599
1555063251,480,571
1555071650,636,584
1555081249,671,560
1555090252,784,662
1555098650,788,712
1555107652,580,558
1555116052,513,425
1555126252,591,627
1555135251,489,475
1555144866,542,628
1555154452,612,603
1555163452,546,685
1555172450,522,562
1555181452,720,665
1555189853,706,642
1555199453,538,525
1555208452,508,520
1555217452,509,552
1555226451,489,524
1555235453,614,534
1555243854,498,374
1555254054,751,799
1555263053,579,586
1555271454,631,634
1555280453,802,748
1555288854,569,498
1555299054,561,540
1555308057,572,600
1555317054,543,505
1555323657,603,336
1555331460,564,390
1555338061,645,415
1555435269,2365,2165
1555444259,520,602
1555453862,557,966
1555462253,436,941
1555469473,427,418
1555477253,332,420
