DateTime,AddedIPs,RemovedIPs
1551591624,6,13
1551599424,14,12
1551606625,8,0
1551613825,11,13
1551621629,8,14
1551628825,12,0
1551636025,8,14
1551643825,8,9
1551651625,5,11
1551658825,8,0
1551667226,13,6
1551675026,9,11
1551684027,8,12
1551693026,12,13
1551702027,10,10
1551724224,9,22
1551736225,8,11
1551743425,9,0
1551757226,9,17
1551773425,12,23
1551783025,14,0
1551797425,12,26
1551811825,9,10
1551823825,11,11
1551833425,13,14
1551844825,12,11
1551855625,8,12
1551866425,10,8
1551876625,10,10
1551888025,14,22
1551897625,9,7
1551908425,9,10
1551919826,11,13
1551930625,11,9
1551943225,9,23
1551955226,12,11
1551967826,13,11
1551979225,9,25
1551990625,8,10
1552000825,9,14
1552011627,15,9
1552022425,9,10
1552032625,14,16
1552044627,9,11
1552056026,10,10
1552067425,12,0
1552078225,9,12
1552088426,16,10
1552099226,9,8
1552108225,11,14
1552119626,12,10
1552130426,13,6
1552140626,11,11
1552152026,9,12
1552163426,12,11
1552173026,8,10
1552183827,11,8
1552194627,13,21
1552205426,11,16
1552216827,10,21
1552227627,12,0
1552237827,11,27
1552248627,9,12
1552259427,12,18
1552270227,13,7
1552281027,11,14
1552291827,10,20
1552303827,13,11
1552314027,9,11
1552324827,12,0
1552335627,10,13
1552346427,9,13
1552357228,10,14
1552368026,10,14
1552378828,11,0
1552389627,9,22
1552401628,19,11
1552413027,10,0
1552424428,9,12
1552434027,10,8
1552445428,9,11
1552455628,12,11
1552466428,9,11
1552478428,9,11
1552488628,7,8
1552499427,8,12
1552510829,6,11
1552521028,11,9
1552531828,11,11
1552542028,8,9
1552552829,8,9
1552564228,15,9
1552575028,8,0
1552585827,8,26
1552596629,14,12
1552607428,11,7
1552617628,15,9
1552626628,13,12
1552637429,11,0
1552647028,10,12
1552657828,10,12
1552669229,12,21
1552680029,5,0
1552689029,11,8
1552698629,9,17
1552709428,10,10
1552720229,11,8
1552731628,9,13
1552743029,10,10
1552752028,9,9
1552762229,9,13
1552773028,5,9
1552783229,9,10
1552794629,8,13
1552804830,15,9
1552816230,10,10
1552826430,9,12
1552836030,14,10
1552846831,10,15
1552857031,14,6
1552867233,7,7
1552876231,12,14
1552885832,13,10
1552896630,10,0
1552907431,13,9
1552918230,16,13
1552929032,9,11
1552939231,13,10
1552947631,10,10
1552956631,7,7
1552966831,9,9
1552975231,8,7
1552985431,9,12
1552995031,8,8
1553004631,11,0
1553014830,8,11
1553025031,10,12
1553034030,10,12
1553044231,6,8
1553055630,11,9
1553065830,13,15
1553077230,10,8
1553086831,9,11
1553096430,8,6
1553106631,9,8
1553116830,10,8
1553127030,6,12
1553136030,10,11
1553144430,13,0
1553153430,10,11
1553161831,10,8
1553172030,9,11
1553182830,12,11
1553194831,9,9
1553204431,13,11
1553215830,10,9
1553226031,7,13
1553235630,9,13
1553246430,11,13
1553256631,13,8
1553267431,10,9
1553277631,11,9
1553287230,6,7
1553295630,8,12
1553305231,11,11
1553314830,9,11
1553325030,11,13
1553335831,7,0
1553344231,13,11
1553353230,8,9
1553362231,10,7
1553371830,8,10
1553382030,8,5
1553390430,8,9
1553399430,12,11
1553408430,10,11
1553417429,13,0
1553425830,12,11
1553435430,11,9
1553443830,11,12
1553454030,12,14
1553462429,8,10
1553471429,10,8
1553481030,11,0
1553486430,8,14
1553494229,8,10
1553500230,11,0
1553505630,8,9
1553514630,9,8
1553525429,9,14
1553533237,11,11
1553541031,8,0
1553550633,10,14
1553559630,9,11
1553572830,11,15
1553586630,10,9
1553599237,15,15
1553611831,8,12
1553623831,12,8
1553635830,9,12
1553646630,14,13
1553655630,12,8
1553665230,12,13
1553674830,11,9
1553686231,14,12
1553695830,15,11
1553706631,8,7
1553717430,11,10
1553727031,16,12
1553736635,12,10
1553746833,8,15
1553761830,11,22
1553774430,9,9
1553786430,8,20
1553799030,9,0
1553811630,12,20
1553822430,11,10
1553833229,10,9
1553844045,12,12
1553854829,13,10
1553865030,9,13
1553875230,9,12
1553884830,11,8
1553896237,11,8
1553907630,10,9
1553917830,8,7
1553928629,12,11
1553941229,10,19
1553953830,8,11
1553964635,12,9
1553976630,11,19
1553989829,11,5
1554001830,11,8
1554012030,11,12
1554024029,7,22
1554035430,10,13
1554045629,10,10
1554056430,11,9
1554067830,12,12
1554078030,7,9
1554088829,9,17
1554100229,11,14
1554110442,9,12
1554121230,7,11
1554132030,12,23
1554142830,10,8
1554153630,14,12
1554164429,9,12
1554174629,10,11
1554186029,10,9
1554196240,5,8
1554208230,8,9
1554219032,12,10
1554229229,10,11
1554240629,11,0
1554251429,10,23
1554261030,8,9
1554271829,7,12
1554282629,13,10
1554293429,11,8
1554304229,10,12
1554315029,8,10
1554325830,10,14
1554334228,11,14
1554343829,10,13
1554356429,10,7
1554366629,11,10
1554374429,8,0
1554384029,8,10
1554393029,10,12
1554402029,9,0
1554410429,9,13
1554418830,10,7
1554426628,12,0
1554432629,7,12
1554440429,9,16
1554448229,11,0
1554456028,8,11
1554462629,10,9
1554470429,8,10
1554477043,11,0
1554484228,10,13
1554489633,8,11
1554497428,7,0
1554504029,12,9
1554511828,6,0
1554519028,9,10
1554526828,8,9
1554533429,11,13
1554541235,11,0
1554548429,8,10
1554555028,8,0
1554561628,9,8
1554567629,7,0
1554574829,8,10
1554582028,8,0
1554588629,9,10
1554595828,7,0
1554602429,7,10
1554608428,11,9
1554616228,7,11
1554623429,8,0
1554630028,10,0
1554637228,9,9
1554645028,10,10
1554651628,7,8
1554658829,9,0
1554666030,10,9
1554671429,10,8
1554676828,9,0
1554682229,8,8
1554690028,10,0
1554697228,6,9
1554705028,10,0
1554712828,8,10
1554721828,8,7
1554731429,10,12
1554740429,8,8
1554748829,8,7
1554759028,9,0
1554767430,6,18
1554775828,10,0
1554783028,13,10
1554792629,12,0
1554801029,8,15
1554810030,9,0
1554817829,10,6
1554826829,12,10
1554835230,12,7
1554844228,8,12
1554853828,9,0
1554862228,8,10
1554871230,8,7
1554881428,10,8
1554889829,10,10
1554899428,10,9
1554909029,13,7
1554918629,10,0
1554928829,8,9
1554936628,8,11
1554945633,9,9
1554955827,10,8
1554964229,9,9
1554973828,8,11
1554982229,10,11
1554991233,9,6
1555000229,13,11
1555008628,11,12
1555017629,9,10
1555026028,11,9
1555035629,8,11
1555045234,8,7
1555054228,11,14
1555063228,7,9
1555071629,8,11
1555081228,10,20
1555090229,9,8
1555098628,10,9
1555107629,8,6
1555116028,11,8
1555126229,9,18
1555135228,9,9
1555144843,8,10
1555154429,9,19
1555163429,8,5
1555172429,8,14
1555181430,9,9
1555189829,6,9
1555199430,12,17
1555208428,15,7
1555217429,10,9
1555226428,9,15
1555235429,11,8
1555243829,10,8
1555254030,7,10
1555263029,10,20
1555271430,7,11
1555280429,13,10
1555288829,9,16
1555299029,10,11
1555308030,13,17
1555317029,8,0
1555323630,6,8
1555331430,7,11
1555338030,8,10
1555345829,13,9
1555353030,8,0
1555360829,7,9
1555366830,4,11
1555374639,10,6
1555381831,13,0
1555389631,11,17
1555401630,11,11
1555413029,10,7
1555423831,8,11
1555435237,9,17
1555444229,9,9
1555453834,8,8
1555462229,10,9
1555469436,6,0
1555477229,12,17
1555485029,13,10
1555494029,8,0
1555502429,7,9
1555511429,9,10
1555520431,7,14
1555528830,11,11
1555536629,9,7
1555543229,11,10
1555551030,10,8
1555558833,5,10
1555566029,8,0
1555575629,9,9
1555585829,9,8
1555597830,10,17
1555607429,8,10
1555617030,9,9
1555626029,11,10
1555634429,7,9
1555644629,7,10
1555653029,9,10
1555662628,8,12
1555671028,9,3
1555680628,9,7
1555689029,6,8
1555698029,10,10
1555707029,11,12
1555715429,9,8
1555724428,10,13
1555733428,11,9
1555743029,10,12
1555752029,10,12
1555761029,8,8
1555770629,7,9
1555779029,8,7
1555786833,9,7
1555794630,5,0
1555803629,8,8
1555810828,4,9
1555818028,9,16
1555828229,10,12
1555837228,10,7
1555844429,13,9
1555852229,10,11
1555862429,11,10
1555870829,6,10
1555879228,10,9
1555888230,10,10
1555897829,11,11
1555906828,12,10
1555915828,8,12
1555924828,8,9
1555935029,7,8
1555942829,10,19
1555951229,10,8
1555960228,10,6
1555969229,11,8
1555978229,7,6
1555985428,10,11
1555995628,8,9
1556004028,12,12
1556016628,11,21
1556026828,7,0
1556037028,10,11
1556046628,9,12
1556056829,9,9
1556065828,11,9
1556074229,6,18
1556080827,7,0
1556086228,6,12
1556094028,15,11
1556101228,9,9
1556109028,7,7
1556116229,9,0
1556123429,11,10
1556131228,8,9
1556139629,13,11
1556146828,10,10
1556154029,7,11
1556162428,9,10
1556171428,13,17
1556181630,12,7
1556193629,11,6
1556206228,14,11
1556217029,11,9
1556227831,13,11
1556237433,7,8
1556248829,13,13
1556258429,12,8
1556268629,10,12
1556278229,10,8
1556286029,10,7
1556295630,8,10
1556305229,9,9
1556313029,12,10
1556322028,9,0
1556331029,12,16
1556338828,12,9
1556347829,6,8
1556356829,9,0
