DateTime,AddedIPs,RemovedIPs
1555648804,9,7
1555649287,8,4
1555649768,4,3
1555650244,1,6
1555650734,6,5
1555651204,5,7
1555651687,8,11
1555652165,11,7
1555652646,6,10
1555653124,12,10
1555653629,11,7
1555654086,9,7
1555654565,9,13
1555655044,14,7
1555655528,7,5
1555656007,4,7
1555656490,5,9
1555656965,11,7
1555657449,9,11
1555657925,10,8
1555658404,12,10
1555658885,6,8
1555659366,8,6
1555659845,7,6
1555660324,7,5
1555660845,11,17
1555661292,8,4
1555661768,5,8
1555662245,7,7
1555662724,1,1
1555663208,1,0
1555676647,1,1
1555677605,1,1
1555692006,0,1
1555692487,1,0
1555692965,0,1
1555693451,1,0
1555693926,0,1
1555694408,1,0
1555694887,0,1
1555695848,1,0
1555696328,0,1
1555696813,1,0
1555719365,0,1
1555719845,1,0
1555722245,1,8
1555722728,13,5
1555723210,4,7
1555723686,8,8
1555724165,2,5
1555724647,9,16
1555725126,13,8
1555725611,11,10
1555726086,7,8
1555726568,12,6
1555727046,6,6
1555727524,5,6
1555728008,7,9
1555728486,7,6
1555728965,7,7
1555729447,5,4
1555729927,4,8
1555730407,8,9
1555730889,5,8
1555731364,10,12
1555731846,11,6
1555732324,4,6
1555732823,6,8
1555733286,8,7
1555734007,5,7
1555734487,6,8
1555734965,8,10
1555735446,8,7
1555735927,11,7
1555736410,3,8
1555736888,8,13
1555737365,10,5
1555737846,5,6
1555738325,7,8
1555738808,8,8
1555739524,12,8
1555740011,5,7
1555740485,9,8
1555740969,11,9
1555741445,9,10
1555741925,9,8
1555742405,9,9
1555742886,7,8
1555743365,10,5
1555743845,7,6
1555744325,8,10
1555744810,6,8
1555745285,8,4
1555745765,4,3
1555746249,4,8
1555746726,8,9
1555747216,11,16
1555747686,10,3
1555748167,3,3
1555748647,9,4
1555749128,1,0
1555750084,1,1
1555750567,1,1
1555808648,0,9
1555809125,13,7
1555809604,5,6
1555810085,7,10
1555810566,11,6
1555811046,7,11
1555811524,12,13
1555812019,9,5
1555812732,9,13
1555813205,6,6
1555813688,7,6
1555814164,6,4
1555814650,8,9
1555815124,5,6
1555815614,9,7
1555816086,5,5
1555816571,2,6
1555817045,7,7
1555817528,8,6
1555818005,5,11
1555818485,9,5
1555818966,6,3
1555819445,3,5
1555819924,8,10
1555820410,9,8
1555820884,7,5
1555821365,5,6
1555821844,6,6
1555822330,10,4
1555823046,6,9
1555823528,6,6
1555824004,6,6
1555824485,7,8
1555824966,6,5
1555825445,7,9
1555825924,8,7
1555826413,8,5
1555826887,5,11
1555827365,13,9
1555827848,9,15
1555828324,11,6
1555828804,8,8
1555829285,6,7
1555829765,9,9
1555830247,9,7
1555830726,7,8
1555831206,11,6
1555831688,8,6
1555832405,4,5
1555832889,4,8
1555833365,12,12
1555833846,8,6
1555834324,8,5
1555834805,3,5
1555835286,4,0
1555891226,1,1
1555891686,1,1
1555895285,2,10
1555895767,11,9
1555896246,8,7
1555896726,7,9
1555897204,8,12
1555897687,11,7
1555898167,7,9
1555898645,7,7
1555899126,11,14
1555899606,9,7
1555900089,5,8
1555900564,8,5
1555901045,7,8
1555901526,5,8
1555902027,13,10
1555902484,7,4
1555902967,5,7
1555903445,9,7
1555903926,7,7
1555904404,7,7
1555904889,6,8
1555905367,7,5
1555905845,6,9
1555906326,8,5
1555906805,6,10
1555907288,10,8
1555907765,8,3
1555908246,5,4
1555908726,4,6
1555909220,6,9
1555909685,10,9
1555910165,7,5
1555910645,6,7
1555911127,6,7
1555911604,6,9
1555912087,11,9
1555912566,10,11
1555913045,8,6
1555913525,8,5
1555914004,5,7
1555914486,11,10
1555914965,5,10
1555915448,11,9
1555915926,7,4
1555916423,6,10
1555916890,7,8
1555917364,7,9
1555917844,12,9
1555918327,8,5
1555918805,3,7
1555919287,8,7
1555919764,12,10
1555920245,5,6
1555920727,6,6
1555921204,5,4
1555921688,4,0
1555922165,0,1
1555922646,0,1
1555923126,1,0
1555951208,0,1
1555951685,1,0
1555981687,3,8
1555982165,8,7
1555982646,6,9
1555983127,8,9
1555983608,10,8
1555984085,7,10
1555984823,11,9
1555985286,10,10
1555985769,12,8
1555986246,5,7
1555986725,8,6
1555987205,5,4
1555987684,7,12
1555988169,10,5
1555988646,6,11
1555989126,9,11
1555989604,10,7
