DateTime,AddedIPs,RemovedIPs
1555935723,3,17
1555936923,8,3
1555938122,14,0
1555939323,5,65
1555939923,6,0
1555940523,4,0
1555941123,2,3
1555941723,18,7
1555942923,5,3
1555944123,1,15
1555945324,6,7
1555946524,29,20
1555947123,10,0
1555947722,7,0
1555948923,8,34
1555949524,6,14
1555950123,7,18
1555951323,2,29
1555951923,9,0
1555952524,5,9
1555953723,58,16
1555954322,39,0
1555954923,4,0
1555956122,8,8
1555956723,5,0
1555957323,10,6
1555958523,6,15
1555959123,5,14
1555959723,5,12
1555960923,8,24
1555962123,3,12
1555962722,11,1
1555963322,6,13
1555964523,7,5
1555965724,12,13
1555966323,7,9
1555966923,46,0
1555968122,5,10
1555968723,4,23
1555969323,19,0
1555969923,10,12
1555970523,2,0
1555971722,12,5
1555972922,6,9
1555973523,9,0
1555974122,5,0
1555974724,3,10
1555976523,7,22
1555977724,4,73
1555978324,9,0
1555978923,14,20
1555980123,1,0
1555981323,13,30
1555982523,17,3
1555983723,13,11
1555984322,8,0
1555984924,4,2
1555986123,9,10
1555986723,8,3
1555987323,26,0
1555988522,4,17
1555989123,8,10
1555989723,13,0
1555990322,4,18
1555990922,6,10
1555992123,0,56
1555993323,7,0
1555994523,4,27
1555995122,4,13
1555995722,3,17
1555996923,26,9
1555998123,7,16
1555999323,12,18
1556000523,8,11
1556001722,9,20
1556002323,11,0
1556002923,8,26
1556004123,9,12
1556005323,12,0
1556005923,9,11
1556006523,10,8
1556007723,7,13
1556008323,12,16
1556008922,40,7
1556010123,7,0
1556011322,2,26
1556011922,43,0
1556012522,5,9
1556013723,14,0
1556014322,8,7
1556014923,8,10
1556016123,5,13
1556016722,3,18
1556017323,7,0
1556018523,13,10
1556019723,3,15
1556020323,3,0
1556020923,9,0
1556022123,6,17
1556023323,3,0
1556024523,8,20
1556025723,6,5
1556026323,7,8
1556026923,6,12
1556028123,7,3
1556028723,6,8
1556029323,4,5
1556030523,9,11
1556031123,6,0
1556031723,5,8
1556032923,7,5
1556034123,7,6
1556035323,3,7
1556036524,6,7
1556037123,13,11
1556037722,51,61
1556038924,48,0
1556040123,7,143
1556040724,2,0
1556041323,5,5
1556041923,8,9
1556042523,3,16
1556043723,4,4
1556044323,4,0
1556044922,4,6
1556046122,4,26
1556047323,10,0
1556048522,1,14
1556049122,7,0
1556049722,4,0
1556050922,10,13
1556052122,5,19
1556052722,16,0
1556053323,44,4
1556054523,7,0
1556055723,5,15
1556056923,7,102
1556059323,5,55
1556059923,1,11
1556060524,7,14
1556061723,8,8
1556062323,8,10
1556062923,12,5
1556064124,9,0
1556065322,3,13
1556066523,6,10
1556067122,2,0
1556067723,9,7
1556068323,3,0
1556068922,2,0
1556069523,4,19
1556070123,9,0
1556071323,5,33
1556071923,3,0
1556072523,9,0
1556073122,11,23
1556073723,54,0
1556074924,62,8
1556075525,62,9
1556076123,4,7
1556076723,1,19
1556077323,2,12
1556078523,52,6
1556079723,11,0
1556080322,3,28
1556080922,2,0
1556082123,9,17
1556082723,5,6
1556083322,20,0
1556084523,4,16
1556085123,19,10
1556085723,4,7
1556086923,10,9
1556087523,3,0
1556088123,8,0
1556088723,5,11
1556089323,5,0
1556089923,46,6
1556090524,44,52
1556091122,4,66
1556091723,32,7
1556092923,10,35
1556093522,7,0
1556094123,5,0
1556094722,14,29
1556095323,8,15
1556096523,32,9
1556097723,7,7
1556098923,5,0
1556100123,3,23
1556101323,15,41
1556101923,9,6
1556102523,6,7
1556103723,22,10
1556104923,5,26
1556106123,4,3
1556107323,1,16
1556107924,2,11
1556108522,10,7
1556109123,11,0
1556109722,6,0
1556110323,8,6
1556110922,4,17
1556111523,9,0
1556112122,4,0
1556113322,5,27
1556114523,6,6
1556115723,6,0
1556116923,4,52
1556118123,3,10
1556118723,11,0
1556119322,9,4
1556120523,2,43
1556121124,13,14
1556121723,9,0
1556122323,13,11
1556122924,38,76
1556123522,7,0
1556124123,2,63
1556125324,6,5
1556125923,9,0
1556126523,48,2
1556127724,6,21
1556128924,13,0
1556129523,9,15
1556130124,5,0
1556131323,20,12
1556132523,19,5
1556133723,1,8
1556134922,36,11
1556135523,8,7
1556136123,18,7
1556136724,11,0
1556137323,9,19
1556137922,11,0
1556138523,35,18
1556139123,2,0
1556139722,9,14
1556140323,6,0
1556140923,6,0
1556142124,18,12
1556142723,9,0
1556144523,5,8
1556145124,16,0
1556145723,6,10
1556146324,2,21
1556146922,4,5
1556147523,10,0
1556148124,7,11
1556148723,11,14
1556149323,5,0
1556150524,5,13
1556151723,2,8
1556152923,6,20
1556154123,7,12
1556155322,3,0
1556156523,5,28
1556157723,11,65
1556158323,9,0
1556158924,2,5
1556160123,4,19
1556160723,14,0
1556161323,2,6
1556162523,6,3
1556163123,1,17
1556163723,2,1
1556164323,6,0
1556164923,5,13
1556166123,6,5
1556167323,8,16
1556168523,7,0
1556169723,11,50
1556170923,7,0
1556172122,7,17
1556172724,4,0
1556173323,9,4
1556174523,5,26
1556175123,2,24
1556175723,14,7
1556176323,5,9
1556176922,2,0
1556178123,6,20
1556178723,10,0
1556179323,13,32
1556179923,6,0
1556180523,5,0
1556181122,3,18
1556181723,5,10
1556182323,12,0
1556182922,9,4
1556183523,8,0
1556184124,6,0
1556184722,58,13
1556185323,15,10
1556185923,45,0
1556186523,24,9
1556187723,11,6
1556188923,8,0
1556190123,23,13
1556191323,13,14
1556192523,12,19
1556193123,7,6
1556193723,4,25
1556194323,10,0
1556194922,17,6
1556195522,6,0
1556196123,9,3
1556196722,7,0
1556197322,7,14
1556197923,46,0
1556198522,5,6
1556199723,12,9
1556200922,6,3
1556202122,13,12
1556203323,14,0
1556204523,9,15
1556205124,14,29
1556205723,15,0
1556206922,6,86
1556208123,9,0
1556209324,16,21
1556210523,9,8
1556211124,13,15
1556212325,3,45
1556212923,15,5
1556213523,2,6
1556214122,8,10
1556214722,19,0
1556215323,4,0
1556215923,6,20
1556216522,9,11
1556217723,15,12
1556218322,12,0
1556218922,8,0
1556219523,17,16
1556220123,13,14
1556220723,1,12
1556221323,17,0
1556222523,7,15
1556223123,11,5
1556223723,4,16
1556224923,7,36
1556225522,12,0
1556226123,4,0
1556227323,8,13
1556227922,13,13
1556228523,2,0
1556229724,8,36
1556231523,3,20
