DateTime,AddedIPs,RemovedIPs
1555935723,80,80
1555936923,80,80
1555938122,80,80
1555939323,80,80
1555939923,80,80
1555940523,80,80
1555941123,80,80
1555941723,80,80
1555942923,80,80
1555944123,80,80
1555945324,80,80
1555946524,79,79
1555947123,80,80
1555947722,80,80
1555948923,80,80
1555949524,80,80
1555950123,80,80
1555951323,80,80
1555951923,80,80
1555952524,80,80
1555953723,80,80
1555954322,80,80
1555954923,80,80
1555956122,80,80
1555956723,80,80
1555957323,80,80
1555958523,80,80
1555959123,80,80
1555959723,80,80
1555960923,80,80
1555962123,80,80
1555962722,80,80
1555963322,80,80
1555964523,80,80
1555965724,80,80
1555966323,80,80
1555966923,79,79
1555968122,79,79
1555968723,80,80
1555969323,80,80
1555969923,80,80
1555970523,80,80
1555971722,80,80
1555972922,80,80
1555973523,80,80
1555974122,80,80
1555974724,80,80
1555976523,80,80
1555977724,80,80
1555978324,80,80
1555978923,80,80
1555980123,80,80
1555981323,80,80
1555982523,80,80
1555983723,80,80
1555984322,80,80
1555984924,80,80
1555986123,80,80
1555986723,80,80
1555987323,80,80
1555988522,80,80
1555989123,80,80
1555989723,80,80
1555990322,80,80
1555990922,80,80
1555992123,80,80
1555993323,80,80
1555994523,80,80
1555995122,80,80
1555995722,80,80
1555996923,80,80
1555998123,80,80
1555999323,80,80
1556000523,80,80
1556001722,80,80
1556002323,80,80
1556002923,80,80
1556004123,80,80
1556005323,80,80
1556005923,80,80
1556006523,80,80
1556007723,80,80
1556008323,80,80
1556008922,80,80
1556010123,80,80
1556011322,80,80
1556011922,80,80
1556012522,80,80
1556013723,80,80
1556014322,80,80
1556014923,80,80
1556016123,80,80
1556016722,80,80
1556017323,80,80
1556018523,80,80
1556019723,80,80
1556020323,80,80
1556020923,80,80
1556022123,80,80
1556023323,80,80
1556024523,80,80
1556025723,80,80
1556026323,79,79
1556026923,80,80
1556028123,80,80
1556028723,80,80
1556029323,80,80
1556030523,80,80
1556031123,80,80
1556031723,80,80
1556032923,80,80
1556034123,80,80
1556035323,80,80
1556036524,80,80
1556037123,80,80
1556037722,75,75
1556038924,80,80
1556040123,80,80
1556040724,80,80
1556041323,80,80
1556041923,80,80
1556042523,80,80
1556043723,80,80
1556044323,80,80
1556044922,80,80
1556046122,80,80
1556047323,80,80
1556048522,80,80
1556049122,80,80
1556049722,80,80
1556050922,80,80
1556052122,80,80
1556052722,80,80
1556053323,80,80
1556054523,80,80
1556055723,80,80
1556056923,80,80
1556059323,80,80
1556059923,80,80
1556060524,80,80
1556061723,80,80
1556062323,80,80
1556062923,80,80
1556064124,80,80
1556065322,80,80
1556066523,80,80
1556067122,80,80
1556067723,80,80
1556068323,79,79
1556068922,80,80
1556069523,80,80
1556070123,80,80
1556071323,80,80
1556071923,74,74
1556072523,80,80
1556073122,80,80
1556073723,80,80
1556074924,80,80
1556075525,80,80
1556076123,80,80
1556076723,80,80
1556077323,80,80
1556078523,79,79
1556079723,80,80
1556080322,80,80
1556080922,80,80
1556082123,80,80
1556082723,80,80
1556083322,80,80
1556084523,80,80
1556085123,79,79
1556085723,80,80
1556086923,80,80
1556087523,79,79
1556088123,80,80
1556088723,80,80
1556089323,80,80
1556089923,80,80
1556090524,80,80
1556091122,80,80
1556091723,79,79
1556092923,74,74
1556093522,80,80
1556094123,80,80
1556094722,80,80
1556095323,80,80
1556096523,80,80
1556097723,80,80
1556098923,80,80
1556100123,80,80
