DateTime,AddedIPs,RemovedIPs
1555861322,0,2
1555862523,44,62
1555863722,42,36
1555864923,34,0
1555866123,23,3
1555866722,3,2
1555867322,0,18
1555867923,4,0
1555868522,4,0
1555869723,41,14
1555870323,0,49
1555870923,6,6
1555872122,5,32
1555873323,7,0
1555874523,60,6
1555875722,38,1
1555876924,15,2
1555878123,33,17
1555879324,38,1
1555879923,8,0
1555880523,10,0
1555881123,1,0
1555881723,29,5
1555882322,31,0
1555882923,4,4
1555884122,29,24
1555885323,21,11
1555886524,10,64
1555887122,26,0
1555887723,3,2
1555888922,4,3
1555890123,2,0
1555890722,0,68
1555891324,14,0
1555891923,19,33
1555892523,30,0
1555893722,14,20
1555894922,6,18
1555896122,36,3
1555897323,20,14
1555898524,2,58
1555899723,10,0
1555900922,9,9
1555901522,3,21
1555902123,5,3
1555903323,6,0
1555904523,14,43
1555905122,24,4
1555905723,3,0
1555906323,2,3
1555908123,7,40
1555908723,1,0
1555909323,0,2
1555910522,43,10
1555911723,55,2
1555912922,22,78
1555914122,18,0
1555915323,56,30
1555916523,36,0
1555917123,16,4
1555917723,4,6
1555918323,4,0
1555918922,3,0
1555920122,5,4
1555920723,1,5
1555921324,1,0
1555922522,13,29
1555923722,24,4
1555924923,18,0
1555926122,12,0
1555926722,4,2
1555927322,2,4
1555928523,4,0
1555929122,5,6
1555929722,6,0
1555930322,0,1
1555932123,13,66
1555932723,6,0
1555933323,10,16
1555934523,9,6
1555935722,20,13
1555936923,42,40
1555938122,40,51
1555939323,18,12
1555940522,41,2
1555941723,25,1
1555942323,14,1
1555942923,8,3
1555944123,10,21
1555945323,2,3
1555946524,0,37
1555947122,18,0
1555947722,5,31
1555948923,27,42
1555950123,44,0
1555950723,25,30
1555951323,7,0
1555952523,20,28
1555953723,34,4
1555954322,0,4
1555956122,1,28
1555957323,25,12
1555958523,38,0
1555959123,7,8
1555959723,2,37
1555960323,4,0
1555960923,5,0
1555962122,7,42
1555963322,6,27
1555964523,0,48
1555965723,15,0
1555966322,29,21
1555966923,35,1
1555968122,28,22
1555968723,25,28
1555969323,19,45
1555970523,6,0
1555971722,4,23
1555972922,4,7
1555973523,9,25
1555974122,7,4
1555976523,55,5
1555977724,13,17
1555978324,2,38
1555978923,1,0
1555980123,6,22
1555981323,2,51
1555982523,5,24
1555983123,23,0
1555983723,8,3
1555984923,9,13
1555986123,33,7
1555986723,11,0
1555988522,10,8
1555989723,8,0
1555990922,11,30
1555992122,4,5
1555992723,68,0
1555993323,35,0
1555993923,14,13
1555994523,15,0
1555995122,11,1
1555995722,11,41
1555996923,22,49
1555997523,15,0
1555998122,14,0
1555998723,5,20
1555999323,1,0
1556000523,0,27
1556001122,21,56
1556001722,6,0
1556002923,30,26
1556004122,14,29
1556005323,4,11
1556005922,2,0
1556007123,0,4
1556007722,0,2
1556008323,0,13
1556008922,2,0
1556010123,4,31
1556010724,35,22
1556011322,14,0
1556012522,1,15
1556013723,2,3
1556014923,7,9
1556016122,0,6
1556016722,0,2
1556017323,1,0
1556018522,2,22
1556019722,1,20
1556020922,0,15
1556021522,1,27
1556023323,22,78
1556023922,35,0
1556024523,3,0
1556025723,7,21
1556026323,1,47
1556026922,0,28
1556028123,3,0
1556028722,0,23
1556029322,0,8
1556030522,13,0
1556031123,20,3
1556031723,14,0
1556032923,52,0
1556034122,4,51
1556035323,1,0
1556036524,1,67
1556037122,0,9
1556037722,0,27
1556038924,1,0
1556040123,48,50
1556040724,19,0
1556041323,3,1
1556042523,8,0
1556043723,9,18
1556044322,1,42
1556044922,3,11
1556046122,2,4
1556047323,6,11
1556048522,0,17
1556049722,27,0
1556052122,0,43
1556053323,1,37
1556054523,17,23
1556055722,15,53
1556056923,51,11
1556059323,4,19
1556059923,1,8
1556060523,0,62
1556061723,3,0
1556062922,4,0
1556064124,0,18
1556065322,22,10
1556067723,4,12
1556069523,3,39
1556070123,5,0
1556071323,7,50
1556071923,3,0
1556073122,0,8
1556073723,11,0
1556074323,0,10
1556076123,1,23
1556077322,0,7
1556078523,54,60
1556079723,42,68
1556080322,1,21
1556080922,0,11
1556082123,41,12
1556082722,44,28
1556083322,1,15
1556083922,0,17
1556084523,0,7
1556085723,1,4
1556086922,4,22
1556087523,6,5
1556088123,4,0
1556089323,2,51
1556090524,2,0
1556091722,24,15
1556092322,11,0
1556092922,11,0
1556093522,5,0
1556094123,9,2
1556094722,1,0
1556095323,7,10
1556096523,5,49
1556097723,7,26
1556099522,0,2
1556100123,13,0
1556100723,26,7
1556101323,1,0
1556103723,1,3
1556104923,0,4
1556106123,5,0
1556107323,2,2
1556108522,1,0
1556109722,6,30
1556110922,32,52
1556112122,0,2
1556114523,3,3
1556115723,2,1
1556116923,4,31
1556117523,4,11
1556118123,1,55
1556118723,3,0
1556119322,77,7
1556120522,1,0
1556121123,10,1
1556121722,0,2
1556122322,7,0
1556124123,25,0
1556124723,31,1
1556125323,28,45
1556125923,20,0
1556126522,37,18
1556127123,60,0
1556127723,32,13
1556128923,55,0
1556129523,4,12
1556130124,16,0
1556131322,12,5
1556132522,3,13
1556133723,2,1
1556134922,1,0
1556136123,7,23
1556137322,4,0
1556137922,1,0
1556138523,31,0
1556139722,4,18
1556142123,0,55
1556144522,11,6
1556145723,4,0
1556146922,34,1
1556148124,6,2
1556148723,1,5
1556149322,7,0
1556150524,30,26
1556151723,4,0
1556152923,31,3
1556154123,70,0
1556155322,9,1
1556156523,14,4
1556157723,12,5
1556158323,8,4
1556158924,21,2
1556160123,23,13
1556161323,2,0
1556162523,8,1
1556163723,1,0
1556164922,4,36
1556166122,2,32
1556167322,16,3
1556168522,1,33
1556169723,28,35
1556170923,6,0
1556172122,16,1
1556172724,4,4
1556173323,8,0
1556174523,0,14
1556175122,2,4
1556176922,5,17
1556178123,3,12
