DateTime,Entries,UniqueIPs
1553851227,1490,1490
1553854822,1491,1491
1553855886,1486,1486
1553859319,1495,1495
1553862023,1501,1501
1553869217,1503,1503
1553870119,1502,1502
1553876426,1502,1502
1553884516,1501,1501
1553890818,1501,1501
1553894417,1500,1500
1553898029,1504,1504
1553899821,1505,1505
1553902523,1504,1504
1553905223,1504,1504
1553912422,1502,1502
1553918723,1501,1501
1553919627,1505,1505
1553923217,1504,1504
1553926823,1503,1503
1553934018,1507,1507
1553939421,1506,1506
1553941236,1505,1505
1553943111,1503,1503
1553943929,1506,1506
1553945729,1500,1500
1553948423,1500,1500
1553955622,1500,1500
1553962914,1501,1501
1553964626,1503,1503
1553970023,1501,1501
1553977223,1502,1502
1553983528,1501,1501
1553984426,1502,1502
1553991621,1503,1503
1553998821,1496,1496
1554006026,1499,1499
1554009625,1498,1498
1554013228,1497,1497
1554020427,1499,1499
1554026722,1500,1500
1554027626,1496,1496
1554028677,1488,1488
1554032128,1492,1492
1554033915,1490,1490
1554034828,1489,1489
1554038424,1488,1488
1554042029,1493,1493
1554049234,1491,1491
1554056431,1494,1494
1554063625,1494,1494
1554070823,1497,1497
1554078025,1497,1497
1554085230,1497,1497
1554092429,1499,1499
1554099621,1495,1495
1554106831,1498,1498
1554114029,1501,1501
1554114930,1510,1510
1554118527,1503,1503
1554121230,1502,1502
1554127527,1503,1503
1554128421,1505,1505
1554132023,1504,1504
1554133820,1502,1502
1554135627,1497,1497
1554142827,1500,1500
1554150021,1503,1503
1554158124,1504,1504
1554164426,1503,1503
1554166229,1502,1502
1554171620,1497,1497
1554174325,1496,1496
1554178832,1494,1494
1554186026,1496,1496
1554189626,1495,1495
1554193224,1499,1499
1554200423,1492,1492
1554201423,1486,1486
1554204134,1485,1485
1554204926,1494,1494
1554207623,1498,1498
1554214827,1502,1502
1554222028,1503,1503
1554229221,1501,1501
1554237332,1502,1502
1554243622,1506,1506
1554250821,1509,1509
1554252618,1510,1510
1554258024,1506,1506
1554265223,1509,1509
1554272425,1509,1509
1554279627,1508,1508
1554286829,1512,1512
1554287728,1518,1518
1554290421,1517,1517
1554291315,1512,1512
1554294021,1510,1510
1554301219,1513,1513
1554308422,1509,1509
1554315622,1511,1511
1554322822,1511,1511
1554330019,1511,1511
1554337221,1513,1513
1554344435,1510,1510
1554351626,1515,1515
1554358822,1509,1509
1554366022,1512,1512
1554373236,1516,1516
1554374261,1509,1509
1554377722,1515,1515
1554380426,1509,1509
1554387630,1511,1511
1554395737,1513,1513
1554402031,1512,1512
1554409225,1508,1508
1554416423,1508,1508
1554420931,1509,1509
1554421826,1509,1509
1554423623,1506,1506
1554430836,1500,1500
1554436230,1501,1501
1554438019,1501,1501
1554445223,1498,1498
1554448826,1497,1497
1554452423,1499,1499
1554459631,1496,1496
1554464120,1489,1489
1554466823,1487,1487
1554474021,1488,1488
1554481225,1494,1494
1554488428,1503,1503
1554495625,1505,1505
1554496520,1506,1506
1554502826,1509,1509
1554504623,1508,1508
1554510021,1513,1513
1554513620,1514,1514
1554516320,1513,1513
1554517222,1508,1508
1554519929,1507,1507
1554524427,1509,1509
1554531632,1508,1508
1554538821,1510,1510
1554546024,1514,1514
1554548833,1511,1511
1554550516,1520,1520
1554553226,1518,1518
1554560423,1532,1532
1554567622,1534,1534
1554569431,1532,1532
1554574824,1533,1533
1554582024,1536,1536
1554590119,1547,1547
1554596426,1549,1549
1554600032,1550,1550
1554603630,1553,1553
1554610822,1551,1551
1554618036,1552,1552
1554625217,1554,1554
1554632440,1558,1558
1554633338,1569,1569
1554636924,1566,1566
1554639631,1564,1564
1554643223,1563,1563
1554646819,1566,1566
1554654022,1565,1565
1554661221,1561,1561
1554668420,1565,1565
1554675635,1563,1563
1554682825,1590,1590
1554686437,1589,1589
1554690927,1587,1587
1554698131,1589,1589
1554704427,1591,1591
1554711616,1591,1591
1554718834,1592,1592
1554719874,1586,1586
1554723335,1591,1591
1554726030,1593,1593
1554727830,1594,1594
1554732331,1593,1593
1554733229,1586,1586
1554734136,1587,1587
1554741326,1587,1587
1554747632,1582,1582
1554754818,1585,1585
1554762027,1586,1586
1554769227,1582,1582
1554776424,1581,1581
1554783624,1584,1584
1554790819,1577,1577
1554798016,1576,1576
1554805223,1579,1579
1554806131,1609,1609
1554809724,1603,1603
1554812427,1601,1601
1554813314,1600,1600
1554819631,1604,1604
1554825935,1605,1605
1554826834,1599,1599
1554834028,1601,1601
1554841226,1602,1602
1554848428,1603,1603
1554855634,1600,1600
1554862838,1596,1596
1554870038,1594,1594
1554877230,1579,1579
1554884429,1582,1582
1554891639,1578,1578
1554893527,1572,1572
1554896121,1573,1573
1554898815,1571,1571
1554906025,1567,1567
1554913225,1568,1568
1554920430,1572,1572
1554927622,1582,1582
1554934829,1584,1584
1554942026,1586,1586
1554942930,1587,1587
1554949217,1581,1581
1554956423,1580,1580
1554963616,1579,1579
1554965427,1580,1580
1554970824,1577,1577
1554972625,1578,1578
1554978036,1560,1560
1554978930,1562,1562
1554982523,1556,1556
1554985233,1559,1559
1554992434,1562,1562
1554999625,1559,1559
1555002330,1560,1560
1555006830,1559,1559
1555014022,1563,1563
1555021222,1563,1563
1555028422,1565,1565
1555035626,1557,1557
1555042827,1558,1558
1555043728,1559,1559
1555044626,1560,1560
1555050031,1557,1557
1555057228,1557,1557
1555064444,1557,1557
1555068926,1558,1558
1555071626,1555,1555
1555078831,1555,1555
1555082431,1554,1554
1555086027,1557,1557
1555089623,1558,1558
1555093227,1559,1559
1555101334,1554,1554
1555107630,1559,1559
1555114836,1560,1560
1555122035,1561,1561
1555129228,1560,1560
1555137327,1561,1561
1555143624,1559,1559
1555150823,1561,1561
1555151732,1564,1564
1555155319,1555,1555
1555158030,1552,1552
1555166138,1553,1553
1555167028,1556,1556
1555172427,1551,1551
1555179630,1554,1554
1555186825,1555,1555
1555194927,1554,1554
1555199432,1555,1555
1555200322,1556,1556
1555202127,1560,1560
1555208435,1553,1553
1555215627,1559,1559
1555222831,1560,1560
1555230026,1560,1560
1555237229,1561,1561
1555238253,1548,1548
1555241721,1553,1553
1555244424,1553,1553
1555251619,1555,1555
1555256128,1554,1554
1555258833,1553,1553
1555266026,1548,1548
1555273226,1549,1549
1555280438,1547,1547
1555288525,1544,1544
1555294821,1544,1544
1555298433,1545,1545
1555302022,1544,1544
1555309228,1545,1545
1555310129,1546,1546
1555316423,1544,1544
1555323630,1544,1544
1555325431,1558,1558
1555328123,1554,1554
1555330834,1554,1554
1555338039,1555,1555
1555340727,1556,1556
1555345231,1556,1556
1555353330,1559,1559
1555359622,1562,1562
1555366816,1576,1576
1555374026,1577,1577
1555375824,1578,1578
1555381232,1574,1574
1555383932,1575,1575
1555388425,1574,1574
1555395623,1577,1577
1555402829,1579,1579
1555410031,1578,1578
1555411052,1547,1547
1555414537,1553,1553
1555415429,1552,1552
1555417223,1552,1552
1555424427,1552,1552
1555431630,1552,1552
1555438835,1552,1552
1555440636,1553,1553
1555442436,1552,1552
1555446031,1563,1563
1555455036,1577,1577
1555460426,1582,1582
1555467629,1577,1577
1555474829,1573,1573
1555482026,1575,1575
1555485623,1574,1574
1555489232,1573,1573
1555496433,1569,1569
1555497328,1603,1603
1555500928,1602,1602
1555503630,1604,1604
1555510830,1605,1605
1555518026,1601,1601
1555525225,1600,1600
1555532422,1600,1600
1555540531,1605,1605
1555544125,1606,1606
1555545930,1607,1607
1555546833,1610,1610
1555554020,1605,1605
1555554933,1606,1606
1555560335,1608,1608
1555561228,1607,1607
1555563922,1608,1608
1555568426,1610,1610
1555575626,1613,1613
1555581919,1612,1612
1555582823,1612,1612
1555583812,1609,1609
1555587396,1608,1608
1555588224,1611,1611
1555590023,1628,1628
1555597234,1623,1623
1555604427,1623,1623
1555611626,1611,1611
1555614322,1612,1612
1555619726,1617,1617
1555626028,1621,1621
1555633215,1621,1621
1555640420,1619,1619
1555648525,1617,1617
1555655720,1620,1620
1555662030,1621,1621
1555665620,1619,1619
1555669230,1618,1618
1555671022,1621,1621
1555673723,1618,1618
1555676420,1622,1622
1555683628,1604,1604
1555686321,1605,1605
1555690832,1603,1603
1555698029,1607,1607
1555705230,1604,1604
1555712424,1606,1606
1555719627,1603,1603
1555726831,1605,1605
1555734025,1610,1610
1555741225,1608,1608
1555748432,1606,1606
1555755633,1607,1607
1555756670,1604,1604
1555760124,1609,1609
1555762828,1608,1608
1555770024,1606,1606
1555777226,1607,1607
1555780827,1608,1608
1555782634,1609,1609
1555783532,1608,1608
1555784426,1607,1607
1555791620,1610,1610
1555800624,1613,1613
1555806032,1611,1611
1555807828,1609,1609
1555813234,1606,1606
1555815028,1608,1608
1555820433,1607,1607
1555827628,1610,1610
1555834825,1610,1610
1555842038,1607,1607
1555842926,1613,1613
1555846529,1608,1608
1555849227,1604,1604
1555856423,1600,1600
1555863625,1599,1599
1555870822,1598,1598
1555875322,1599,1599
1555878022,1598,1598
1555885227,1599,1599
1555892425,1597,1597
1555899624,1595,1595
1555907723,1600,1600
1555914029,1602,1602
1555915825,1601,1601
1555918526,1602,1602
1555921220,1594,1594
1555928423,1598,1598
1555930313,1588,1588
1555932913,1591,1591
1555935614,1599,1599
1555942822,1596,1596
1555950026,1596,1596
1555957221,1592,1592
1555961718,1591,1591
1555964417,1599,1599
1555965316,1598,1598
1555971621,1598,1598
1555978824,1595,1595
1555986030,1588,1588
1555993223,1591,1591
1556000421,1593,1593
1556007620,1597,1597
1556014825,1599,1599
1556015726,1602,1602
1556019325,1596,1596
1556022027,1598,1598
1556029223,1602,1602
1556036420,1601,1601
1556043618,1600,1600
1556048122,1601,1601
1556050819,1605,1605
1556058920,1609,1609
1556065220,1608,1608
1556072416,1604,1604
1556074232,1603,1603
1556075138,1602,1602
1556079623,1605,1605
1556086817,1603,1603
1556087720,1604,1604
1556094017,1606,1606
1556101214,1611,1611
1556102275,1576,1576
1556105729,1586,1586
