DateTime,AddedIPs,RemovedIPs
1554148960,2,1
1554152626,1,2
1554156167,1,0
1554159761,0,2
1554163360,0,1
1554170561,1,0
1554174160,2,3
1554177761,1,0
1554181360,1,3
1554184960,1,4
1554188560,1,0
1554192183,3,2
1554195760,0,1
1554199361,0,2
1554199902,0,2
1554202962,2,2
1554206562,1,0
1554210222,2,0
1554213822,3,0
1554220963,2,2
1554228229,0,1
1554231762,1,2
1554235422,2,1
1554239032,3,1
1554242622,1,2
1554246162,2,1
1554249762,2,3
1554253363,0,1
1554256962,1,0
1554260563,2,0
1554264162,3,2
1554267762,2,4
1554271422,1,4
1554275022,1,1
1554278562,1,0
1554282162,1,2
1554285822,3,0
1554289362,0,1
1554293023,1,0
1554296562,2,0
1554300163,1,3
1554303822,0,1
1554307423,1,0
1554310963,1,2
1554314563,1,4
1554318163,2,1
1554321763,2,0
1554325363,2,1
1554332563,1,0
1554336163,0,1
1554343363,1,1
1554346964,4,3
1554350624,3,0
1554354163,1,4
1554361363,2,2
1554364964,1,1
1554368564,1,2
1554372163,1,0
1554379363,0,1
1554383024,2,0
1554386623,2,1
1554390224,3,3
1554397364,1,0
1554401024,0,1
1554404564,1,1
1554408164,2,0
1554411764,1,0
1554415424,0,1
1554419025,0,3
1554429764,0,4
1554433364,1,2
1554436964,1,0
1554440564,0,2
1554444164,1,7
1554447824,4,0
1554448964,2,3
1554454964,2,2
1554462165,0,2
1554469425,1,0
1554472965,3,0
1554476564,8,2
1554480166,1,3
1554483832,4,0
1554487366,6,2
1554490966,0,3
1554494565,2,1
1554498165,2,1
1554501765,2,0
1554505366,6,0
1554512566,0,3
1554516166,1,1
1554519766,3,0
1554523366,1,1
1554527026,1,1
1554530567,2,1
1554534166,3,3
1554534680,2,2
1554537766,0,1
1554541365,2,0
1554545026,2,2
1554548565,1,1
1554552166,0,1
1554555766,1,1
1554559366,1,0
1554562967,1,2
1554566567,2,0
1554570166,3,1
1554577367,3,1
1554581037,2,1
1554584567,8,2
1554588167,1,0
1554595367,1,2
1554598967,2,2
1554602627,2,0
1554606167,1,1
1554609946,2,3
1554613426,1,0
1554617026,2,2
1554620566,3,4
1554624167,1,3
1554627768,2,1
1554631368,2,0
1554634972,1,0
1554638567,1,2
1554642166,2,4
1554645826,1,2
1554649366,1,0
1554656628,2,0
1554660168,0,2
1554663767,4,0
1554667368,3,2
1554670967,1,0
1554674628,0,1
1554681767,29,1
1554685367,0,1
1554688968,1,3
1554692568,2,1
1554696168,3,5
1554699828,3,0
1554703373,2,5
1554710567,2,1
1554714167,1,0
1554717768,2,0
1554721368,2,0
1554724969,3,0
1554728568,0,2
1554732168,2,0
1554735768,1,2
1554739369,2,0
1554742969,1,2
1554746634,0,1
1554750228,2,0
1554753828,1,1
1554757369,0,1
1554760969,0,2
1554764568,1,2
1554768172,2,0
1554771828,1,0
1554775368,1,0
1554778969,2,4
1554782568,1,0
1554786168,1,3
1554789768,1,1
1554797028,1,3
1554804228,4,1
1554807768,0,4
1554814969,2,0
1554818628,2,0
1554822168,0,2
1554825770,0,1
1554829369,4,1
1554833029,1,0
1554836569,1,0
1554840169,4,2
1554850969,1,0
1554858229,1,1
1554861770,0,1
1554865376,1,0
1554868969,3,0
1554872569,0,2
1554876169,0,1
1554879769,3,3
1554883370,1,0
1554890570,0,2
1554894170,1,0
1554901377,0,1
1554904969,1,1
1554908569,1,1
1554912170,5,1
1554915770,1,2
1554919370,6,2
1554922977,1,0
1554926630,10,1
1554930230,2,0
1554933770,3,0
1554937370,0,2
1554944570,1,0
1554948170,1,1
1554951770,1,0
1554955370,2,2
1554958970,1,0
1554962570,3,1
1554966170,1,4
1554969770,1,0
1554973430,1,3
1554976970,2,0
1554980631,2,3
1554984170,4,0
1554987770,1,1
1554991370,2,0
1554994971,1,0
1554998570,1,0
1555002171,1,0
1555005830,1,0
1555007593,1,1
1555009392,1,0
1555012993,1,3
1555016593,1,0
1555023793,2,0
1555027393,1,0
1555030993,3,1
1555034593,1,1
1555038133,2,0
1555041793,2,1
1555045393,1,1
1555048272,1,0
1555052534,1,4
1555056133,1,1
1555059793,2,1
1555066993,2,0
1555070593,1,1
1555074193,2,3
1555077794,3,0
1555081393,1,3
1555084993,5,0
1555088593,0,3
1555092193,2,0
1555095733,0,1
1555102993,2,3
1555106593,2,0
1555110197,1,4
1555113793,2,0
1555117393,1,1
1555120993,2,1
1555124594,0,1
1555128193,2,2
1555131740,1,0
1555135333,1,3
1555146193,1,1
1555149733,2,1
